[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 1] So all Israel were reckoned by genealogies; and, behold, they are written in the book of the kings of Israel; and Judah was carried away captive to Babylon because of their transgression.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 2] Now the first inhabitants that dwelt in their possessions in their cities were, Israelites, the priests, the Levites, and the Nethinim.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 3] And in Jerusalem dwelt of the children of Judah, and of the children of Benjamin, and of the children of Ephraim and Manasseh:
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 4] Uthai the son of Ammihud, the son of Omri, the son of Imri, the son of Bani, of the children of Perez the son of Judah.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 5] And of the Shilonites: Asaiah the first-born and his sons.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 6] And of the sons of Zerah: Jeuel, and their brethren, six hundred and ninety.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 7] And of the sons of Benjamin: Sallu the son of Meshullam, the son of Hodaviah, the son of Hassenuah,
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 8] and Ibneiah the son of Jeroham, and Elah the son of Uzzi, the son of Michri, and Meshullam the son of Shephatiah, the son of Reuel, the son of Ibneiah;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 9] and their brethren, according to their generations, nine hundred and fifty and six. All these men were heads of fathers' houses by their fathers' houses.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 10] And of the priests: Jedaiah, and Jehoiarib, and Jachin;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 11] and Azariah the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the ruler of the house of God;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 12] and Adaiah the son of Jeroham, the son of Pashhur, the son of Malchijah, and Maasai the son of Adiel, the son of Jahzerah, the son of Meshullam, the son of Meshillemith, the son of Immer;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 13] and their brethren, heads of their fathers' houses, a thousand and seven hundred and threescore; very able men for the work of the service of the house of God.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 14] And of the Levites: Shemaiah the son of Hasshub, the son of Azrikam, the son of Hashabiah, of the sons of Merari;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 15] and Bakbakkar, Heresh, and Galal, and Mattaniah the son of Mica, the son of Zichri, the son of Asaph;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 16] and Obadiah the son of Shemaiah, the son of Galal, the son of Jeduthun, and Berechiah the son of Asa, the son of Elkanah, that dwelt in the villages of the Netophathites.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 17] And the porters: Shallum, and Akkub, and Talmon, and Ahiman, and their brother Shallum the chief;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 18] who hitherto waited in the king's gate eastward; they were the porters for the camp of the children of Levi.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 19] And Shallum the son of Kore, the son of Ebiasaph, the son of Korah, and his brethren, of his father's house, the Korahites, were over the work of the service, keepers of the gates of the Tent; and their fathers had been over the camp of the LORD, keepers of the entry;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 20] and Phinehas the son of Eleazar was ruler over them in time past, the LORD being with him.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 21] Zechariah the son of Meshelemiah was porter of the door of the tent of meeting.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 22] All these that were chosen to be porters in the gates were two hundred and twelve. These were reckoned by genealogy in their villages, whom David and Samuel the seer did ordain in their set office.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 23] So they and their children had the oversight of the gates of the house of the LORD, even the house of the Tent, by wards.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 24] On the four sides were the porters, toward the east, west, north, and south.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 25] And their brethren, in their villages, were to come in every seven days from time to time to be with them;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 26] for the four chief porters were in a set office. These were the Levites. They were also over the chambers and over the treasuries in the house of God.
