[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 1] The sons of Judah: Perez, Hezron, and Carmi, and Hur, and Shobal.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 2] And Reaiah the son of Shobal begot Jahath; and Jahath begot Ahumai, and Lahad. These are the families of the Zorathites.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 3] And these were the sons of the father of Etam: Jezreel, and Ishma, and Idbash; and the name of their sister was Hazlelponi;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 4] and Penuel the father of Gedor, and Ezer the father of Hushah. These are the sons of Hur the first-born of Ephrath, the father of Beth-lehem.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 5] And Ashhur the father of Tekoa had two wives, Helah and Naarah.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 6] And Naarah bore him Ahuzam, and Hepher, and Timeni, and Ahashtari. These were the sons of Naarah.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 7] And the sons of Helah were Zereth, and Zohar, and Ethnan.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 8] And Koz begot Anub, and Zobebah, and the families of Aharhel the son of Harum.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 9] And Jabez was more honourable than his brethren; and his mother called his name Jabez, saying: 'Because I bore him with pain.'
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 10] And Jabez called on the God of Israel, saying: 'Oh that Thou wouldest bless me indeed, and enlarge my border, and that Thy hand might be with me, and that Thou wouldest work deliverance from evil, that it may not pain me!' And God granted him that which he requested.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 11] And Chelub the brother of Shuhah begot Mehir, who was the father of Eshton.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 12] And Eshton begot Beth-rapha, and Paseah, and Tehinnah the father of Ir-nahash. These are the men of Recah.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 13] And the sons of Kenaz: Othniel, and Seraiah; and the sons of Othniel: Hathath.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 14] And Meonothai begot Ophrah; and Seraiah begot Joab the father of Ge-harashim; for they were craftsmen.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 15] And the sons of Caleb the son of Jephunneh: Iru, Elah, and Naam; and the sons of Elah: Kenaz.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 16] And the sons of Jehallelel: Ziph, and Ziphah, Tiria, and Asarel.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 17] And the sons of Ezrah: Jether, and Mered, and Epher, and Jalon. And she bore Miriam, and Shammai, and Ishbah the father of Eshtemoa —
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 18] and his wife Hajehudijah bore Jered the father of Gedor, and Heber the father of Soco, and Jekuthiel the father of Zanoah — and these are the sons of Bithiah the daughter of Pharaoh whom Mered took.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 19] And the sons of the wife of Hodiah, the sister of Naham, were the father of Keilah the Garmite, and Eshtemoa the Maacathite.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 20] And the sons of Shimon: Amnon, and Rinnah, Ben-hanan, and Tilon. And the sons of Ishi: Zoheth, and Ben-zoheth.
