[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 1] And they brought in the ark of God, and set it in the midst of the tent that David had pitched for it, and they offered burnt-offerings and peace-offerings before God.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 2] And when David had made an end of offering the burnt-offering and the peace-offerings, he blessed the people in the name of the LORD.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 3] And he dealt to every one of Israel, both man and woman, to every one a loaf of bread, and a cake made in a pan, and a sweet cake.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 4] And he appointed certain of the Levites to minister before the ark of the LORD, and to celebrate and to thank and praise the LORD, the God of Israel:
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 5] Asaph the chief, and second to him Zechariah, Jeiel, and Shemiramoth, and Jehiel, and Mattithiah, and Eliab, and Benaiah, and Obed-edom, and Jeiel, with psalteries and with harps; and Asaph with cymbals, sounding aloud;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 6] and Benaiah and Jahaziel the priests with trumpets continually, before the ark of the covenant of God.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 7] Then on that day did David first ordain to give thanks unto the LORD, by the hand of Asaph and his brethren.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 8] O give thanks unto the LORD, call upon His name; make known His doings among the peoples.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 9] Sing unto Him, sing praises unto Him; speak ye of all His marvellous works.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 10] Glory ye in His holy name; let the heart of them rejoice that seek the LORD.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 11] Seek ye the LORD and His strength; seek His face continually.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 12] Remember His marvellous works that He hath done, His wonders, and the judgments of His mouth;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 13] O ye seed of Israel His servant, ye children of Jacob, His chosen ones.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 14] He is the LORD our God; His judgments are in all the earth.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 15] Remember His covenant for ever, the word which He commanded to a thousand generations;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 16] The covenant which He made with Abraham, and His oath unto Isaac;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 17] And He established it unto Jacob for a statute, to Israel for an everlasting covenant;
