[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 1] Now these were the sons of David, that were born unto him in Hebron: the first-born, Amnon, of Ahinoam the Jezreelitess; the second, Daniel, of Abigail the Carmelitess;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 2] the third, Absalom the son of Maacah the daughter of Talmai king of Geshur; the fourth, Adonijah the son of Haggith;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 3] the fifth, Shephatiah of Abital; the sixth, Ithream by Eglah his wife.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 4] Six were born unto him in Hebron; and there he reigned seven years and six months; and in Jerusalem he reigned thirty and three years.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 5] And these were born unto him in Jerusalem: Shimea, and Shobab, and Nathan, and Solomon, four, of Bath-shua the daughter of Ammiel;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 6] and Ibhar, and Elishama, and Eliphelet;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 7] and Nogah, and Nepheg, and Japhia;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 8] and Elishama, and Eliada, and Eliphelet, nine.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 9] All these were the sons of David, beside the sons of the concubines; and Tamar was their sister.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 10] And Solomon's son was Rehoboam; Abijah his son, Asa his son, Jehoshaphat his son;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 11] Joram his son, Ahaziah his son, Joash his son;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 12] Amaziah his son, Azariah his son, Jotham his son;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 13] Ahaz his son, Hezekiah his son, Manasseh his son;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 14] Amon his son, Josiah his son.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 15] And the sons of Josiah: the firstborn Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 16] And the sons of Jehoiakim: Jeconiah his son, Zedekiah his son.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 17] And the sons of Jeconiah — the same is Assir — Shealtiel his son;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 18] and Malchiram, and Pedaiah, and Shenazzar, Jekamiah, Hoshama, and Nedabiah.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 19] And the sons of Pedaiah: Zerubbabel, and Shimei. And the sons of Zerubbabel: Meshullam, and Hananiah; and Shelomith was their sister;
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 20] and Hashubah and Ohel, and Berechiah, and Hasadiah, Jushabhesed, five.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 21] And the sons of Hananiah: Pelatiah, and Jeshaiah; the sons of Jeshaiah: Rephaiah; the sons of Rephaiah: Arnan; the sons of Arnan: Obadiah; the sons of Obadiah: Shecaniah.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 22] And the sons of Shecaniah: Shemaiah; and the sons of Shemaiah: Hattush, and Igal, and Bariah, and Neariah, and Shaphat, six.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 23] And the sons of Neariah: Elioenai, and Hizkiah, and Azrikam, three.
[JPS | EN | OT | 1 Chronicles | Chapter 3 | Verse 24] And the sons of Elioenai: Hodaviah, and Eliashib, and Pelaiah, and Akkub, and Johanan, and Delaiah, and Anani, seven.
