[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] (5-27) The sons of Levi: Gershon, Kohath, and Merari.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] (5-28) And the sons of Kohath: Amram, Izhar, and Hebron, and Uzziel.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] (5-29) And the children of Amram: Aaron, and Moses, and Miriam. And the sons of Aaron: Nadab and Abihu, Eleazar and Ithamar.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] (5-30) Eleazar begot Phinehas, Phinehas begot Abishua;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] (5-31) and Abishua begot Bukki, and Bukki begot Uzzi;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] (5-32) and Uzzi begot Zerahiah, and Zerahiah begot Meraioth;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] (5-33) Meraioth begot Amariah, and Amariah begot Ahitub;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] (5-34) and Ahitub begot Zadok, and Zadok begot Ahimaaz;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] (5-35) and Ahimaaz begot Azariah, and Azariah begot Johanan;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] (5-36) and Johanan begot Azariah — he it is that executed the priest's office in the house that Solomon built in Jerusalem —
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] (5-37) and Azariah begot Amariah, and Amariah begot Ahitub;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] (5-38) and Ahitub begot Zadok, and Zadok begot Shallum;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] (5-39) and Shallum begot Hilkiah, and Hilkiah begot Azariah;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] (5-40) and Azariah begot Seraiah, and Seraiah begot Jehozadak;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] (5-41) and Jehozadak went into captivity, when the LORD carried away Judah and Jerusalem by the hand of Nebuchadnezzar.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 16] (6-1) The sons of Levi: Gershom, Kohath and Merari.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 17] (6-2) And these are the names of the sons of Gershom: Libni, and Shimei.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 18] (6-3) And the sons of Kohath were Amram, and Izhar, and Hebron, and Uzziel.
