[IRV | PA | NT | John | Chapter 4 | Verse 1] ਪ੍ਰਭੂ ਨੇ ਜਾਣਿਆ ਜੋ ਫ਼ਰੀਸੀਆਂ ਨੂੰ ਇਹ ਪਤਾ ਲੱਗਾ ਕਿ ਯੂਹੰਨਾ ਨਾਲੋਂ ਵੱਧ ਚੇਲੇ ਯਿਸੂ ਬਣਾ ਰਿਹਾ ਹੈ ਤੇ ਉਹ ਬਪਤਿਸਮਾ ਵੀ ਦਿੰਦਾ ਹੈ।
[IRV | PA | NT | John | Chapter 4 | Verse 2] ਭਾਵੇਂ ਯਿਸੂ ਆਪ ਬਪਤਿਸਮਾ ਨਹੀਂ ਦੇ ਰਿਹਾ ਸੀ, ਸਗੋਂ ਉਸ ਦੇ ਚੇਲੇ ਲੋਕਾਂ ਨੂੰ ਬਪਤਿਸਮਾ ਦਿੰਦੇ ਸਨ।
[IRV | PA | NT | John | Chapter 4 | Verse 3] ਫਿਰ ਯਿਸੂ ਯਹੂਦਿਯਾ ਨੂੰ ਛੱਡ ਮੁੜ ਗਲੀਲ ਨੂੰ ਚਲਿਆ ਗਿਆ।
[IRV | PA | NT | John | Chapter 4 | Verse 4] ਗਲੀਲ ਨੂੰ ਜਾਣ ਲੱਗਿਆਂ ਯਿਸੂ ਨੂੰ ਸਾਮਰਿਯਾ ਦੇ ਇਲਾਕੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘਣਾ ਪਿਆ।
[IRV | PA | NT | John | Chapter 4 | Verse 5] ਸਾਮਰਿਯਾ ਵਿੱਚ ਯਿਸੂ ਸੁਖਾਰ ਨਗਰ ਕੋਲ ਆਇਆ। ਇਹ ਨਗਰ ਉਸ ਜ਼ਮੀਨ ਦੇ ਨੇੜੇ ਸੀ, ਜੋ ਯਾਕੂਬ ਨੇ ਆਪਣੇ ਪੁੱਤਰ ਯੂਸੁਫ਼ ਨੂੰ ਦਿੱਤੀ ਸੀ।
[IRV | PA | NT | John | Chapter 4 | Verse 6] ਯਾਕੂਬ ਦਾ ਖੂਹ ਉੱਥੇ ਸੀ, ਯਿਸੂ ਆਪਣੀ ਲੰਮੀ ਯਾਤਰਾ ਤੋਂ ਥੱਕ ਗਿਆ ਸੀ। ਇਸ ਲਈ ਉਹ ਖੂਹ ਕੋਲ ਬੈਠ ਗਿਆ, ਇਹ ਲੱਗਭਗ ਦੁਪਹਿਰ ਦਾ ਸਮਾਂ ਸੀ।
[IRV | PA | NT | John | Chapter 4 | Verse 7] ਇੱਕ ਸਾਮਰੀ ਔਰਤ ਖੂਹ ਤੇ ਪਾਣੀ ਭਰਨ ਲਈ ਆਈ। ਯਿਸੂ ਨੇ ਉਸ ਔਰਤ ਨੂੰ ਆਖਿਆ, “ਮੈਨੂੰ ਪਾਣੀ ਪੀਣ ਲਈ ਦੇ।”
[IRV | PA | NT | John | Chapter 4 | Verse 8] ਪਰ ਉਦੋਂ ਯਿਸੂ ਦੇ ਚੇਲੇ ਨਗਰ ਅੰਦਰ ਭੋਜਨ ਖਰੀਦਣ ਗਏ ਹੋਏ ਸਨ।
[IRV | PA | NT | John | Chapter 4 | Verse 9] ਉਸ ਸਾਮਰੀ ਔਰਤ ਨੇ ਆਖਿਆ, “ਮੈਂ ਸਾਮਰੀ ਹਾਂ, ਫਿਰ ਤੁਸੀਂ ਕਿਵੇਂ ਮੇਰੇ ਕੋਲੋਂ ਪੀਣ ਲਈ ਪਾਣੀ ਮੰਗ ਰਹੇ ਹੋ। ਤੁਸੀਂ ਇੱਕ ਯਹੂਦੀ ਹੋ।” ਯਹੂਦੀਆਂ ਦੀ ਸਾਮਰਿਯਾ ਨਾਲ ਕੋਈ ਮਿੱਤਰਤਾ ਨਹੀਂ ਹੈ।
[IRV | PA | NT | John | Chapter 4 | Verse 10] ਯਿਸੂ ਨੇ ਆਖਿਆ, “ਜੇ ਤੂੰ ਪਰਮੇਸ਼ੁਰ ਦੀ ਬਖਸ਼ੀਸ਼ ਨੂੰ ਜਾਣਦੀ ਤੇ ਇਹ ਵੀ ਜਾਣਦੀ ਕਿ ਮੈਂ ਜਿਸ ਨੇ ਪਾਣੀ ਮੰਗਿਆ ਹੈ, ਕੌਣ ਹੈ। ਜੇ ਤੂੰ ਜਾਣਦੀ ਹੁੰਦੀ ਤੂੰ ਮੈਨੂੰ ਪੁੱਛਿਆ ਹੁੰਦਾ ਅਤੇ ਮੈਂ ਤੈਨੂੰ ਅੰਮ੍ਰਿਤ ਜਲ ਦਿੱਤਾ ਹੁੰਦਾ।”
[IRV | PA | NT | John | Chapter 4 | Verse 11] ਉਸ ਔਰਤ ਨੇ ਆਖਿਆ, “ਸ਼੍ਰੀ ਮਾਨ ਜੀ, ਤੁਸੀਂ ਇਹ ਅੰਮ੍ਰਿਤ ਜਲ ਕਿਵੇਂ ਪ੍ਰਾਪਤ ਕਰੋਂਗੇ? ਖੂਹ ਬਹੁਤ ਡੂੰਘਾ ਹੈ ਅਤੇ ਤੁਹਾਡੇ ਕੋਲ ਪਾਣੀ ਖਿੱਚਣ ਲਈ ਕੋਈ ਭਾਂਡਾ ਵੀ ਨਹੀਂ ਹੈ।
