[IRV | PA | NT | John | Chapter 1 | Verse 1] ਆਦ ਵਿੱਚ ਸ਼ਬਦ ਸੀ, ਸ਼ਬਦ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਲ ਸੀ ਅਤੇ ਸ਼ਬਦ ਹੀ ਪਰਮੇਸ਼ੁਰ ਸੀ।
[IRV | PA | NT | John | Chapter 1 | Verse 2] ਉਹ ਆਦ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਲ ਸੀ।
[IRV | PA | NT | John | Chapter 1 | Verse 3] ਸਭ ਕੁਝ ਉਸ ਦੇ ਰਾਹੀਂ ਰਚਿਆ ਗਿਆ; ਉਸ ਤੋਂ ਬਿਨ੍ਹਾਂ ਕੁਝ ਵੀ ਨਹੀਂ ਸੀ ਰਚਿਆ ਗਿਆ।
[IRV | PA | NT | John | Chapter 1 | Verse 4] ਉਸ ਵਿੱਚ ਜੀਵਨ ਸੀ, ਅਤੇ ਉਹ ਜੀਵਨ ਇਨਸਾਨ ਲਈ ਚਾਨਣ ਸੀ।
[IRV | PA | NT | John | Chapter 1 | Verse 5] ਉਹ ਚਾਨਣ ਹਨੇਰੇ ਵਿੱਚ ਚਮਕਦਾ ਹੈ, ਹਨੇਰੇ ਨੇ ਇਸ ਨੂੰ ਕਬੂਲ ਨਹੀਂ ਕੀਤਾ।
[IRV | PA | NT | John | Chapter 1 | Verse 6] ਇੱਕ ਆਦਮੀ ਸੀ, ਜਿਸ ਦਾ ਨਾਮ ਯੂਹੰਨਾ ਸੀ ਉਸ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਵੱਲੋਂ ਭੇਜਿਆ ਗਿਆ ਸੀ।
[IRV | PA | NT | John | Chapter 1 | Verse 7] ਯੂਹੰਨਾ, ਲੋਕਾਂ ਨੂੰ ਚਾਨਣ ਬਾਰੇ ਗਵਾਹੀ ਦੇਣ ਆਇਆ ਤਾਂ ਜੋ ਯੂਹੰਨਾ ਰਾਹੀਂ ਸਾਰੇ ਲੋਕ ਚਾਨਣ ਤੇ ਵਿਸ਼ਵਾਸ ਕਰ ਸਕਣ।
[IRV | PA | NT | John | Chapter 1 | Verse 8] ਯੂਹੰਨਾ ਆਪ ਉਹ ਚਾਨਣ ਨਹੀਂ ਸੀ, ਪਰ ਯੂਹੰਨਾ ਲੋਕਾਂ ਨੂੰ ਚਾਨਣ ਬਾਰੇ ਗਵਾਹੀ ਦੇਣ ਲਈ ਆਇਆ ਸੀ।
[IRV | PA | NT | John | Chapter 1 | Verse 9] ਅਸਲ ਚਾਨਣ ਦੁਨੀਆਂ ਵਿੱਚ ਆਉਣ ਵਾਲਾ ਸੀ। ਇਹ ਅਸਲ ਚਾਨਣ ਸੀ ਜੋ ਸਾਰੇ ਮਨੁੱਖਾਂ ਨੂੰ ਰੋਸ਼ਨੀ ਦਿੰਦਾ ਹੈ।
[IRV | PA | NT | John | Chapter 1 | Verse 10] ਸ਼ਬਦ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਜਗਤ ਵਿੱਚ ਸੀ, ਉਸ ਰਾਹੀਂ ਜਗਤ ਰਚਿਆ ਗਿਆ, ਪਰ ਜਗਤ ਨੇ ਉਸ ਨੂੰ ਨਹੀਂ ਪਹਿਚਾਣਿਆ।
[IRV | PA | NT | John | Chapter 1 | Verse 11] ਉਹ ਆਪਣੇ ਲੋਕਾਂ ਵਿੱਚ ਆਇਆ, ਪਰ ਉਸ ਦੇ ਆਪਣੇ ਹੀ ਲੋਕਾਂ ਨੇ ਉਸ ਨੂੰ ਕਬੂਲ ਨਾ ਕੀਤਾ।
