[IRV | PA | NT | John | Chapter 12 | Verse 1] ਪਸਾਹ ਦੇ ਤਿਉਹਾਰ ਤੋਂ ਛੇ ਦਿਨ ਪਹਿਲਾਂ ਯਿਸੂ ਬੈਤਆਨਿਯਾ ਵਿੱਚ ਆਇਆ, ਜਿੱਥੇ ਲਾਜ਼ਰ ਰਹਿੰਦਾ ਸੀ। ਲਾਜ਼ਰ ਉਹ ਆਦਮੀ ਸੀ, ਜਿਸ ਨੂੰ ਯਿਸੂ ਨੇ ਮੁਰਦਿਆਂ ਵਿੱਚੋਂ ਜਿਉਂਦਾ ਕੀਤਾ ਸੀ l
[IRV | PA | NT | John | Chapter 12 | Verse 2] ਉੱਥੇ ਉਨ੍ਹਾਂ ਨੇ ਯਿਸੂ ਲਈ ਭੋਜਨ ਤਿਆਰ ਕੀਤਾ ਅਤੇ ਮਾਰਥਾ ਨੇ ਭੋਜਨ ਵਰਤਾਇਆ। ਲਾਜ਼ਰ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਸੀ ਜੋ ਯਿਸੂ ਨਾਲ ਭੋਜਨ ਕਰ ਰਿਹਾ ਸੀ।
[IRV | PA | NT | John | Chapter 12 | Verse 3] ਮਰਿਯਮ ਨੇ ਜਟਾਮਾਂਸੀ ਦਾ ਮਹਿੰਗਾ ਅਤਰ ਲਿਆ। ਉਸ ਨੇ ਇਸ ਨੂੰ ਯਿਸੂ ਦੇ ਚਰਨਾਂ ਉੱਤੇ ਮਲਿਆ ਅਤੇ ਆਪਣੇ ਵਾਲਾਂ ਨਾਲ ਉਸ ਦੇ ਪੈਰ ਸਾਫ਼ ਕੀਤੇ। ਸਾਰਾ ਘਰ ਅਤਰ ਦੀ ਸੁਗੰਧ ਨਾਲ ਭਰ ਗਿਆ।
[IRV | PA | NT | John | Chapter 12 | Verse 4] ਯਹੂਦਾ ਇਸਕਰਿਯੋਤੀ ਯਿਸੂ ਦੇ ਚੇਲਿਆਂ ਵਿੱਚੋਂ ਇੱਕ ਸੀ। (ਇਹ ਉਹ ਸੀ ਜਿਸ ਨੇ ਯਿਸੂ ਨੂੰ ਫੜਵਾਉਣਾ ਸੀ) ਯਹੂਦਾ ਨੇ ਆਖਿਆ
[IRV | PA | NT | John | Chapter 12 | Verse 5] “ਉਹ ਅਤਰ ਚਾਂਦੀ ਦੇ ਤਿੰਨ ਸੌ ਸਿੱਕਿਆਂ ਦੇ ਮੁੱਲ ਦਾ ਸੀ। ਇਸ ਨੂੰ ਯਿਸੂ ਤੇ ਮਲਣ ਦੀ ਬਜਾਇ ਇਸ ਅਤਰ ਨੂੰ ਬਾਜ਼ਾਰ ਵਿੱਚ ਵੇਚ ਕੇ ਗਰੀਬਾਂ ਦੀ ਮਦਦ ਕੀਤੀ ਜਾ ਸਕਦੀ ਸੀ।”
[IRV | PA | NT | John | Chapter 12 | Verse 6] ਯਹੂਦਾ ਨੇ ਇਹ ਗੱਲ ਇਸ ਲਈ ਨਹੀਂ ਆਖੀ ਸੀ ਕਿ ਉਹ ਗਰੀਬਾਂ ਬਾਰੇ ਚਿੰਤਾ ਕਰਦਾ ਸੀ, ਪਰ ਉਹ ਚੋਰ ਸੀ। ਚੇਲਿਆਂ ਦੀ ਟੋਲੀ ਲਈ ਧਨ ਵਾਲੀ ਥੈਲੀ ਉਸ ਕੋਲ ਹੁੰਦੀ ਸੀ, ਜਿਸ ਵਿੱਚੋਂ ਜਦੋਂ ਉਹ ਚਾਹੇ ਚੋਰੀ ਕਰ ਲੈਂਦਾ ਸੀ।
[IRV | PA | NT | John | Chapter 12 | Verse 7] ਯਿਸੂ ਨੇ ਆਖਿਆ, “ਉਸ ਨੂੰ ਨਾ ਰੋਕੋ, ਉਸ ਨੂੰ ਇਹ ਮੇਰੇ ਦਫ਼ਨਾਉਣ ਦੇ ਦਿਨ ਦੀ ਤਿਆਰੀ ਲਈ ਕਰਨ ਦਿਉ।
[IRV | PA | NT | John | Chapter 12 | Verse 8] ਕੰਗਾਲ ਲੋਕ ਸਦਾ ਤੁਹਾਡੇ ਨਾਲ ਹੋਣਗੇ, ਪਰ ਮੈਂ ਸਦਾ ਤੁਹਾਡੇ ਨਾਲ ਨਹੀਂ ਹੋਵਾਂਗਾ।”
[IRV | PA | NT | John | Chapter 12 | Verse 9] ਬਹੁਤ ਸਾਰੇ ਯਹੂਦੀ ਜਾਣ ਗਏ ਕਿ ਯਿਸੂ ਬੈਤਅਨਿਯਾ ਵਿੱਚ ਸੀ ਅਤੇ ਉਹ ਯਿਸੂ ਨੂੰ ਹੀ ਨਹੀਂ ਸਗੋਂ ਲਾਜ਼ਰ ਨੂੰ ਵੀ ਵੇਖਣ ਆਏ। ਲਾਜ਼ਰ ਨੂੰ ਯਿਸੂ ਨੇ ਮੁਰਦੇ ਤੋਂ ਜਿਵਾਇਆ ਸੀ।
[IRV | PA | NT | John | Chapter 12 | Verse 10] ਤਦ ਮੁੱਖ ਜਾਜਕਾਂ ਨੇ ਲਾਜ਼ਰ ਨੂੰ ਵੀ ਮਾਰਨ ਦੀ ਸੋਚ ਬਣਾਈ।
[IRV | PA | NT | John | Chapter 12 | Verse 11] ਲਾਜ਼ਰ ਦੇ ਕਾਰਨ ਬਹੁਤ ਸਾਰੇ ਯਹੂਦੀ ਆਪਣੇ ਆਗੂਆਂ ਨੂੰ ਛੱਡ ਕੇ ਯਿਸੂ ਤੇ ਵਿਸ਼ਵਾਸ ਕਰਨ ਲੱਗ ਪਏ ਸਨ ਇਸ ਲਈ ਯਹੂਦੀਆਂ ਦੇ ਆਗੂ ਲਾਜ਼ਰ ਨੂੰ ਵੀ ਮਾਰ ਮੁਕਾਉਣਾ ਚਾਹੁੰਦੇ ਸਨ।
