[IRV | PA | NT | John | Chapter 15 | Verse 1] ਯਿਸੂ ਨੇ ਕਿਹਾ, “ਮੈਂ ਅੰਗੂਰ ਦੀ ਸੱਚੀ ਵੇਲ ਹਾਂ, ਮੇਰਾ ਪਿਤਾ ਬਾਗਵਾਨ ਹੈ।”
[IRV | PA | NT | John | Chapter 15 | Verse 2] ਹਰ ਉਹ ਟਹਿਣੀ ਜਿਹੜੀ ਫਲ ਨਹੀਂ ਦਿੰਦੀ, ਉਹ ਵੱਡ ਸੁੱਟਦਾ ਹੈ। ਉਹ ਹਰ ਟਹਿਣੀ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਛਾਂਗਦਾ, ਜਿਹੜੀ ਫਲ ਦਿੰਦੀ ਹੈ ਅਤੇ ਉਸ ਨੂੰ ਸਾਫ਼ ਕਰਦਾ ਹੈ ਤਾਂ ਜੋ ਉਹ ਹੋਰ ਬਹੁਤ ਸਾਰਾ ਫਲ ਦੇਵੇ।
[IRV | PA | NT | John | Chapter 15 | Verse 3] ਤੁਸੀਂ ਪਹਿਲਾਂ ਹੀ ਮੇਰੇ ਦਿੱਤੇ ਹੋਏ ਬਚਨ ਦੁਆਰਾ ਸਾਫ਼ ਹੋ।
[IRV | PA | NT | John | Chapter 15 | Verse 4] ਤੁਸੀਂ ਮੇਰੇ ਵਿੱਚ ਰਹੋ ਅਤੇ ਮੈਂ ਤੁਹਾਡੇ ਵਿੱਚ ਰਹਾਂਗਾ। ਕੋਈ ਵੀ ਟਹਿਣੀ ਜੇ ਉਹ ਅੰਗੂਰ ਦੀ ਵੇਲ ਵਿੱਚ ਨਾ ਰਹੇ, ਆਪਣੇ ਆਪ ਫਲ ਨਹੀਂ ਦੇ ਸਕਦੀ। ਇਸੇ ਤਰ੍ਹਾਂ, ਜੇਕਰ ਤੁਸੀਂ ਮੇਰੇ ਵਿੱਚ ਨਹੀਂ ਰਹੋਂਗੇ, ਤੁਸੀਂ ਫਲ ਪੈਦਾ ਨਹੀਂ ਕਰ ਸਕਦੇ।
[IRV | PA | NT | John | Chapter 15 | Verse 5] “ਅੰਗੂਰ ਦੀ ਵੇਲ ਮੈਂ ਹਾਂ ਤੇ ਤੁਸੀਂ ਉਸ ਦੀਆਂ ਟਹਿਣੀਆਂ ਹੋ। ਜੇਕਰ ਕੋਈ ਮੇਰੇ ਵਿੱਚ ਰਹਿੰਦਾ ਹੈ, ਮੈਂ ਉਸ ਵਿੱਚ ਹੋਵਾਂਗਾ ਅਤੇ ਉਹ ਬਹੁਤ ਫਲ ਦੇਵੇਗਾ ਪਰ ਮੇਰੇ ਤੋਂ ਅੱਲਗ ਹੋ ਕੇ ਤੁਸੀਂ ਕੁਝ ਵੀ ਨਹੀਂ ਕਰ ਸਕਦੇ।”
[IRV | PA | NT | John | Chapter 15 | Verse 6] ਜੇਕਰ ਕੋਈ ਮੇਰੇ ਵਿੱਚ ਨਹੀਂ ਰਹਿੰਦਾ, ਉਹ ਇੱਕ ਟਹਿਣੀ ਵਾਂਗੂੰ ਸੁੱਟਿਆ ਜਾਵੇਗਾ ਅਤੇ ਸੁੱਕ ਜਾਵੇਗਾ। ਅਜਿਹੀਆਂ ਟਹਿਣੀਆਂ ਨੂੰ ਲੋਕ ਅੱਗ ਵਿੱਚ ਸਾੜ ਦਿੰਦੇ ਹਨ।
[IRV | PA | NT | John | Chapter 15 | Verse 7] “ਜੇਕਰ ਤੁਸੀਂ ਮੇਰੇ ਵਿੱਚ ਰਹੋ ਅਤੇ ਮੇਰੀਆਂ ਗੱਲਾਂ ਤੁਹਾਡੇ ਵਿੱਚ ਰਹਿਣ ਤਾਂ ਜੋ ਤੁਸੀਂ ਚਾਹੋ ਸੋ ਮੰਗੋ ਅਤੇ ਉਹ ਦੇ ਦਿੱਤਾ ਜਾਵੇਗਾ।”
[IRV | PA | NT | John | Chapter 15 | Verse 8] ਇਸ ਰਾਹੀਂ ਮੇਰੇ ਪਿਤਾ ਦੀ ਵਡਿਆਈ ਹੋਵੇਗੀ, ਜੋ ਤੁਸੀਂ ਬਹੁਤਾ ਫਲ ਲੈ ਕੇ ਆਓ, ਇਸ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਮੇਰੇ ਚੇਲੇ ਹੋਵੋਗੇ।
[IRV | PA | NT | John | Chapter 15 | Verse 9] “ਜਿਵੇਂ ਕਿ ਮੇਰੇ ਪਿਤਾ ਨੇ ਮੈਨੂੰ ਪਿਆਰ ਕੀਤਾ ਤਿਵੇਂ ਮੈਂ ਤੁਹਾਨੂੰ ਵੀ ਪਿਆਰ ਕੀਤਾ। ਇਸ ਲਈ ਤੁਸੀਂ ਵੀ ਮੇਰੇ ਪਿਆਰ ਵਿੱਚ ਬਣੇ ਰਹੋ।”
[IRV | PA | NT | John | Chapter 15 | Verse 10] ਮੈਂ ਆਪਣੇ ਪਿਤਾ ਦੇ ਹੁਕਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰਦਾ ਹਾਂ ਅਤੇ ਮੈਂ ਉਸ ਦੇ ਪਿਆਰ ਵਿੱਚ ਰਹਿੰਦਾ ਹਾਂ। ਇਸੇ ਤਰ੍ਹਾਂ ਜੇਕਰ ਤੁਸੀਂ ਵੀ ਮੇਰੇ ਹੁਕਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋਂਗੇ ਤੁਸੀਂ ਮੇਰੇ ਪਿਆਰ ਵਿੱਚ ਰਹੋਂਗੇ।
[IRV | PA | NT | John | Chapter 15 | Verse 11] “ਇਹ ਗੱਲਾਂ ਮੈਂ ਤੁਹਾਨੂੰ ਇਸ ਲਈ ਆਖੀਆਂ ਹਨ ਤਾਂ ਜੋ ਮੇਰੀ ਖੁਸ਼ੀ ਤੁਹਾਡੇ ਵਿੱਚ ਪੂਰੀ ਹੋਵੇ ਅਤੇ ਤੁਹਾਡੀ ਖੁਸ਼ੀ ਪੂਰੀ ਹੋ ਸਕੇ।”
[IRV | PA | NT | John | Chapter 15 | Verse 12] ਤੁਹਾਡੇ ਲਈ ਮੇਰਾ ਇਹ ਹੁਕਮ ਹੈ ਜਿਵੇਂ ਮੈਂ ਤੁਹਾਨੂੰ ਪਿਆਰ ਕੀਤਾ ਹੈ, ਇਸੇ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਵੀ ਇੱਕ ਦੂਜੇ ਨੂੰ ਪਿਆਰ ਕਰੋ।
[IRV | PA | NT | John | Chapter 15 | Verse 13] ਇਸ ਤੋਂ ਵਧੇਰੇ ਕਿਸੇ ਦਾ ਪਿਆਰ ਨਹੀਂ ਜੋ ਕੋਈ ਆਪਣੇ ਮਿੱਤਰ ਲਈ ਜਾਨ ਦੇ ਦੇਵੇ
[IRV | PA | NT | John | Chapter 15 | Verse 14] ਤੁਸੀਂ ਮੇਰੇ ਮਿੱਤਰ ਹੋ ਜੇਕਰ ਤੁਸੀਂ ਉਹ ਗੱਲਾਂ ਕਰੋ ਜਿਨ੍ਹਾਂ ਦਾ ਮੈਂ ਤੁਹਾਨੂੰ ਹੁਕਮ ਦਿੰਦਾ ਹਾਂ।
