[IRV | PA | NT | John | Chapter 5 | Verse 1] ਇਸ ਤੋਂ ਬਾਅਦ ਯਿਸੂ ਇੱਕ ਖ਼ਾਸ ਯਹੂਦੀਆਂ ਤਿਉਹਾਰ ਲਈ ਯਰੂਸ਼ਲਮ ਗਿਆ।
[IRV | PA | NT | John | Chapter 5 | Verse 2] ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਇੱਕ ਤਲਾਬ ਹੈ ਜਿਸ ਦੇ ਪੰਜ ਬਰਾਂਡੇ ਬਣੇ ਹੋਏ ਹਨ। ਇਸ ਤਾਲ ਨੂੰ ਇਬਰਾਨੀ ਭਾਸ਼ਾ ਵਿੱਚ ਬੇਥਜ਼ਥਾ ਆਖਦੇ ਹਨ। ਇਹ ਤਲਾਬ ਭੇਡ ਦਰਵਾਜ਼ੇ ਦੇ ਨੇੜੇ ਹੈ।
[IRV | PA | NT | John | Chapter 5 | Verse 3] ਬਹੁਤ ਸਾਰੇ ਬਿਮਾਰ ਲੋਕ ਤਾਲ ਦੇ ਨੇੜੇ ਬਰਾਂਡਿਆਂ ਵਿੱਚ ਲੇਟੇ ਹੋਏ ਸਨ। ਕੁਝ ਲੋਕ ਅੰਨ੍ਹੇ, ਲੰਗੜੇ ਤੇ ਕੁਝ ਅਧਰੰਗੀ ਸਨ।
[IRV | PA | NT | John | Chapter 5 | Verse 4] ਇੱਕ ਠਹਿਰਾਏ ਹੋਏ ਸਮੇਂ ਤੇ ਇੱਕ ਦੂਤ ਆ ਕੇ ਤਲਾਬ ਦੇ ਪਾਣੀ ਨੂੰ ਹਿਲਾਉਂਦਾ ਸੀ, ਅਤੇ ਜਿਹੜਾ ਸਭ ਤੋਂ ਪਹਿਲਾਂ ਉਸ ਵਿੱਚ ਵੜਦਾ ਸੀ, ਉਸ ਹਰ ਪ੍ਰਕਾਰ ਦੀ ਬਿਮਾਰੀ ਤੋਂ ਚੰਗਾ ਹੋ ਜਾਂਦਾ ਸੀ l
[IRV | PA | NT | John | Chapter 5 | Verse 5] ਉਨ੍ਹਾਂ ਵਿੱਚ ਇੱਕ ਅਜਿਹਾ ਆਦਮੀ ਵੀ ਸੀ, ਜੋ ਅਠੱਤੀ ਸਾਲਾਂ ਤੋਂ ਬਿਮਾਰ ਸੀ।
[IRV | PA | NT | John | Chapter 5 | Verse 6] ਯਿਸੂ ਨੇ ਉਸ ਆਦਮੀ ਨੂੰ ਉੱਥੇ ਲੇਟਿਆ ਵੇਖਿਆ। ਯਿਸੂ ਨੂੰ ਇਹ ਪਤਾ ਸੀ ਕਿ ਉਹ ਬਹੁਤ ਲੰਮੇ ਸਮੇਂ ਤੋਂ ਬਿਮਾਰ ਸੀ। ਇਸ ਲਈ ਯਿਸੂ ਨੇ ਉਸ ਨੂੰ ਪੁੱਛਿਆ, “ਕੀ ਤੂੰ ਚੰਗਾ ਹੋਣਾ ਚਾਹੁੰਦਾ ਹੈਂ?”
[IRV | PA | NT | John | Chapter 5 | Verse 7] ਉਸ ਬਿਮਾਰ ਆਦਮੀ ਨੇ ਆਖਿਆ, “ਪ੍ਰਭੂ ਜੀ, ਅਜਿਹਾ ਕੋਈ ਨਹੀਂ ਜੋ ਉਦੋਂ ਤਲਾਬ ਅੰਦਰ ਜਾਣ ਵਿੱਚ ਮੇਰੀ ਸਹਾਇਤਾ ਕਰੇ ਜਦੋਂ ਪਾਣੀ ਵਿੱਚ ਹਲਚਲ ਹੁੰਦੀ ਹੈ। ਮੈਂ ਤਾਲ ਅੰਦਰ ਪਹੁੰਚਣ ਵਾਲਾ ਪਹਿਲਾ ਵਿਅਕਤੀ ਹੋਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਦਾ ਹਾਂ ਪਰ ਜਦੋਂ ਤੱਕ ਕਿ ਮੈਂ ਪਹੁੰਚਾ ਮੇਰੇ ਤੋਂ ਪਹਿਲਾਂ ਹੀ ਕੋਈ ਹੋਰ ਤਲਾ ਅੰਦਰ ਵੜ ਜਾਂਦਾ ਹੈ।”
[IRV | PA | NT | John | Chapter 5 | Verse 8] ਫਿਰ ਯਿਸੂ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ, “ਉੱਠ, ਆਪਣਾ ਬਿਸਤਰਾ ਚੁੱਕ ਅਤੇ ਤੁਰ।”
[IRV | PA | NT | John | Chapter 5 | Verse 9] ਉਹ ਤੁਰੰਤ ਹੀ ਚੰਗਾ ਹੋ ਗਿਆ। ਉਸ ਨੇ ਆਪਣੀ ਮੰਜੀ ਚੁੱਕ ਕੇ ਚੱਲਣਾ ਸ਼ੁਰੂ ਕਰ ਦਿੱਤਾ। ਜਦੋਂ ਇਹ ਸਭ ਕੁਝ ਵਾਪਰਿਆ, ਇਹ ਸਬਤ ਦਾ ਦਿਨ ਸੀ।
[IRV | PA | NT | John | Chapter 5 | Verse 10] ਇਸ ਲਈ ਯਹੂਦੀਆਂ ਨੇ ਉਸ ਚੰਗੇ ਹੋਏ ਬੰਦੇ ਨੂੰ ਆਖਿਆ, “ਅੱਜ ਸਬਤ ਦਾ ਦਿਨ ਹੈ, ਤੇਰਾ ਬਿਸਤਰਾ ਚੁੱਕਣਾ ਬਿਵਸਥਾ ਦੇ ਖਿਲਾਫ਼ ਹੈ।”
[IRV | PA | NT | John | Chapter 5 | Verse 11] ਪਰ ਉਸ ਨੇ ਆਖਿਆ, “ਉਹ ਵਿਅਕਤੀ ਜਿਸ ਨੇ ਮੈਨੂੰ ਚੰਗਾ ਕੀਤਾ ਹੈ,” ਉਸ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, “ਆਪਣਾ ਬਿਸਤਰਾ ਚੁੱਕ ਤੇ ਚਲ ਫਿਰ।”
