[IRV | PA | NT | John | Chapter 6 | Verse 1] ਇਸ ਤੋਂ ਬਾਅਦ ਯਿਸੂ ਗਲੀਲ ਦੀ ਝੀਲ ਅਰਥਾਤ ਤਿਬਿਰਿਯਾਸ ਦੀ ਝੀਲ ਦੇ ਪਾਰ ਚੱਲਿਆ ਗਿਆ।
[IRV | PA | NT | John | Chapter 6 | Verse 2] ਬਹੁਤ ਸਾਰੇ ਲੋਕ ਉਸ ਦੇ ਨਾਲ ਗਏ, ਕਿਉਂਕਿ ਉਨ੍ਹਾਂ ਨੇ ਯਿਸੂ ਦੇ ਚੰਗਾ ਕਰਨ ਦੇ ਚਮਤਕਾਰ ਵੇਖੇ ਸਨ।
[IRV | PA | NT | John | Chapter 6 | Verse 3] ਯਿਸੂ ਪਹਾੜ ਉੱਤੇ ਗਿਆ ਅਤੇ ਉੱਥੇ ਆਪਣੇ ਚੇਲਿਆਂ ਨਾਲ ਬੈਠ ਗਿਆ।
[IRV | PA | NT | John | Chapter 6 | Verse 4] ਯਹੂਦੀਆਂ ਦੇ ਪਸਾਹ ਦੇ ਤਿਉਹਾਰ ਦਾ ਸਮਾਂ ਨੇੜੇ ਸੀ।
[IRV | PA | NT | John | Chapter 6 | Verse 5] ਯਿਸੂ ਨੇ ਉੱਪਰ ਵੇਖਿਆ, ਅਤੇ ਬਹੁਤ ਸਾਰੇ ਲੋਕਾਂ ਨੂੰ ਆਪਣੇ ਵੱਲ ਆਉਂਦਿਆਂ ਵੇਖਿਆ। ਯਿਸੂ ਨੇ ਫ਼ਿਲਿਪੁੱਸ ਨੂੰ ਆਖਿਆ “ਅਸੀਂ ਕਿੱਥੋਂ ਭੋਜਨ ਖਰੀਦ ਸਕਦੇ ਹਾਂ ਤਾਂ ਜੋ ਉਹ ਸਾਰੇ ਖਾ ਸਕਣ।”
[IRV | PA | NT | John | Chapter 6 | Verse 6] ਯਿਸੂ ਨੇ ਇਹ ਫ਼ਿਲਿਪੁੱਸ ਨੂੰ ਪਰਖਣ ਦੇ ਲਈ ਹੀ ਪੁੱਛਿਆ ਸੀ। ਜੋ ਉਹ ਕਰਨ ਵਾਲਾ ਸੀ ਯਿਸੂ ਪਹਿਲਾਂ ਹੀ ਜਾਣਦਾ ਸੀ।
[IRV | PA | NT | John | Chapter 6 | Verse 7] ਫ਼ਿਲਿਪੁੱਸ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, “ਭਾਵੇਂ ਅਸੀਂ ਦੋ ਸੋ ਦੀਨਾਰ (ਇੱਕ ਦੀਨਾਰ ਇੱਕ ਦਿਨ ਦੀ ਮਜ਼ਦੂਰੀ ਦੇ ਬਰਾਬਰ) ਦੀਆਂ ਰੋਟੀਆਂ ਵੀ ਲੈ ਆਈਏ ਤਾਂ ਵੀ ਅਸੀਂ ਇੰਨ੍ਹਾਂ ਸਾਰਿਆਂ ਨੂੰ ਰੋਟੀ ਦਾ ਇੱਕ ਛੋਟਾ ਜਿਹਾ ਟੁੱਕੜਾ ਹੀ ਦੇਣ ਯੋਗ ਹੋਵਾਂਗੇ।”
[IRV | PA | NT | John | Chapter 6 | Verse 8] ਉੱਥੇ ਇੱਕ ਹੋਰ ਚੇਲਾ ਸੀ ਅੰਦ੍ਰਿਯਾਸ, ਜੋ ਕਿ ਸ਼ਮਊਨ ਪਤਰਸ ਦਾ ਭਰਾ ਸੀ, ਉਸ ਨੇ ਕਿਹਾ,
[IRV | PA | NT | John | Chapter 6 | Verse 9] “ਇੱਥੇ ਇੱਕ ਬੱਚਾ ਹੈ, ਜਿਸ ਕੋਲ ਪੰਜ ਰੋਟੀਆਂ ਅਤੇ ਦੋ ਮੱਛੀਆਂ ਹਨ, ਪਰ ਇਹ ਇੰਨ੍ਹੇ ਸਾਰੇ ਲੋਕਾਂ ਲਈ ਕਿਵੇਂ ਪੂਰੀਆਂ ਹੋਣਗੀਆਂ?”
[IRV | PA | NT | John | Chapter 6 | Verse 10] ਯਿਸੂ ਨੇ ਆਖਿਆ, “ਲੋਕਾਂ ਨੂੰ ਕਹੋ ਕਿ ਉਹ ਬੈਠ ਜਾਣ।” ਉਸ ਥਾਂ ਤੇ ਬਹੁਤ ਸਾਰਾ ਘਾਹ ਸੀ, ਪੰਜ ਹਜ਼ਾਰ ਆਦਮੀ ਉੱਥੇ ਬੈਠ ਗਏ।
[IRV | PA | NT | John | Chapter 6 | Verse 11] ਤਦ ਯਿਸੂ ਨੇ ਰੋਟੀਆਂ ਆਪਣੇ ਹੱਥਾਂ ਵਿੱਚ ਲਈਆਂ ਅਤੇ ਉਨ੍ਹਾਂ ਲਈ ਪਰਮੇਸ਼ੁਰ ਦਾ ਧੰਨਵਾਦ ਕੀਤਾ ਅਤੇ ਬੈਠੇ ਹੋਏ ਲੋਕਾਂ ਨੂੰ ਦਿੱਤੀਆਂ। ਉਨ੍ਹਾਂ ਮੱਛੀਆਂ ਨਾਲ ਵੀ ਇਹੀ ਕੀਤਾ। ਯਿਸੂ ਨੇ ਲੋਕਾਂ ਨੂੰ ਓਨਾ ਦਿੱਤਾ ਜਿੰਨੇ ਦੀ ਉਨ੍ਹਾਂ ਨੂੰ ਜ਼ਰੂਰਤ ਸੀ।
