[IRV | PA | NT | John | Chapter 3 | Verse 1] ਉੱਥੇ ਨਿਕੋਦਿਮੁਸ ਨਾਮ ਦਾ ਇੱਕ ਮਨੁੱਖ ਸੀ, ਜੋ ਫ਼ਰੀਸੀਆਂ ਵਿੱਚੋਂ ਅਤੇ ਯਹੂਦੀਆਂ ਦਾ ਮੁੱਖ ਆਗੂ ਸੀ।
[IRV | PA | NT | John | Chapter 3 | Verse 2] ਇੱਕ ਰਾਤ ਨਿਕੋਦਿਮੁਸ ਯਿਸੂ ਕੋਲ ਆਇਆ ਅਤੇ ਆਖਿਆ, “ਗੁਰੂ ਜੀ ਅਸੀਂ ਜਾਣਦੇ ਹਾਂ ਕਿ ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭੇਜੇ ਹੋਏ ਇੱਕ ਗੁਰੂ ਹੋ। ਤੁਸੀਂ ਜੋ ਚਮਤਕਾਰ ਕਰਦੇ ਹੋ ਪਰਮੇਸ਼ੁਰ ਦੀ ਸਹਾਇਤਾ ਤੋਂ ਬਿਨ੍ਹਾਂ ਕੋਈ ਨਹੀਂ ਕਰ ਸਕਦਾ।”
[IRV | PA | NT | John | Chapter 3 | Verse 3] ਯਿਸੂ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, “ਮੈਂ ਤੁਹਾਨੂੰ ਸੱਚ ਆਖਦਾ ਹਾਂ। ਇੱਕ ਮਨੁੱਖ ਉਦੋਂ ਤੱਕ ਪਰਮੇਸ਼ੁਰ ਦੇ ਰਾਜ ਨੂੰ ਨਹੀਂ ਵੇਖ ਸਕਦਾ, ਜਿੰਨਾਂ ਚਿਰ ਉਹ ਨਵੇਂ ਸਿਰਿਓਂ ਨਹੀਂ ਜਨਮ ਲੈਂਦਾ।”
[IRV | PA | NT | John | Chapter 3 | Verse 4] ਨਿਕੋਦਿਮੁਸ ਨੇ ਆਖਿਆ, “ਜੇਕਰ ਕੋਈ ਵਿਅਕਤੀ ਪਹਿਲਾਂ ਹੀ ਬੁੱਢਾ ਹੈ ਤਾਂ ਉਹ ਕਿਵੇਂ ਦੁਬਾਰਾ ਜਨਮ ਸਕਦਾ ਹੈ? ਕੀ ਇਹ ਸਕਦਾ ਜੋ ਉਹ ਜਨਮ ਲੈਣ ਲਈ ਆਪਣੀ ਮਾਂ ਦੀ ਕੁੱਖ ਵਿੱਚ ਦੂਸਰੀ ਵਾਰੀ ਜਾਵੇ?”
[IRV | PA | NT | John | Chapter 3 | Verse 5] ਪਰ ਯਿਸੂ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, “ਮੈਂ ਤੁਹਾਨੂੰ ਸੱਚ ਕਹਿੰਦਾ ਹਾਂ ਜੇਕਰ ਕੋਈ ਵਿਅਕਤੀ ਪਾਣੀ ਅਤੇ ਆਤਮਾ ਤੋਂ ਨਹੀਂ ਜਨਮ ਲੈਂਦਾ ਤਾਂ ਉਹ ਪਰਮੇਸ਼ੁਰ ਦੇ ਰਾਜ ਵਿੱਚ ਜਾ ਨਹੀਂ ਸਕਦਾ।
[IRV | PA | NT | John | Chapter 3 | Verse 6] ਸਰੀਰ ਤੋਂ ਸਰੀਰ ਪੈਦਾ ਹੁੰਦਾ ਹੈ ਅਤੇ ਆਤਮਾ ਤੋਂ ਆਤਮਾ ਜਨਮ ਲੈਂਦਾ ਹੈ।
[IRV | PA | NT | John | Chapter 3 | Verse 7] ਇਸ ਲਈ ਹੈਰਾਨ ਨਾ ਹੋਵੋ ਕਿ ਮੈਂ ਤੁਹਾਨੂੰ ਆਖਿਆ ਹੈ ਕਿ ‘ਤੁਹਾਨੂੰ ਨਵੇਂ ਸਿਰਿਓਂ ਜਨਮ ਲੈਣਾ ਚਾਹੀਦਾ ਹੈ।’
[IRV | PA | NT | John | Chapter 3 | Verse 8] ਹਵਾ ਉਸ ਪਾਸੇ ਹੀ ਚੱਲਦੀ ਹੈ ਜਿੱਧਰ ਉਹ ਚਾਹੁੰਦੀ ਹੈ। ਤੁਸੀਂ ਹਵਾ ਦੇ ਚੱਲਣ ਦੀ ਅਵਾਜ਼ ਸੁਣ ਸਕਦੇ ਹੋ। ਪਰ ਤੁਹਾਨੂੰ ਇਹ ਨਹੀਂ ਪਤਾ ਕਿ ਹਵਾ ਕਿੱਧਰੋਂ ਆਉਂਦੀ ਹੈ ਤੇ ਕਿੱਧਰ ਜਾਂਦੀ ਹੈ। ਆਤਮਾ ਤੋਂ ਜਨਮੇ ਵਿਅਕਤੀ ਨਾਲ ਵੀ ਇਵੇਂ ਹੀ ਹੈ।”
[IRV | PA | NT | John | Chapter 3 | Verse 9] ਨਿਕੋਦਿਮੁਸ ਨੇ ਪੁੱਛਿਆ, “ਇਹ ਕਿਵੇਂ ਹੋ ਸਕਦਾ?”
[IRV | PA | NT | John | Chapter 3 | Verse 10] ਯਿਸੂ ਨੇ ਆਖਿਆ, “ਤੂੰ ਇਸਰਾਏਲ ਦਾ ਇੱਕ ਗੁਰੂ ਹੈ ਅਤੇ ਅਜੇ ਵੀ ਤੂੰ ਇਹ ਗੱਲਾਂ ਨਹੀਂ ਸਮਝਦਾ?
[IRV | PA | NT | John | Chapter 3 | Verse 11] ਮੈਂ ਤੁਹਾਨੂੰ ਸੱਚ ਦੱਸਦਾ ਹਾਂ। ਅਸੀਂ ਜੋ ਜਾਣਦੇ ਹਾਂ ਉਸ ਬਾਰੇ ਗਵਾਹੀ ਦਿੰਦੇ ਹਾਂ, ਅਸੀਂ ਉਸ ਬਾਰੇ ਦੱਸਦੇ ਹਾਂ ਜੋ ਅਸੀਂ ਵੇਖਿਆ ਹੈ। ਪਰ ਤੁਸੀਂ ਲੋਕ ਉਸ ਤੇ ਵਿਸ਼ਵਾਸ ਨਹੀਂ ਕਰਦੇ ਜੋ ਅਸੀਂ ਤੁਹਾਨੂੰ ਦੱਸਦੇ ਹਾਂ।
