[IRV | PA | NT | John | Chapter 18 | Verse 1] ਜਦੋਂ ਯਿਸੂ ਗੱਲਾਂ ਕਰ ਹਟਿਆ, ਤਾਂ ਉਹ ਆਪਣੇ ਚੇਲਿਆਂ ਨਾਲ ਉਹ ਕਿਦਰੋਨ ਦਰਿਆ ਦੇ ਪਾਰ ਚਲੇ ਗਏ। ਉੱਥੇ ਇੱਕ ਜੈਤੂਨ ਦੇ ਰੁੱਖਾਂ ਦਾ ਬਾਗ਼ ਸੀ, ਯਿਸੂ ਅਤੇ ਉਸ ਦੇ ਚੇਲੇ ਉੱਥੇ ਚਲੇ ਗਏ।
[IRV | PA | NT | John | Chapter 18 | Verse 2] ਅਤੇ ਯਹੂਦਾ ਇਸ ਥਾਂ ਤੋਂ ਵਾਕਫ਼ ਸੀ, ਕਿਉਂਕਿ ਯਿਸੂ ਅਕਸਰ ਆਪਣੇ ਚੇਲਿਆਂ ਨਾਲ ਉਸ ਥਾਂ ਤੇ ਜਾਂਦਾ ਸੀ। ਇਹ ਯਹੂਦਾ ਹੀ ਸੀ ਜਿਸ ਨੇ ਯਿਸੂ ਨੂੰ ਉਸ ਦੇ ਵੈਰੀਆਂ ਹੱਥੀਂ ਫ਼ੜਵਾਉਣਾ ਸੀ।
[IRV | PA | NT | John | Chapter 18 | Verse 3] ਫ਼ਿਰ ਯਹੂਦਾ ਉੱਥੇ ਸਿਪਾਹੀਆਂ ਦਾ ਇੱਕ ਜੱਥਾ ਲੈ ਕੇ ਆਇਆ, ਇਹੀ ਨਹੀਂ ਸਗੋਂ ਉਹ ਆਪਣੇ ਨਾਲ ਮੁੱਖ ਜਾਜਕਾਂ ਅਤੇ ਫ਼ਰੀਸੀਆਂ ਕੋਲੋਂ ਕੁਝ ਪਿਆਦੇ ਵੀ ਲੈ ਆਇਆ। ਉਨ੍ਹਾਂ ਦੇ ਹੱਥਾਂ ਵਿੱਚ ਦੀਵੇ, ਮਸ਼ਾਲਾਂ ਅਤੇ ਹਥਿਆਰ ਸਨ।
[IRV | PA | NT | John | Chapter 18 | Verse 4] ਯਿਸੂ ਜਾਣਦਾ ਸੀ ਕਿ ਉਸ ਨਾਲ ਕੀ ਹੋਣ ਵਾਲਾ ਹੈ। ਯਿਸੂ ਬਾਹਰ ਆਇਆ ਅਤੇ ਆਖਿਆ, “ਤੁਸੀਂ ਕਿਸਨੂੰ ਲੱਭ ਰਹੇ ਹੋ?”
[IRV | PA | NT | John | Chapter 18 | Verse 5] ਉਨਾਂ ਉਸ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, “ਨਾਸਰਤ ਦੇ ਯਿਸੂ ਨੂੰ।” ਯਿਸੂ ਨੇ ਆਖਿਆ, “ਮੈਂ ਹੀ ਯਿਸੂ ਹਾਂ।” ਯਹੂਦਾ ਜਿਸ ਨੇ ਯਿਸੂ ਨੂੰ ਉਸ ਦੇ ਵੈਰੀਆਂ ਹੱਥੀਂ ਫ਼ੜਵਾਇਆ ਸੀ, ਉਹ ਵੀ ਉਸ ਨਾਲ ਵਿੱਚ ਖੜ੍ਹਾ ਸੀ।
[IRV | PA | NT | John | Chapter 18 | Verse 6] ਜਦੋਂ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, “ਮੈਂ ਯਿਸੂ ਹਾਂ” ਉਹ ਆਦਮੀ ਪਿੱਛੇ ਹਟੇ ਤੇ ਹੇਠਾਂ ਡਿੱਗ ਪਏ।
[IRV | PA | NT | John | Chapter 18 | Verse 7] ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਫੇਰ ਪੁੱਛਿਆ, “ਤੁਸੀਂ ਕਿਸ ਦੀ ਭਾਲ ਕਰ ਰਹੇ ਹੋ?” ਉਹਨਾਂ ਨੇ ਆਖਿਆ, “ਨਾਸਰਤ ਦੇ ਯਿਸੂ ਦੀ।”
[IRV | PA | NT | John | Chapter 18 | Verse 8] ਯਿਸੂ ਨੇ ਕਿਹਾ, “ਮੈਂ ਤੁਹਾਨੂੰ ਆਖਿਆ ਤਾਂ ਹੈ ਕਿ ਮੈਂ ਹੀ ਯਿਸੂ ਹਾਂ, ਇਸ ਲਈ ਜੇਕਰ ਤੁਸੀਂ ਮੈਨੂੰ ਭਾਲ ਰਹੇ ਹੋ ਤਾਂ ਇਨ੍ਹਾਂ ਲੋਕਾਂ ਨੂੰ ਜਾਣ ਦਿਉ।”
[IRV | PA | NT | John | Chapter 18 | Verse 9] ਇਹ ਯਿਸੂ ਦੇ ਵਾਕ ਨੂੰ ਪੂਰੇ ਕਰਨ ਲਈ ਹੋਇਆ, “ਮੈਂ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਕੋਈ ਨਹੀਂ ਗੁਆਇਆ ਜਿਨ੍ਹਾਂ ਨੂੰ ਤੂੰ ਮੈਨੂੰ ਦਿੱਤਾ ਹੈ।”
[IRV | PA | NT | John | Chapter 18 | Verse 10] ਫ਼ਿਰ ਸ਼ਮਊਨ ਪਤਰਸ ਕੋਲ ਜਿਹੜੀ ਤਲਵਾਰ ਸੀ ਉਸ ਨੇ ਬਾਹਰ ਕੱਢੀ ਅਤੇ ਪ੍ਰਧਾਨ ਜਾਜਕ ਦੇ ਨੌਕਰ ਤੇ ਚਲਾਈ ਅਤੇ ਉਸਦਾ ਸੱਜਾ ਕੰਨ ਵੱਢ ਦਿੱਤਾ। (ਉਸ ਨੌਕਰ ਦਾ ਨਾਮ ਮਲਖੁਸ ਸੀ)
[IRV | PA | NT | John | Chapter 18 | Verse 11] ਫਿਰ ਯਿਸੂ ਨੇ ਪਤਰਸ ਨੂੰ ਕਿਹਾ, “ਆਪਣੀ ਤਲਵਾਰ ਮਿਆਨ ਵਿੱਚ ਪਾ। ਕੀ ਮੈਨੂੰ ਇਹ ਦੁੱਖਾਂ ਦਾ ਪਿਆਲਾ, ਜਿਹੜਾ ਮੇਰੇ ਪਿਤਾ ਨੇ ਮੈਨੂੰ ਦਿੱਤਾ ਹੈ, ਪੀਣਾ ਨਹੀਂ ਚਾਹੀਦਾ?”
