[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 1] For the third time I am coming to see you. By the word of two or three witnesses each statement will be established.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 2] I have said it, and I say it again before I come, just as if I were with you on my second visit, though for the moment absent, I say to those who have been long sinning, as well as to all others – that if I come again, I will spare no one.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 3] And that will be the proof, which you are looking for, that the Christ speaks through me. There is no weakness in his dealings with you. No, he shows his power among you.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 4] For though his crucifixion was due to weakness, his life is due to the power of God. And we, also, are weak in his weakness, but with him we will live for you through the power of God.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 5] Put yourselves to the test, to see whether you are holding to the faith. Examine yourselves. Surely you recognise this fact about yourselves – that Jesus Christ is in you! Unless indeed you cannot stand the test!
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 6] But I hope that you will recognise that we can stand the test.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 7] We pray to God that you may do nothing wrong, not that we may be seen to stand the test, but that you may do what is right, even though we may seem not to stand the test.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 8] We have no power at all against the truth, but we have power in the service of the truth.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 9] We are glad when we are weak, if you are strong. And what we pray for is that you may become perfect.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 10] This is my reason for writing as I am now doing, while I am away from you, so that, when I am with you, I may not act harshly in the exercise of the authority which the Lord gave me – and gave me for building up and not for pulling down.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 11] And now, friends, goodbye. Aim at perfection; take courage; agree together; live in peace. And then God, the source of all love and peace, will be with you.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 12] Greet one another with a sacred kiss.
[OEB | EN | NT | 2 Corinthians | Chapter 13 | Verse 13] All Christ’s people here send you their greetings.
