[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 1] For my own sake, as well, I decided not to pay you another painful visit.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 2] If it is I who cause you pain, why, who is there to cheer me, except the person whom I am paining?
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 3] So I wrote as I did because I was afraid that if I had come, I should have been pained by those who ought to have made me glad; for I felt sure that it was true of you all that my joy was in every case yours also.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 4] I wrote to you in sore trouble and distress of heart and with many tears, not to give you pain, but to let you see how intense a love I have for you.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 5] Now whoever has caused the pain has not so much pained me, as he has, to some extent – not to be too severe – pained every one of you.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 6] The man to whom I refer has been sufficiently punished by the penalty inflicted by the majority of you;
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 7] so that now you must take the opposite course, and forgive and encourage him, or else he may be overwhelmed by the intensity of his pain.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 8] So I entreat you to assure him of your love.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 9] I had this further object, also, in what I wrote – to find out whether you might be relied on to be obedient in everything.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 10] Anyone you forgive, I forgive them, too. Indeed, for my part, whatever I have forgiven (if I have had to forgive anything), I have forgiven for your sakes, in the presence of Christ,
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 11] so as to prevent Satan from taking advantage of us; for we are not ignorant of his devices.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 12] When I went to the district round Troas to tell the good news of the Christ, even though there was an opening for serving the Master,
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 13] I could get no peace of mind because I failed to find Titus, my friend; so I took leave of the people there, and went on to Macedonia.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 14] All thanks to God, who, through our union with the Christ, leads us in one continual triumph, and uses us to spread the sweet perfume of the knowledge of him in every place.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 15] For we are the fragrance of Christ ascending to God – both among those who are in the path of salvation and among those who are in the path to ruin.
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 16] To the latter we are a stench which arises from death and tells of death; to the former a fragrance which arises from life and tells of life. But who is equal to such a task?
[OEB | EN | NT | 2 Corinthians | Chapter 2 | Verse 17] Unlike many people, we are not in the habit of making profit out of God’s message; but in all sincerity, and bearing God’s commission, we speak before him in union with Christ.
