[IRV | BN | NT | Romans | Chapter 16 | Verse 1] আমাদের বোন, কিংক্রিয়াস্থ শহরের মণ্ডলীর পরিচারিকা, ফৈবীর জন্য আমি তোমাদের কাছে আদেশ করছি,
[IRV | BN | NT | Romans | Chapter 16 | Verse 2] যেন তোমরা তাঁকে প্রভুতে গ্রহণ কর, পবিত্রগণের যথাযোগ্য ভাবে, গ্রহণ কর এবং যে কোন বিষয়ে তোমাদের হতে উপকারের তাঁর প্রয়োজন হতে পারে, তা কর; কারণ তিনিও অনেকের এবং আমার নিজেরও উপকারিণী হয়েছেন।
[IRV | BN | NT | Romans | Chapter 16 | Verse 3] খ্রীষ্ট যীশুতে আমার সহকারী প্রিষ্কা এবং আক্কিলাকে শুভেচ্ছা জানাও;
[IRV | BN | NT | Romans | Chapter 16 | Verse 4] তাঁরা আমার প্রাণরক্ষার জন্য নিজেদের প্রাণ দিয়েছিলেন। আমি তাঁদের ধন্যবাদ দিই এবং কেবল আমি নই, কিন্তু অযিহূদীয়দের সব মণ্ডলীও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 5] তাঁদের বাড়ির মণ্ডলীকেও শুভেচ্ছা জানাও। আমার প্রিয় ইপেনিত, যিনি খ্রীষ্টের জন্য এশিয়া দেশের প্রথম ফল স্বরূপ তাঁকে শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 6] শুভেচ্ছা মরিয়মকে, যিনি তোমাদের জন্য কঠোর পরিশ্রম করেছেন।
[IRV | BN | NT | Romans | Chapter 16 | Verse 7] আমার স্বজাতীয় ও আমার সহবন্দি আন্দ্রনীক ও যুনিয়কে শুভেচ্ছা জানাও, তাঁরা প্রেরিতদের মধ্যে সুপরিচিত ও আমার আগে খ্রীষ্টের আশ্রিত হন।
[IRV | BN | NT | Romans | Chapter 16 | Verse 8] প্রভুতে আমার প্রিয় যে আমপ্লিয়াত, তাঁকে শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 9] খ্রীষ্টে আমাদের সহকারী উর্ব্বাণকে এবং আমার প্রিয় স্তাখুকে শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 10] খ্রীষ্টে পরীক্ষাসিদ্ধ আপিল্লিকে শুভেচ্ছা জানাও। আরিষ্টাবুলের পরিজনদের শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 11] আমাদের নিজের জাতের লোক হেরোদিয়োনকে শুভেচ্ছা জানাও। নার্কিসের পরিজনবর্গের মধ্যে যাঁরা প্রভুতে আছেন, তাঁদের শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 12] ত্রুফেণা ও ত্রুফেষা, যাঁরা প্রভুতে পরিশ্রম করেন, তাঁদের শুভেচ্ছা জানাও। প্রিয় পর্ষী, যিনি প্রভুতে অত্যন্ত পরিশ্রম করেছেন, তাকে শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 13] প্রভুতে মনোনীত রূফকে, আর তাঁর মাকে যিনি আমারও মা তাদেরকেও শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 14] হর্ম্মিপাত্রোবা, হর্ম্মা ফিল্লগ এবং ভাইদেরকে শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 15] ফিললগ ও যুলিয়া, নীরিয় ও তাঁর বোন এবং ওলুম্প এবং তাঁদের সঙ্গে সব পবিত্র লোককে শুভেচ্ছা জানাও।
[IRV | BN | NT | Romans | Chapter 16 | Verse 16] তোমরা পবিত্র চুম্বনে একে অন্যকে শুভেচ্ছা জানাও। খ্রীষ্টের সব মণ্ডলী তোমাদের শুভেচ্ছা জানাচ্ছে।
[IRV | BN | NT | Romans | Chapter 16 | Verse 17] ভাইয়েরা, এখন আমি তোমাদের কাছে চালনা করছি, তোমরা যে শিক্ষা পেয়েছ, তার বিপরীতে যারা দলাদলি ও বাধা দেয়, তাদের চিনে রাখ ও তাদের থেকে দূরে থাক।
[IRV | BN | NT | Romans | Chapter 16 | Verse 18] কারণ এই রকম লোকেরা আমাদের প্রভু খ্রীষ্টের ধন্যবাদের দাস হয় না, কিন্তু তার নিজের পেটের সেবা করে। মধুর কথা এবং আত্মতৃপ্তি কর কথা দিয়ে সরল লোকদের মন ভোলায়।
