[IRV | BN | NT | Romans | Chapter 14 | Verse 1] বিশ্বাসে যে দুর্বল তাকে গ্রহণ কর, আর সেই প্রশ্নগুলো সম্বন্ধে বিচার কর না।
[IRV | BN | NT | Romans | Chapter 14 | Verse 2] একদিকে একজন লোকের বিশ্বাস আছে যে সে সব কিছু খেতে পারে, কিন্তু অন্য দিকে যে দুর্বল সে কেবল সব্জি খায়।
[IRV | BN | NT | Romans | Chapter 14 | Verse 3] একজন লোককে দেখ সে সব কিছু খায় সে যেন এমন লোককে তুচ্ছ না করে, যে সব কিছু খায় না এবং দেখো যে সব কিছু খায় না, সে যেন অন্যের বিচার না করে, যে সব কিছু খায়। কারণ ঈশ্বর তাকে গ্রহণ করেছেন।
[IRV | BN | NT | Romans | Chapter 14 | Verse 4] তুমি কে, যে অপরের চাকরের বিচার কর? হয়ত নিজ প্রভুরই কাছে সে দাঁড়িয়ে থাকে, নয়ত পড়ে যায়। কিন্তু তাকে দাঁড় করিয়ে রাখতে হবে; কারণ প্রভু তাকে দাঁড় করিয়ে রাখতে পারেন।
[IRV | BN | NT | Romans | Chapter 14 | Verse 5] এক দিক দিয়ে একজন এক দিনের র চেয়ে অন্য দিন কে বেশি মূল্যবান মনে করে, আর এক দিক দিয়ে একজন সব দিন কেই সমান মূল্যবান মনে করে। প্রত্যেক লোক নিজ নিজ মনে স্থির থাকুক।
[IRV | BN | NT | Romans | Chapter 14 | Verse 6] যে দিন কে মন থেকে মানে, সে প্রভুর জন্যই মেনে চলে; এবং যে খায়, সে প্রভুর জন্যই খায়, কারণ সে ঈশ্বরের ধন্যবাদ করে। এবং যে খায় না, সেও প্রভুর জন্যই খায় না, কিন্তু সেও ঈশ্বরের ধন্যবাদ করে।
[IRV | BN | NT | Romans | Chapter 14 | Verse 7] কারণ আমাদের মধ্যে কেউ নিজের জন্য জীবিত থাকে না এবং কেউ নিজের জন্য মরে না।
[IRV | BN | NT | Romans | Chapter 14 | Verse 8] কারণ যদি আমরা বেঁচে থাকি, আমরা প্রভুরই জন্য বেঁচে থাকি; এবং যদি আমরা মরি, তবে প্রভুরই জন্য মরি। অতএব আমরা জীবিত থাকি বা মরি, আমরা প্রভুরই।
[IRV | BN | NT | Romans | Chapter 14 | Verse 9] কারণ এই জন্য খ্রীষ্ট মরলেন এবং আবার বেঁচে উঠলেন, যেন তিনি মৃত ও জীবিত উভয়েরই প্রভু হন।
[IRV | BN | NT | Romans | Chapter 14 | Verse 10] কিন্তু কেন তুমি তোমার ভাইয়ের বিচার কর? এবং কেন তুমি তোমার ভাইকে ঘৃণা কর? কারণ আমরা সবাইত ঈশ্বরের বিচারের আসনের সামনে দাঁড়াব।
[IRV | BN | NT | Romans | Chapter 14 | Verse 11] কারণ লেখা আছে, প্রভু বলছেন, “যেমন আমি জীবিত আছি, আমার কাছে প্রত্যেকেই হাঁটু পাতবে এবং প্রত্যেকটি জিভ ঈশ্বরের প্রশংসা করবে।”
[IRV | BN | NT | Romans | Chapter 14 | Verse 12] সুতরাং আমাদের প্রত্যেক জনকে ঈশ্বরের কাছে নিজেদের হিসাব দিতে হবে।
[IRV | BN | NT | Romans | Chapter 14 | Verse 13] সুতরাং, এস, আমরা যেন আর একে অন্যের বিচার না করি, কিন্তু পরিবর্তে এই ঠিক করি, যেন যা দেখে তার ভাই মনে বাধা পেতে পারে অথবা ফাঁদে না পড়তে হয়।
[IRV | BN | NT | Romans | Chapter 14 | Verse 14] আমি জানি এবং প্রভু যীশুতে ভালোভাবে বুঝেছি যে কোনো জিনিসই অপবিত্র নয়, কিন্তু যে অপবিত্র মনে করে তার কাছে সেটা অপবিত্র।
[IRV | BN | NT | Romans | Chapter 14 | Verse 15] কোন খাবারের জন্য যদি তোমার ভাই দুঃখ পায়, তবে তুমি আর ভালবাসার নিয়মে চলছ না। যার জন্য খ্রীষ্ট মরলেন, তোমার খাবার দ্বারা তাকে নষ্ট করো না।
[IRV | BN | NT | Romans | Chapter 14 | Verse 16] সুতরাং তোমাদের যা ভাল কাজ তা এমন ভাবে করো না যা দেখে লোক নিন্দা করে।
[IRV | BN | NT | Romans | Chapter 14 | Verse 17] কারণ ঈশ্বরের রাজ্যে খাওয়া এবং পান করাই সব কিছু নয়, কিন্তু ধার্ম্মিকতা, শান্তি এবং পবিত্র আত্মাতে আনন্দই সব।
[IRV | BN | NT | Romans | Chapter 14 | Verse 18] কারণ যে এই ভাবে খ্রীষ্টের সেবা করে, সে ঈশ্বরের গ্রহণযোগ্য এবং লোকেদের কাছেও ভালো।
[IRV | BN | NT | Romans | Chapter 14 | Verse 19] সুতরাং যা করলে শান্তি হয় এবং যার দ্বারা একে অন্যকে গড়ে তুলতে পারি, এস আমরা সেই সব করার চেষ্টা করি।
