[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 1] And after this it came to pass, that David smote the Philistines, and subdued them, and took Gath and its towns out of the hand of the Philistines.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 2] And he smote Moab; and the Moabites became servants to David, and brought tribute.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 3] And David smote Hadadezer king of Zobah unto Hamath, as he went to establish his dominion by the river Euphrates.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 4] And David took from him a thousand chariots, and seven thousand horsemen, and twenty thousand footmen; and David hocked all the chariot horses, but reserved of them for a hundred chariots.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 5] And when the Syrians of Damascus came to succor Hadadezer king of Zobah, David smote of the Syrians two and twenty thousand men.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 6] Then David put garrisons in Syria of Damascus; and the Syrians became servants to David, and brought tribute. And Jehovah gave victory to David whithersoever he went.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 7] And David took the shields of gold that were on the servants of Hadadezer, and brought them to Jerusalem.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 8] And from Tibhath and from Cun, cities of Hadadezer, David took very much brass, wherewith Solomon made the brazen sea, and the pillars, and the vessels of brass.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 9] And when Tou king of Hamath heard that David had smitten all the host of Hadadezer king of Zobah,
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 10] he sent Hadoram his son to king David, to salute him, and to bless him, because he had fought against Hadadezer and smitten him (for Hadadezer had wars with Tou); and he had with him all manner of vessels of gold and silver and brass.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 11] These also did king David dedicate unto Jehovah, with the silver and the gold that he carried away from all the nations; from Edom, and from Moab, and from the children of Ammon, and from the Philistines, and from Amalek.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 12] Moreover Abishai the son of Zeruiah smote of the Edomites in the Valley of Salt eighteen thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 13] And he put garrisons in Edom; and all the Edomites became servants to David. And Jehovah gave victory to David whithersoever he went.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 14] And David reigned over all Israel; and he executed justice and righteousness unto all his people.
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 15] And Joab the son of Zeruiah was over the host; and Jehoshaphat the son of Ahilud was recorder;
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 16] and Zadok the son of Ahitub, and Abimelech the son of Abiathar, were priests; and Shavsha was scribe;
[ASV | EN | OT | 1 Chronicles | Chapter 18 | Verse 17] and Benaiah the son of Jehoiada was over the Cherethites and the Pelethites; and the sons of David were chief about the king.
