[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These are the sons of Israel: Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 2] Dan, Joseph, and Benjamin, Naphtali, Gad, and Asher.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 3] The sons of Judah: Er, and Onan, and Shelah; which three were born unto him of Shua’s daughter the Canaanitess. And Er, Judah’s firstborn, was wicked in the sight of Jehovah; and he slew him.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 4] And Tamar his daughter-in-law bare him Perez and Zerah. All the sons of Judah were five.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 5] The sons of Perez: Hezron, and Hamul.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 6] And the sons of Zerah: Zimri, and Ethan, and Heman, and Calcol, and Dara; five of them in all.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 7] And the sons of Carmi: Achan, the troubler of Israel, who committed a trespass in the devoted thing.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 8] And the sons of Ethan: Azariah.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 9] The sons also of Hezron, that were born unto him: Jerahmeel, and Ram, and Chelubai.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 10] And Ram begat Amminadab, and Amminadab begat Nahshon, prince of the children of Judah;
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 11] and Nahshon begat Salma, and Salma begat Boaz,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 12] and Boaz begat Obed, and Obed begat Jesse;
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 13] and Jesse begat his firstborn Eliab, and Abinadab the second, and Shimea the third,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 14] Nethanel the fourth, Raddai the fifth,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 15] Ozem the sixth, David the seventh;
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 16] and their sisters were Zeruiah and Abigail. And the sons of Zeruiah: Abishai, and Joab, and Asahel, three.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 17] And Abigail bare Amasa; and the father of Amasa was Jether the Ishmaelite.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 18] And Caleb the son of Hezron begat children of Azubah his wife, and of Jerioth; and these were her sons: Jesher, and Shobab, and Ardon.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 19] And Azubah died, and Caleb took unto him Ephrath, who bare him Hur.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 20] And Hur begat Uri, and Uri begat Bezalel.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 21] And afterward Hezron went in to the daughter of Machir the father of Gilead, whom he took to wife when he was threescore years old; and she bare him Segub.
