[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 1] Then David said, This is the house of Jehovah God, and this is the altar of burnt offering for Israel.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 2] And David commanded to gather together the sojourners that were in the land of Israel; and he set masons to hew wrought stones to build the house of God.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 3] And David prepared iron in abundance for the nails for the doors of the gates, and for the couplings; and brass in abundance without weight;
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 4] and cedar trees without number: for the Sidonians and they of Tyre brought cedar trees in abundance to David.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 5] And David said, Solomon my son is young and tender, and the house that is to be built for Jehovah must be exceeding magnificent, of fame and of glory throughout all countries: I will therefore make preparation for it. So David prepared abundantly before his death.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 6] Then he called for Solomon his son, and charged him to build a house for Jehovah, the God of Israel.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 7] And David said to Solomon his son, As for me, it was in my heart to build a house unto the name of Jehovah my God.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 8] But the word of Jehovah came to me, saying, Thou hast shed blood abundantly, and hast made great wars: thou shalt not build a house unto my name, because thou hast shed much blood upon the earth in my sight.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 9] Behold, a son shall be born to thee, who shall be a man of rest; and I will give him rest from all his enemies round about; for his name shall be Solomon, and I will give peace and quietness unto Israel in his days.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 10] He shall build a house for my name; and he shall be my son, and I will be his father; and I will establish the throne of his kingdom over Israel forever.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 11] Now, my son, Jehovah be with thee; and prosper thou, and build the house of Jehovah thy God, as he hath spoken concerning thee.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 12] Only Jehovah give thee discretion and understanding, and give thee charge concerning Israel; that so thou mayest keep the law of Jehovah thy God.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 13] Then shalt thou prosper, if thou observe to do the statutes and the ordinances which Jehovah charged Moses with concerning Israel: be strong, and of good courage; fear not, neither be dismayed.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 14] Now, behold, in my affliction I have prepared for the house of Jehovah a hundred thousand talents of gold, and a thousand thousand talents of silver, and of brass and iron without weight; for it is in abundance: timber also and stone have I prepared; and thou mayest add thereto.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 15] Moreover there are workmen with thee in abundance, hewers and workers of stone and timber, and all men that are skillful in every manner of work:
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 16] of the gold, the silver, and the brass, and the iron, there is no number. Arise and be doing, and Jehovah be with thee.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 17] David also commanded all the princes of Israel to help Solomon his son, saying,
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 18] Is not Jehovah your God with you? and hath he not given you rest on every side? for he hath delivered the inhabitants of the land into my hand; and the land is subdued before Jehovah, and before his people.
[ASV | EN | OT | 1 Chronicles | Chapter 22 | Verse 19] Now set your heart and your soul to seek after Jehovah your God; arise therefore, and build ye the sanctuary of Jehovah God, to bring the ark of the covenant of Jehovah, and the holy vessels of God, into the house that is to be built to the name of Jehovah.
