[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 1] Now these were the sons of David, that were born unto him in Hebron: the firstborn, Amnon, of Ahinoam the Jezreelitess; the second, Daniel, of Abigail the Carmelitess;
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 2] the third, Absalom the son of Maacah the daughter of Talmai king of Geshur; the fourth, Adonijah the son of Haggith;
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 3] the fifth, Shephatiah of Abital; the sixth, Ithream by Eglah his wife:
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 4] six were born unto him in Hebron; and there he reigned seven years and six months. And in Jerusalem he reigned thirty and three years;
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 5] and these were born unto him in Jerusalem: Shimea, and Shobab, and Nathan, and Solomon, four, of Bath-shua the daughter of Ammiel;
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 6] and Ibhar, and Elishama, and Eliphelet,
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 7] and Nogah, and Nepheg, and Japhia,
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 8] and Elishama, and Eliada, and Eliphelet, nine.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 9] All these were the sons of David, besides the sons of the concubines; and Tamar was their sister.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 10] And Solomon’s son was Rehoboam, Abijah his son, Asa his son, Jehoshaphat his son,
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 11] Joram his son, Ahaziah his son, Joash his son,
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 12] Amaziah his son, Azariah his son, Jotham his son,
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 13] Ahaz his son, Hezekiah his son, Manasseh his son,
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 14] Amon his son, Josiah his son.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 15] And the sons of Josiah: the firstborn Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 16] And the sons of Jehoiakim: Jeconiah his son, Zedekiah his son.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 17] And the sons of Jeconiah, the captive: Shealtiel his son,
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 18] and Malchiram, and Pedaiah, and Shenazzar, Jekamiah, Hoshama, and Nedabiah.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 19] And the sons of Pedaiah: Zerubbabel, and Shimei. And the sons of Zerubbabel: Meshullam, and Hananiah; and Shelomith was their sister;
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 20] and Hashubah, and Ohel, and Berechiah, and Hasadiah, Jushab-hesed, five.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 21] And the sons of Hananiah: Pelatiah, and Jeshaiah; the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shecaniah.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 22] And the sons of Shecaniah: Shemaiah. And the sons of Shemaiah: Hattush, and Igal, and Bariah, and Neariah, and Shaphat, six.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 23] And the sons of Neariah: Elioenai, and Hizkiah, and Azrikam, three.
[ASV | EN | OT | 1 Chronicles | Chapter 3 | Verse 24] And the sons of Elioenai: Hodaviah, and Eliashib, and Pelaiah, and Akkub, and Johanan, and Delaiah, and Anani, seven.
