[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 1] And Hiram king of Tyre sent messengers to David, and cedar trees, and masons, and carpenters, to build him a house.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 2] And David perceived that Jehovah had established him king over Israel; for his kingdom was exalted on high, for his people Israel’s sake.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 3] And David took more wives at Jerusalem; and David begat more sons and daughters.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 4] And these are the names of the children whom he had in Jerusalem: Shammua, and Shobab, Nathan, and Solomon,
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 5] and Ibhar, and Elishua, and Elpelet,
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 6] and Nogah, and Nepheg, and Japhia,
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 7] and Elishama, and Beeliada, and Eliphelet.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 8] And when the Philistines heard that David was anointed king over all Israel, all the Philistines went up to seek David: and David heard of it, and went out against them.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 9] Now the Philistines had come and made a raid in the valley of Rephaim.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 10] And David inquired of God, saying, Shall I go up against the Philistines? and wilt thou deliver them into my hand? And Jehovah said unto him, Go up; for I will deliver them into thy hand.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 11] So they came up to Baal-perazim, and David smote them there; and David said, God hath broken mine enemies by my hand, like the breach of waters. Therefore they called the name of that place Baal-perazim.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 12] And they left their gods there; and David gave commandment, and they were burned with fire.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 13] And the Philistines yet again made a raid in the valley.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 14] And David inquired again of God; and God said unto him, Thou shalt not go up after them: turn away from them, and come upon them over against the mulberry trees.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 15] And it shall be, when thou hearest the sound of marching in the tops of the mulberry trees, that then thou shalt go out to battle; for God is gone out before thee to smite the host of the Philistines.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 16] And David did as God commanded him: and they smote the host of the Philistines from Gibeon even to Gezer.
[ASV | EN | OT | 1 Chronicles | Chapter 14 | Verse 17] And the fame of David went out into all lands; and Jehovah brought the fear of him upon all nations.
