[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 1] Now the children of Israel after their number, to wit, the heads of fathers’ houses and the captains of thousands and of hundreds, and their officers that served the king, in any matter of the courses which came in and went out month by month throughout all the months of the year—of every course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 2] Over the first course for the first month was Jashobeam the son of Zabdiel: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 3] He was of the children of Perez, the chief of all the captains of the host for the first month.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 4] And over the course of the second month was Dodai the Ahohite, and his course; and Mikloth the ruler: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 5] The third captain of the host for the third month was Benaiah, the son of Jehoiada the priest, chief: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 6] This is that Benaiah, who was the mighty man of the thirty, and over the thirty: and of his course was Ammizabad his son.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 7] The fourth captain for the fourth month was Asahel the brother of Joab, and Zebadiah his son after him: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 8] The fifth captain for the fifth month was Shamhuth the Izrahite: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 9] The sixth captain for the sixth month was Ira the son of Ikkesh the Tekoite: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 10] The seventh captain for the seventh month was Helez the Pelonite, of the children of Ephraim: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 11] The eighth captain for the eighth month was Sibbecai the Hushathite, of the Zerahites: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 12] The ninth captain for the ninth month was Abiezer the Anathothite, of the Benjaminites: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 13] The tenth captain for the tenth month was Maharai the Netophathite, of the Zerahites: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 14] The eleventh captain for the eleventh month was Benaiah the Pirathonite, of the children of Ephraim: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 15] The twelfth captain for the twelfth month was Heldai the Netophathite, of Othniel: and in his course were twenty and four thousand.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 16] Furthermore over the tribes of Israel: of the Reubenites was Eliezer the son of Zichri the ruler: of the Simeonites, Shephatiah the son of Maacah:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 17] of Levi, Hashabiah the son of Kemuel: of Aaron, Zadok:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 18] of Judah, Elihu, one of the brethren of David: of Issachar, Omri the son of Michael:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 19] of Zebulun, Ishmaiah the son of Obadiah: of Naphtali, Jeremoth the son of Azriel:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 20] of the children of Ephraim, Hoshea the son of Azaziah: of the half-tribe of Manasseh, Joel the son of Pedaiah:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 21] of the half-tribe of Manasseh in Gilead, Iddo the son of Zechariah: of Benjamin, Jaasiel the son of Abner:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 22] of Dan, Azarel the son of Jeroham. These were the captains of the tribes of Israel.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 23] But David took not the number of them from twenty years old and under, because Jehovah had said he would increase Israel like to the stars of heaven.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 24] Joab the son of Zeruiah began to number, but finished not; and there came wrath for this upon Israel; neither was the number put into the account in the chronicles of king David.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 25] And over the king’s treasures was Azmaveth the son of Adiel: and over the treasures in the fields, in the cities, and in the villages, and in the castles, was Jonathan the son of Uzziah:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 26] and over them that did the work of the field for tillage of the ground was Ezri the son of Chelub:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 27] and over the vineyards was Shimei the Ramathite: and over the increase of the vineyards for the wine cellars was Zabdi the Shiphmite:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 28] and over the olive trees and the sycamore trees that were in the lowland was Baal-hanan the Gederite: and over the cellars of oil was Joash:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 29] and over the herds that fed in Sharon was Shitrai the Sharonite: and over the herds that were in the valleys was Shaphat the son of Adlai:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 30] and over the camels was Obil the Ishmaelite: and over the asses was Jehdeiah the Meronothite: and over the flocks was Jaziz the Hagrite.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 31] All these were the rulers of the substance which was king David’s.
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 32] Also Jonathan, David’s uncle, was a counselor, a man of understanding, and a scribe: and Jehiel the son of Hachmoni was with the king’s sons:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 33] and Ahithophel was the king’s counselor: and Hushai the Archite was the king’s friend:
[ASV | EN | OT | 1 Chronicles | Chapter 27 | Verse 34] and after Ahithophel was Jehoiada the son of Benaiah, and Abiathar: and the captain of the king’s host was Joab.
