[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 1] Παῦλος ἀπόστολος ⸂Χριστοῦ Ἰησοῦ⸃ διὰ θελήματος θεοῦ τοῖς ἁγίοις τοῖς οὖσιν ⸂[ἐν Ἐφέσῳ]⸃ καὶ πιστοῖς ἐν Χριστῷ Ἰησοῦ·
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 2] χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ.
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 3] Εὐλογητὸς ὁ θεὸς καὶ πατὴρ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὁ εὐλογήσας ἡμᾶς ἐν πάσῃ εὐλογίᾳ πνευματικῇ ἐν τοῖς ἐπουρανίοις ἐν Χριστῷ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 4] καθὼς ἐξελέξατο ἡμᾶς ἐν αὐτῷ πρὸ καταβολῆς κόσμου, εἶναι ἡμᾶς ἁγίους καὶ ἀμώμους κατενώπιον αὐτοῦ ἐν ἀγάπῃ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 5] προορίσας ἡμᾶς εἰς υἱοθεσίαν διὰ Ἰησοῦ Χριστοῦ εἰς αὐτόν, κατὰ τὴν εὐδοκίαν τοῦ θελήματος αὐτοῦ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 6] εἰς ἔπαινον δόξης τῆς χάριτος αὐτοῦ ⸀ἧς ἐχαρίτωσεν ἡμᾶς ἐν τῷ ἠγαπημένῳ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 7] ἐν ᾧ ἔχομεν τὴν ἀπολύτρωσιν διὰ τοῦ αἵματος αὐτοῦ, τὴν ἄφεσιν τῶν παραπτωμάτων, κατὰ ⸂τὸ πλοῦτος⸃ τῆς χάριτος αὐτοῦ
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 8] ἧς ἐπερίσσευσεν εἰς ἡμᾶς ἐν πάσῃ σοφίᾳ καὶ φρονήσει
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 9] γνωρίσας ἡμῖν τὸ μυστήριον τοῦ θελήματος αὐτοῦ, κατὰ τὴν εὐδοκίαν αὐτοῦ ἣν προέθετο ἐν αὐτῷ
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 10] εἰς οἰκονομίαν τοῦ πληρώματος τῶν καιρῶν, ἀνακεφαλαιώσασθαι τὰ πάντα ἐν τῷ Χριστῷ, τὰ ἐπὶ τοῖς οὐρανοῖς καὶ τὰ ἐπὶ τῆς γῆς· ἐν αὐτῷ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 11] ἐν ᾧ καὶ ἐκληρώθημεν προορισθέντες κατὰ πρόθεσιν τοῦ τὰ πάντα ἐνεργοῦντος κατὰ τὴν βουλὴν τοῦ θελήματος αὐτοῦ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 12] εἰς τὸ εἶναι ἡμᾶς εἰς ἔπαινον δόξης αὐτοῦ τοὺς προηλπικότας ἐν τῷ Χριστῷ·
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 13] ἐν ᾧ καὶ ὑμεῖς ἀκούσαντες τὸν λόγον τῆς ἀληθείας, τὸ εὐαγγέλιον τῆς σωτηρίας ὑμῶν, ἐν ᾧ καὶ πιστεύσαντες ἐσφραγίσθητε τῷ πνεύματι τῆς ἐπαγγελίας τῷ ἁγίῳ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 14] ⸀ὅ ἐστιν ἀρραβὼν τῆς κληρονομίας ἡμῶν, εἰς ἀπολύτρωσιν τῆς περιποιήσεως, εἰς ἔπαινον τῆς δόξης αὐτοῦ.
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 15] Διὰ τοῦτο κἀγώ, ἀκούσας τὴν καθʼ ὑμᾶς πίστιν ἐν τῷ κυρίῳ Ἰησοῦ καὶ τὴν ⸂ἀγάπην τὴν⸃ εἰς πάντας τοὺς ἁγίους,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 16] οὐ παύομαι εὐχαριστῶν ὑπὲρ ὑμῶν ⸀μνείαν ποιούμενος ἐπὶ τῶν προσευχῶν μου,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 17] ἵνα ὁ θεὸς τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὁ πατὴρ τῆς δόξης, δώῃ ὑμῖν πνεῦμα σοφίας καὶ ἀποκαλύψεως ἐν ἐπιγνώσει αὐτοῦ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 18] πεφωτισμένους τοὺς ὀφθαλμοὺς τῆς καρδίας ὑμῶν εἰς τὸ εἰδέναι ὑμᾶς τίς ἐστιν ἡ ἐλπὶς τῆς κλήσεως αὐτοῦ, ⸀τίς ὁ πλοῦτος τῆς δόξης τῆς κληρονομίας αὐτοῦ ἐν τοῖς ἁγίοις,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 19] καὶ τί τὸ ὑπερβάλλον μέγεθος τῆς δυνάμεως αὐτοῦ εἰς ἡμᾶς τοὺς πιστεύοντας κατὰ τὴν ἐνέργειαν τοῦ κράτους τῆς ἰσχύος αὐτοῦ
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 20] ἣν ⸀ἐνήργηκεν ἐν τῷ Χριστῷ ἐγείρας αὐτὸν ⸀ἐκ νεκρῶν, καὶ ⸀καθίσας ἐν δεξιᾷ αὐτοῦ ἐν τοῖς ἐπουρανίοις
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 21] ὑπεράνω πάσης ἀρχῆς καὶ ἐξουσίας καὶ δυνάμεως καὶ κυριότητος καὶ παντὸς ὀνόματος ὀνομαζομένου οὐ μόνον ἐν τῷ αἰῶνι τούτῳ ἀλλὰ καὶ ἐν τῷ μέλλοντι·
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 22] καὶ πάντα ὑπέταξεν ὑπὸ τοὺς πόδας αὐτοῦ, καὶ αὐτὸν ἔδωκεν κεφαλὴν ὑπὲρ πάντα τῇ ἐκκλησίᾳ,
[SBLGNT | EL | NT | Ephesians | Chapter 1 | Verse 23] ἥτις ἐστὶν τὸ σῶμα αὐτοῦ, τὸ πλήρωμα τοῦ τὰ πάντα ἐν πᾶσιν πληρουμένου.
