[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 1] యూదా రాజు సిద్కియా పరిపాలన మొదట్లో నాలుగో సంవత్సరం అయిదో నెలలో గిబియోనువాడు, అజ్జూరు ప్రవక్త కొడుకు హనన్యా యాజకుల ఎదుట, ప్రజలందరి ఎదుట యెహోవా మందిరంలో నాతో ఇలా అన్నాడు,
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 2] “ఇశ్రాయేలు దేవుడు, సేనల అధిపతి యెహోవా ఇలా చెబుతున్నాడు, ‘నేను బబులోను రాజు కాడిని విరిచేశాను.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 3] రెండేళ్లలో బబులోను రాజు నెబుకద్నెజరు ఈ స్థలంలో నుంచి బబులోనుకు తీసుకుపోయిన యెహోవా మందిరంలోని పాత్రలన్నీ ఇక్కడికి మళ్ళీ తెప్పిస్తాను.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 4] బబులోను రాజు కాడిని విరగగొట్టి యెహోయాకీము కొడుకు యూదా రాజు యెకొన్యాను, బబులోనుకు బందీలుగా తీసుకుపోయిన యూదులందరినీ ఈ స్థలానికి తిరిగి రప్పిస్తాను.’ ఇదే యెహోవా వాక్కు.”
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 5] అప్పుడు ప్రవక్త అయిన యిర్మీయా యాజకుల ఎదుట, యెహోవా మందిరంలో నిలబడి ఉన్న ప్రజలందరి ఎదుట హనన్యా ప్రవక్తతో ఇలా అన్నాడు,
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 6] “యెహోవా దీనిని చేస్తాడు గాక! యెహోవా మందిరపు పాత్రలన్నీ బందీలుగా తీసుకుపోయిన వారందరినీ యెహోవా బబులోనులో నుంచి ఈ స్థలానికి తెప్పించి నువ్వు ప్రకటించిన మాటలను నెరవేరుస్తాడు గాక!
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 7] అయినా నువ్వు వింటుండగా ఈ ప్రజలందరూ వింటుండగా నేను చెబుతున్న మాట విను.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 8] నాకూ నీకూ ముందున్న ప్రవక్తలు, అనేక దేశాలకూ గొప్ప రాజ్యాలకూ వ్యతిరేకంగా యుద్ధాలు జరుగుతాయనీ కీడు సంభవిస్తుందనీ అంటురోగాలు వస్తాయనీ ఎప్పటినుంచో ప్రవచిస్తూ ఉన్నారు.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 9] అయితే క్షేమం కలుగుతుందని ప్రకటించే ప్రవక్త మాట నెరవేరితే అతన్ని నిజంగా యెహోవాయే పంపాడని తెలుసుకోవచ్చు,” అని యిర్మీయా ప్రవక్త చెప్పాడు.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 10] అయితే హనన్యా ప్రవక్త, యిర్మీయా ప్రవక్త మెడ మీదనుంచి ఆ కాడిని తీసి దాన్ని విరిచేశాడు.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 11] ప్రజలందరి ఎదుట హనన్యా ఇలా అన్నాడు. “యెహోవా ఇలా చెబుతున్నాడు, ‘రెండేళ్ళలో నేను బబులోను రాజు నెబుకద్నెజరు కాడిని రాజ్యాలన్నిటి మెడమీద నుంచి తొలగించి దానిని విరిచివేస్తాను.’” అప్పుడు యిర్మీయా ప్రవక్త తన దారిన వెళ్లిపోయాడు.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 12] హనన్యా, యిర్మీయా మెడ మీద ఉన్న కాడిని విరిచిన తరువాత యెహోవా దగ్గర నుంచి ఈ సందేశం యిర్మీయాకు వచ్చింది.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 13] “నువ్వు పోయి హనన్యాతో ఇలా చెప్పు, ‘యెహోవా ఇలా చెబుతున్నాడు, నువ్వు కొయ్య కాడిని విరిచావు గదా! దానికి బదులు ఇనుప కాడిని నేను చేయిస్తాను.’
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 14] ఇశ్రాయేలు దేవుడు సేనల ప్రభువు యెహోవా ఇలా చెబుతున్నాడు. ‘ఈ ప్రజలంతా బబులోను రాజు నెబుకద్నెజరుకు సేవ చేయాలని వారి మెడ మీద ఇనుప కాడి ఉంచాను. కాబట్టి వాళ్ళు అతనికి సేవ చేస్తారు. భూజంతువులను కూడా నేను అతనికి అప్పగించాను.’”
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 15] అప్పుడు యిర్మీయా ప్రవక్త, హనన్యాతో ఇలా అన్నాడు. “హనన్యా, విను. యెహోవా నిన్ను పంపలేదు, ఈ ప్రజల చేత అబద్ధాలను నమ్మించావు.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 16] కాబట్టి యెహోవా ఈ మాట చెబుతున్నాడు, ‘నేను నిన్ను భూమి మీద లేకుండా చేయబోతున్నాను. యెహోవా మీద నమ్మకం ఉంచకుండా చేయడానికి నువ్వు ప్రజలను ప్రేరేపించావు. కాబట్టి ఈ సంవత్సరమే నువ్వు చనిపోతావు’” అని చెప్పాడు.
[IRV | TE | OT | Jeremiah | Chapter 28 | Verse 17] ఆ సంవత్సరం ఏడో నెలలో హనన్యా ప్రవక్త చనిపోయాడు.
