[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 1] હવે સંતોને માટે ફાળો એકઠો કરવા વિષે લખું છું; મેં ગલાતિયાના વિશ્વાસી સમુદાયને જે સૂચના આપી તે પ્રમાણે તમે પણ કરો.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 2] હું આવું ત્યારે ધર્મદાન ઉઘરાવવા પડે નહિ, માટે અઠવાડિયાને પહેલે દિવસે તમારામાંના પ્રત્યેકે પોતાની કમાણી પ્રમાણે અમુક હિસ્સો રાખી મૂકવો.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 3] જયારે હું આવીશ ત્યારે જેઓને તમે પસંદ કરશો, તેઓને પત્રો આપીને હું તમારાં દાન યરુશાલેમમાં પહોંચાડવા માટે મોકલીશ.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 4] જો મારે પણ જવાનું યોગ્ય લાગશે તો તેઓ મારી સાથે આવશે.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 5] હું મકદોનિયા થઈને જવાનો છું; તેથી મકદોનિયા પાર કર્યાં પછી હું તમારી પાસે આવીશ.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 6] હું કદાચ તમારી સાથે રહીશ, અથવા શિયાળો પણ ગાળીશ કે, જેથી મારે જ્યાં જવાનું છે ત્યાં તમે મને પહોંચાડો.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 7] કેમ કે હમણાં જતા તમને મળવાની મારી ઇચ્છા નથી; પણ જો ઈશ્વરની ઇચ્છા હશે તો હું થોડા સમય સુધી તમારી સાથે રહેવાની આશા રાખું છું.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 8] પણ હું પચાસમાના પર્વ સુધી એફેસસમાં જ રહીશ;
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 9] કેમ કે એક મહાન કાર્ય સફળ થાય એવું દ્વાર મારે માટે ઉઘાડવામાં આવ્યું છે. જોકે વિરોધીઓ પણ ઘણાં છે.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 10] પણ જો તિમોથી આવે તો તે તમારી સાથે નિર્ભય રહે, તે વિષે સંભાળ રાખજો, કેમ કે મારી માફક તે પણ પ્રભુનું કામ કરે છે.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 11] એ માટે કોઈ તેને તુચ્છ ગણે નહીં; પણ શાંતિથી તમે તેને મારી પાસે પહોંચાડજો, કેમ કે ભાઈઓની સાથે તેના આવવાની પ્રતિક્ષા હું કરું છું.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 12] હવે, ભાઈ આપોલસ વિષે મારે આટલું કહેવું છે કે ભાઈઓની સાથે તે તમારી પાસે આવે માટે મેં તેને બહુ વિનંતી કરી; પણ હમણાં ત્યાં આવવાની તેની ઇચ્છા નથી; પણ જયારે અનુકૂળ પ્રસંગ મળશે ત્યારે તે આવશે.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 13] જાગૃત રહો, વિશ્વાસમાં સ્થિર રહો, સામર્થ્ય બતાવો, બળવાન થાઓ.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 14] તમે જે કંઈ કરો તે પ્રેમથી કરો.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 15] ભાઈઓ, તમે સ્તેફનાસના કુટુંબને જાણો છો કે, તે અખાયાનું પ્રથમફળ વિશ્વાસી છે, તેઓ સંતોની સેવામાં હંમેશા સક્રિય રહ્યા છે માટે હું તમને વિનંતી કરું છું કે,
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 16] તમે એવા માણસોને અને અન્ય જેઓ સેવામાં પરિશ્રમ કરે છે તેઓને પણ આધીન થાઓ.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 17] સ્તેફનાસ તથા ફોર્તુનાતસ તથા અખાઈક્સના આવવાથી હું હર્ષ પામ્યો છું; કેમ કે તમારું જે કામ અધૂરું હતું તે તેઓએ પૂરું કર્યું છે.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 18] તેઓએ મારા તથા તમારા આત્માને પણ ઉત્તેજિત કર્યા. માટે એવા માણસોને માન આપો.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 19] આસિયાના વિશ્વાસી સમુદાય તમને સલામ પાઠવે છે. આકુલા, પ્રિસ્કા તથા તેઓના ઘરમાં મળતા વિશ્વાસી સમુદાયના સર્વ પ્રભુમાં તમને સલામ પાઠવે છે.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 20] સર્વ ભાઈઓ પણ તમને સલામ પાઠવે છે. પવિત્ર ચુંબનથી એકબીજાને ક્ષેમકુશળ કહેજો.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 21] હું પાઉલ મારે પોતાને હાથે તમને સલામ લખું છું.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 22] જો કોઈ પ્રભુ ઈસુ ખ્રિસ્ત પર પ્રેમ કરતો ન હોય, તો તે શાપિત થાઓ.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 23] આપણા પ્રભુ આવવાનાં છે. પ્રભુ ઈસુ ખ્રિસ્તની કૃપા તમારા પર હો.
[IRV | GU | NT | 1 Corinthians | Chapter 16 | Verse 24] ખ્રિસ્ત ઈસુમાં મારો પ્રેમ તમો સર્વની સાથે હો. આમીન.
