[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 1] હવે, ભાઈઓ, આત્મિક દાનો વિષે તમે અજાણ્યા રહો એવી મારી ઇચ્છા નથી.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 2] તમે જાણો છો કે, તમે વિદેશીઓ હતા, ત્યારે જેમ કોઈ તમને દોરી જાય તેમ મૂંગી મૂર્તિઓ પાછળ તમે દોરવાઈ જતા હતા.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 3] માટે હું તમને જણાવું છું કે, ઈશ્વરના આત્માથી બોલનારો કોઈ માણસ ઈસુને શાપપાત્ર કહેતો નથી; અને કોઈ માણસ, પવિત્ર આત્મા વિના, ‘ઈસુ પ્રભુ છે,’ એવું કહી શકતો નથી.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 4] કૃપાદાનો અનેક પ્રકારનાં છે, તોપણ આત્મા તો એકનાએક જ છે;
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 5] સેવાઓ અનેક પ્રકારની છે, પણ પ્રભુ એકનાએક જ છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 6] કાર્યો અનેક પ્રકારનાં છે, પણ ઈશ્વર એકનાએક જ છે, તે સર્વમાં કાર્યરત છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 7] પણ આત્માનું સ્પષ્ટીકરણ પ્રત્યેકના સામાન્ય ઉપયોગને માટે અપાયેલું છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 8] કેમ કે એકને આત્માથી જ્ઞાનની વાત અપાઈ છે; તો કોઈને એ જ આત્માથી વિદ્યાની વાત અપાઈ છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 9] કોઈને એ જ આત્માથી વિશ્વાસ; અને કોઈને એ જ આત્માથી સાજાં કરવાના કૃપાદાન;
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 10] કોઈને પરાક્રમી કામો કરવાનું; અને કોઈને પ્રબોધ કરવાનું; કોઈને આત્માઓને પારખી જાણવાનું, કોઈને અલગ અલગ ભાષાઓ બોલવાનું અને કોઈને ભાષાંતર કરવાનું કૃપાદાન અપાયેલું છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 11] પણ પોતાની ઇચ્છા પ્રમાણે પ્રત્યેકને કૃપાદાન વહેંચી આપનાર અને સર્વ શક્ય કરનાર એ ને એ જ આત્મા છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 12] કેમ કે જેમ શરીર એક છે, અને તેનાં અંગો ઘણાં છે, તે એક શરીરનાં અંગો ઘણાં હોવા છતાં સર્વ અંગો મળીને એક શરીર છે, તેમ ખ્રિસ્ત પણ છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 13] કેમ કે આપણે યહૂદી કે ગ્રીક, દાસ કે સ્વતંત્ર, સર્વ એક શરીરમાં એક આત્માથી બાપ્તિસ્મા પામ્યા; અને સર્વને એક આત્મા પ્રદાન કરવામાં આવ્યાં છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 14] પણ શરીર તો એક અંગનું નથી, પણ ઘણાં અંગોનું છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 15] જો પગ કહે કે, હું હાથ નથી એ માટે હું શરીરનો નથી, તો તેથી શું તે શરીરનો નથી?
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 16] જો કાન કહે કે, હું આંખ નથી માટે હું શરીરનો નથી, તો શું તેથી તે શરીરનો નથી?
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 17] જો આખું શરીર આંખ હોત તો કાન ક્યાં હોત? જો આખું શરીર કાન હોત તો જ્ઞાનેન્દ્રિય ક્યાં હોત?
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 18] પણ હવે ઈશ્વરે દરેક અંગને પોતાની મરજી પ્રમાણે શરીરમાં ગોઠવેલું છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 19] જો સર્વ એક અંગ હોત, તો શરીર ક્યાં હોત?
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 20] પણ હવે અંગો ઘણાં છે પણ શરીર એક જ છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 21] આંખ હાથને કહી શકતી નથી કે મને તારી જરૂર નથી; અથવા માથું પગને કહી શકતું નથી કે, મને તારી જરૂર નથી.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 22] વળી શરીરનાં જે અંગો ઓછા માનપત્ર દીસે છે તેઓની વિશેષ અગત્ય છે;
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 23] શરીરનાં જે ભાગો નબળા દીસે છે તેઓને આપણે વધતું માન આપીએ છીએ; અને એમ આપણા કદરૂપાં અંગો વધારે શોભાયમાન કરાય છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 24] આપણાં સુંદર અંગોને એવી જરૂર નથી. પણ જેનું માન ઓછું હતું તેને ઈશ્વરે વધારે માન આપીને, શરીરને ગોઠવ્યું છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 25] એવું કે શરીરમાં ફૂટ પડે નહિ, પણ અંગો એકબીજાની એક સરખી કાળજી રાખે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 26] અને જો એક અંગ દુઃખી થાય, તો તેની સાથે સર્વ અંગો પણ દુઃખી થાય છે; જો એક અંગને માન મળે, તો તેની સાથે સર્વ અંગો ખુશ થાય છે.
[IRV | GU | NT | 1 Corinthians | Chapter 12 | Verse 27] હવે તમે ખ્રિસ્તનું શરીર, અને તેના જુદાંજુદાં અંગો છો.
