[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 1] The word that came to Jeremiah from Jehovah, saying,
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 2] Stand in the gate of Jehovah's house, and proclaim there this word, and say, Hear ye the word of Jehovah, all Judah, that enter in at these gates to worship Jehovah.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 3] Thus saith Jehovah of hosts, the God of Israel: Amend your ways and your doings, and I will cause you to dwell in this place.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 4] Confide ye not in words of falsehood, saying, Jehovah's temple, Jehovah's temple, Jehovah's temple is this.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 5] But if ye thoroughly amend your ways and your doings, if ye really do justice between a man and his neighbour,
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 6] [if] ye oppress not the stranger, the fatherless, and the widow, and shed no innocent blood in this place, neither walk after other gods to your hurt;
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 7] then will I cause you to dwell in this place, in the land that I gave to your fathers from of old even for ever.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 8] Behold, ye confide in words of falsehood that cannot profit.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 9] What? steal, murder, and commit adultery, and swear falsely, and burn incense unto Baal, and walk after other gods whom ye know not...
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 10] then ye come and stand before me, in this house which is called by my name, and say, We are delivered, — in order to do all these abominations!
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 11] Is this house, which is called by my name, a den of robbers in your eyes? Even I, behold, I have seen it, saith Jehovah.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 12] For go now unto my place which was in Shiloh, where I caused my name to dwell at the first, and see what I did to it, for the wickedness of my people Israel.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 13] And now, because ye have done all these works, saith Jehovah, and I spoke unto you, rising up early and speaking, and ye heard not, and I called you, and ye answered not;
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 14] I will even do unto the house which is called by my name, wherein ye trust, and unto the place which I gave to you and to your fathers, as I have done to Shiloh;
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 15] and I will cast you out of my sight, as I have cast out all your brethren, all the seed of Ephraim.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 16] And thou, pray not for this people, neither lift up cry nor prayer for them, and make not intercession to me; for I will not hear thee.
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 17] Seest thou not what they do in the cities of Judah, and in the streets of Jerusalem?
[DARBY | EN | OT | Jeremiah | Chapter 7 | Verse 18] The children gather wood, and the fathers kindle the fire, and the women knead dough, to make cakes to the queen of heaven, and to pour out drink-offerings unto other gods, that they may provoke me to anger.
