[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 1] And it came to pass, when Jeremiah had ended speaking unto all the people all the words of Jehovah their God, with which Jehovah their God had sent him to them — all these words,
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 2] — then spoke Azariah the son of Hoshaiah, and Johanan the son of Kareah, and all the proud men, saying to Jeremiah, Thou speakest falsely: Jehovah our God hath not sent thee to say, Go not into Egypt to sojourn there;
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 3] but Baruch the son of Nerijah is setting thee on against us, to deliver us into the hand of the Chaldeans, that they may put us to death, and carry us away captives into Babylon.
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 4] So Johanan the son of Kareah, and all the captains of the forces, and all the people, hearkened not unto the voice of Jehovah to abide in the land of Judah;
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 5] but Johanan the son of Kareah, and all the captains of the forces, took all the remnant of Judah, that were returned from all nations whither they had been driven, to sojourn in the land of Judah;
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 6] men, and women, and children, and the king's daughters, and every person that Nebuzar-adan the captain of the body-guard had left with Gedaliah the son of Ahikam the son of Shaphan, and Jeremiah the prophet, and Baruch the son of Nerijah;
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 7] and they came into the land of Egypt: for they hearkened not unto the voice of Jehovah. And they came as far as Tahpanhes.
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 8] And the word of Jehovah came to Jeremiah in Tahpanhes, saying,
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 9] Take great stones in thy hand, and hide them in the clay in the brick-kiln, which is at the entry of Pharaoh's house in Tahpanhes, in the sight of the Jews,
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 10] and say unto them, Thus saith Jehovah of hosts, the God of Israel: Behold, I will send and take Nebuchadrezzar the king of Babylon, my servant, and will set his throne upon these stones which I have hidden, and he shall spread his royal pavilion over them.
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 11] And he shall come and smite the land of Egypt: such as are for death to death, and such as are for captivity to captivity; and such as are for the sword to the sword.
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 12] And I will kindle a fire in the houses of the gods of Egypt, and he shall burn them, and carry them away captive; and he shall array himself with the land of Egypt, as a shepherd putteth on his garment; and he shall go forth from thence in peace.
[DARBY | EN | OT | Jeremiah | Chapter 43 | Verse 13] And he shall break the pillars of Beth-shemesh, which is in the land of Egypt; and the houses of the gods of Egypt shall he burn with fire.
