[IRV | BN | OT | Job | Chapter 41 | Verse 1] তুমি কি লিবিয়াথনকে বঁড়শিতে তুলতে পার? অথবা তার চোয়াল দড়ি দিয়ে বাঁধতে পার?
[IRV | BN | OT | Job | Chapter 41 | Verse 2] তুমি তার নাকে দড়ি পরাতে পার, অথবা তার চোয়াল বঁড়শি দিয়ে ফুঁড়তে পার?
[IRV | BN | OT | Job | Chapter 41 | Verse 3] সে কি তোমার কাছে অনেক মিনতি করবে? সে কি তোমার কাছে মিষ্টি কথা বলবে?
[IRV | BN | OT | Job | Chapter 41 | Verse 4] সে কি তোমার সঙ্গে নিয়ম করবে, যাতে তুমি তাকে চিরকালের জন্য তোমার দাস করে নাও?
[IRV | BN | OT | Job | Chapter 41 | Verse 5] যেমন তুমি পাখিদের সঙ্গে খেলেছ, তেমনি কি তুমি তার সঙ্গে খেলবে? তুমি কি তাকে তোমার দাসের মেয়ের জন্য বাঁধবে?
[IRV | BN | OT | Job | Chapter 41 | Verse 6] মাছ ধরার দল কি তার জন্য তোমার সঙ্গে দরাদরি করবে? তারা কি তাকে ব্যবসায়ীদের মধ্যে ভাগ করে দেবে?
[IRV | BN | OT | Job | Chapter 41 | Verse 7] তুমি কি তার চামড়া লোহার ফলায় বিঁধতে পার অথবা তার মাথা মাছ ধরা বর্শায় বিঁধতে পার?
[IRV | BN | OT | Job | Chapter 41 | Verse 8] একবার তোমার হাত তার ওপর রাখ এবং তোমার যুদ্ধের কথা মনে পরে যাবে এবং আর সেরকম কর না।
[IRV | BN | OT | Job | Chapter 41 | Verse 9] দেখ, তাকে ধরার আশা হল মিথ্যা; তাকে দেখামাত্র লোকেরা কি মাটিতে পড়ে যায় না?
[IRV | BN | OT | Job | Chapter 41 | Verse 10] কেউ এমন সাহসী নেই যে সাহস করে লিবিয়াথনকে ওঠাবে; তবে কে, কে আমার সামনে দাঁড়াবে?
[IRV | BN | OT | Job | Chapter 41 | Verse 11] কে আমাকে প্রথমে কিছু দিয়েছে, যাতে আমি তার উপকার করব? আকাশের নিচে যা কিছু আছে সবই আমার।
[IRV | BN | OT | Job | Chapter 41 | Verse 12] আমি লিবিয়াথনের পায়ের বিষয়ে চুপ করে থাকব না, না তার শক্তির বিষয়ে, না তার সুন্দর গঠনের বিষয়ে চুপ করে থাকব।
[IRV | BN | OT | Job | Chapter 41 | Verse 13] কে তার বাইরের পোশাক খুলে নিতে পারে? কে তার জোড়া বর্মের মধ্যে দিয়ে যেতে পারে?
[IRV | BN | OT | Job | Chapter 41 | Verse 14] তার মুখের দরজা কে খুলতে পারে তার দাঁতের চারিদিকে আতঙ্ক?
[IRV | BN | OT | Job | Chapter 41 | Verse 15] তার পিছন ঢালের সারি দিয়ে তৈরী করা হয়েছে, একটা সিলমোহরের মত একসঙ্গে বন্ধ।
[IRV | BN | OT | Job | Chapter 41 | Verse 16] একটা আরেকটার এত কাছে যে তাদের মধ্যে দিয়ে হওয়াও যেতে পারে না।
[IRV | BN | OT | Job | Chapter 41 | Verse 17] তারা একে অপরের সঙ্গে যুক্ত; তারা একসঙ্গে যুক্ত, যাতে তাদের আলাদা করা না যায়।
[IRV | BN | OT | Job | Chapter 41 | Verse 18] তার হাঁচিতে আলো বেরিয়ে আসে; তার চোখ ভোরের সূর্য্যের চোখের পাতার মত।
[IRV | BN | OT | Job | Chapter 41 | Verse 19] তার মুখ থেকে জ্বলন্ত মশাল বের হয়, আগুনের ফুলকি লাফিয়ে ওঠে।
[IRV | BN | OT | Job | Chapter 41 | Verse 20] তার নাকের ফুটো দিয়ে ধোঁয়া বের হয়, যেন আগুনের ওপরে ফুটন্ত জলের পাত্র রাখা যা হওয়া দেওয়া হয়েছে খুব গরম করার জন্য।
[IRV | BN | OT | Job | Chapter 41 | Verse 21] তার নিঃশ্বাসে কয়লা জ্বলে ওঠে; তার মুখ থেকে আগুন বের হয়।
[IRV | BN | OT | Job | Chapter 41 | Verse 22] তার ঘাড়েই শক্তি এবং তার সামনে আতঙ্ক নাচে।
[IRV | BN | OT | Job | Chapter 41 | Verse 23] তার মাংসের ভাঁজ একসঙ্গে যুক্ত; তারা তার ওপর অনড়; তারা সরতে পারে না।
[IRV | BN | OT | Job | Chapter 41 | Verse 24] তার হৃদয় পাথরের মত শক্ত (সে ভয়শূন্য) সত্যি, জাঁতার নিচের পাথরের মত শক্ত।
[IRV | BN | OT | Job | Chapter 41 | Verse 25] যখন সে নিজেকে ওঠায়, এমনকি দেবতারা ভয় পায়; ভয়ের জন্য, তারা পিছিয়ে যায়।
[IRV | BN | OT | Job | Chapter 41 | Verse 26] যদি তলোয়ার তাকে আঘাত করে, তাতে তার কিছু হয় না এবং না বর্শা কিছু করতে পারে, না তীর অথবা না অন্য কোন সুচালো অস্ত্র কিছু করতে পারে।
