[IRV | BN | OT | Job | Chapter 13 | Verse 1] দেখ, আমার চোখ এসমস্ত দেখেছে; আমার কান শুনেছে এবং তা বুঝেছে।
[IRV | BN | OT | Job | Chapter 13 | Verse 2] তোমরা কি জান, সেই একই বিষয় আমিও জানি; আমি তোমাদের থেকে কিছু কম নই।
[IRV | BN | OT | Job | Chapter 13 | Verse 3] যাইহোক, আমি বরং সর্বশক্তিমানের সঙ্গে কথা বলব; আমি ঈশ্বরের সঙ্গে বিচার করতে চাই।
[IRV | BN | OT | Job | Chapter 13 | Verse 4] কিন্তু তোমরা সত্যকে চুনকাম করেছ মিথ্যা দিয়ে; তোমরা সকলে মূল্যহীন চিকিত্সক।
[IRV | BN | OT | Job | Chapter 13 | Verse 5] আহা, তোমরা একেবারে নীরব থাকবে! সেটাই তোমাদের প্রজ্ঞা।
[IRV | BN | OT | Job | Chapter 13 | Verse 6] এখন শোন আমার নিজের যুক্তি; আমার ঠোঁটের অনুনয় শোন।
[IRV | BN | OT | Job | Chapter 13 | Verse 7] তোমরা কি ঈশ্বরের পক্ষে অন্যায় কথা বলবে এবং তোমরা কি তাঁর পক্ষে প্রতারণাপূর্ণ কথা বলবে?
[IRV | BN | OT | Job | Chapter 13 | Verse 8] তোমরা কি সত্যি তাঁকে দয়া দেখাবে? তোমরা কি সত্যি আদালতে ঈশ্বরের পক্ষে উকিলের মত তর্ক করবে?
[IRV | BN | OT | Job | Chapter 13 | Verse 9] তার পরিবর্তে যদি তিনি তোমাদের বিচারক হিসাবে তোমাদের ওপর ফেরেন এবং পরীক্ষা করেন, এটা কি তোমাদের জন্য ভাল হবে? অথবা যেমন একজন অন্য জনকে ঠকায়, তোমরা কি সত্যি আদালতে তাঁর মিথ্যা পরিচয় দেবে?
[IRV | BN | OT | Job | Chapter 13 | Verse 10] তিনি অবশ্যই তোমাদের নিন্দা করবেন, যদি তোমরা গোপনে তাঁর পক্ষপাত কর।
[IRV | BN | OT | Job | Chapter 13 | Verse 11] তাঁর মহিমা কি তোমাদের ভয় পাওয়ায় না? তাঁর ভয় কি তোমাদের ওপর পড়ে না?
[IRV | BN | OT | Job | Chapter 13 | Verse 12] তোমাদের স্মরণীয় প্রবাদবাক্য ছাই দিয়ে তৈরী করে; তোমাদের দূর্গ হল মাটির তৈরী দূর্গ।
[IRV | BN | OT | Job | Chapter 13 | Verse 13] তোমরা শান্তি বজায় রাখ, আমাকে একা থাকতে দাও, যাতে আমি কথা বলতে পারি, আমার ওপর যা আসছে আসতে দাও।
[IRV | BN | OT | Job | Chapter 13 | Verse 14] আমি আমার নিজের মাংস আমার দাঁতে নিয়ে যাব; আমি আমার হাতে আমার জীবন নেব।
[IRV | BN | OT | Job | Chapter 13 | Verse 15] দেখ, যদি তিনি আমায় মেরে ফেলেন, আমার আর কোন আশা থাকবে না; তবুও, আমি তাঁর সামনে আমার রাস্তা রক্ষা করব।
[IRV | BN | OT | Job | Chapter 13 | Verse 16] এটাই হবে আমার মুক্তির কারণ, যে আমি তাঁর সামনে অধার্ম্মিক লোকের মত আসব না।
[IRV | BN | OT | Job | Chapter 13 | Verse 17] হে ঈশ্বর, আমার কথা মনোযোগ দিয়ে শোন; আমার ঘোষণা তোমার কানে আসুক।
[IRV | BN | OT | Job | Chapter 13 | Verse 18] এখন দেখ, আমি আমার যুক্তি সাজিয়ে রেখেছি; আমি জানি যে আমি নির্দোষ।
[IRV | BN | OT | Job | Chapter 13 | Verse 19] কে সে যে আমার বিরুদ্ধে আদালতে তর্ক করবে? যদি তুমি তা করতে আস এবং যদি আমি ভুল প্রমাণিত হই, তাবে আমি নীরব হব এবং প্রাণ ত্যাগ করব।
[IRV | BN | OT | Job | Chapter 13 | Verse 20] হে ঈশ্বর, আমার জন্য দুটো জিনিস কর এবং তাহলে আমি নিজেকে তোমার থেকে লুকাব না:
[IRV | BN | OT | Job | Chapter 13 | Verse 21] তোমার কঠোর হাত আমার থেকে তুলে নাও এবং তোমার আতঙ্ক আমায় ভয় না দেখাক।
[IRV | BN | OT | Job | Chapter 13 | Verse 22] তখন আমায় ডাক আর আমি উত্তর দেব; অথবা আমাকে তোমার সঙ্গে কথা বলতে দাও এবং তুমি আমায় উত্তর দাও।
[IRV | BN | OT | Job | Chapter 13 | Verse 23] আমার অপরাধ ও পাপ কত? আমাকে আমার অপরাধ ও পাপ জানতে দাও।
[IRV | BN | OT | Job | Chapter 13 | Verse 24] কেন তুমি আমার কাছ থেকে তোমার মুখ লুকিয়েছ এবং আমার সঙ্গে শত্রুর মত আচরণ করছ?
[IRV | BN | OT | Job | Chapter 13 | Verse 25] তুমি কি একটা হওয়ায় ওড়া পাতাকে অত্যাচার করবে? তুমি কি শুকনো নাড়ার পিছনে ছুটবে?
[IRV | BN | OT | Job | Chapter 13 | Verse 26] কারণ তুমি আমার বিরুদ্ধে তিক্ত বিষয় লিখেছ; তুমি আমায় আমার যৌবনের পাপের উত্তরাধিকারী করেছ।
[IRV | BN | OT | Job | Chapter 13 | Verse 27] তুমি আমার পায়ে বেড়ি পরিয়েছ, তুমি আমার সমস্ত রাস্তায় লক্ষ রেখেছ; তুমি সেই মাটি পরীক্ষা করেছ যেখানে আমার পা হেঁটেছে,
[IRV | BN | OT | Job | Chapter 13 | Verse 28] যদিও আমি পচা জিনিসের মত যা নষ্ট হয়ে গেছে, একটা কাপড়ের মত যা পোকায় খেয়েছে।
