[IRV | BN | OT | Job | Chapter 38 | Verse 1] তারপর সদাপ্রভু ইয়োবকে ভয়ঙ্কর ঝড়ের মধ্যে থেকে ডাকলেন এবং বললেন,
[IRV | BN | OT | Job | Chapter 38 | Verse 2] “এ কে যে জ্ঞানহীন কথা দ্বারা আমার পরিকল্পনায় অন্ধকার নিয়ে আসে?
[IRV | BN | OT | Job | Chapter 38 | Verse 3] তুমি এখন পরুষের মত তোমার কোমর বাঁধ, কারণ আমি তোমায় প্রশ্ন করব এবং তুমি অবশ্যই আমায় উত্তর দেবে।
[IRV | BN | OT | Job | Chapter 38 | Verse 4] যখন আমি পৃথিবীর ভিত স্থাপন করছিলাম তখন তুমি কোথায় ছিলে? যদি তোমার অনেক বুদ্ধি থাকে, তবে আমায় বল।
[IRV | BN | OT | Job | Chapter 38 | Verse 5] কে এর মাত্রা নির্ণয় করে? যদি তুমি জান, আমায় বল। কে এটার ওপর মানদন্ডের দাগ টানে?
[IRV | BN | OT | Job | Chapter 38 | Verse 6] কিসের ওপর এটার ভিত স্থাপন করা হয়েছে? কে এটার কোনের পাথর স্থাপন করেছে?
[IRV | BN | OT | Job | Chapter 38 | Verse 7] কখন ভোরের তারারা একসঙ্গে গান গেয়েছিল এবং ঈশ্বরের সন্তানেরা আনন্দে চিত্কার করেছিল?
[IRV | BN | OT | Job | Chapter 38 | Verse 8] কে কপাট দিয়ে সমুদ্রকে আটকাল যখন তা বেরিয়ে এসেছিল, যেন তা গর্ভ থেকে বেরিয়ে এসেছিল
[IRV | BN | OT | Job | Chapter 38 | Verse 9] যখন আমি মেঘকে তার বস্ত্র করলাম এবং ঘন অন্ধকার দিয়ে তার পট্টি করলাম?
[IRV | BN | OT | Job | Chapter 38 | Verse 10] যখন আমি এটার সীমা নিরূপন করলাম এবং যখন আমি এটার খিল এবং দরজা স্থাপন করলাম,
[IRV | BN | OT | Job | Chapter 38 | Verse 11] এবং যখন আমি এটাকে বললাম, তুমি এই পর্যন্ত আসতে পার, কিন্তু তার বেশি নয়; এখানে তোমার গর্বের ঢেউ থামবে।
[IRV | BN | OT | Job | Chapter 38 | Verse 12] তোমার জন্মের দিন থেকে, তুমি কি কখনও, ভোর শুরু হওয়ার আদেশ দিয়েছ এবং ভোরকে কি তার জায়গা জানিয়েছ।
[IRV | BN | OT | Job | Chapter 38 | Verse 13] যাতে এটা পৃথিবীর প্রান্তগুলো ধরতে পারে, যাতে পাপীরা এর থেকে ঝরে পরে?
[IRV | BN | OT | Job | Chapter 38 | Verse 14] কাদামাটি যেমন সিলমোহরের দ্বারা পরিবর্তিত হয় তেমন পৃথিবীর আকার পরিবর্তিত হয়েছে; ভাঁজ করা কাপড়ের মত এটার ওপর সমস্ত জিনিস পরিষ্কার ভাবে প্রকাশ পায়।
[IRV | BN | OT | Job | Chapter 38 | Verse 15] পাপীদের থেকে তাদের আলো নিয়ে নেওয়া হয়েছে; তাদের উঁচু হাত ভাঙ্গা হয়েছে।
[IRV | BN | OT | Job | Chapter 38 | Verse 16] তুমি কি সমুদ্রের জলের উত্স স্থলে গেছো? তুমি কি সমুদ্রের গভীর তলে হেঁটেছ?
[IRV | BN | OT | Job | Chapter 38 | Verse 17] মৃত্যুর দরজা কি তোমার কাছে প্রকাশ পেয়েছে? তুমি কি মৃত্যুচ্ছায়ার দরজা দেখেছ?
[IRV | BN | OT | Job | Chapter 38 | Verse 18] তুমি কি পৃথিবীর বিস্তার বুঝেছ? তুমি যদি এ সমস্ত জান, তবে আমায় বল।
[IRV | BN | OT | Job | Chapter 38 | Verse 19] আলোর বিশ্রাম স্থানে যাওয়ার পথ কোথায় যেমন অন্ধকারের জন্য, তার বাসস্থান বা কোথায়?
[IRV | BN | OT | Job | Chapter 38 | Verse 20] তুমি কি আলো এবং অন্ধকারকে তাদের কাজের জায়গায় পরিচালনা করতে পার? তুমি কি তাদের জন্য তাদের ঘরের রাস্তা পেতে পার?
[IRV | BN | OT | Job | Chapter 38 | Verse 21] নিঃসন্দেহে তুমি জান, কারণ তুমি তখন জন্মেছিলে; তোমার আয়ুর সংখ্যা অনেক!
[IRV | BN | OT | Job | Chapter 38 | Verse 22] তুমি কি কখনও বরফের জন্য ভান্ডারগৃহে ঢুকেছ অথবা তুমি কি কখনও শিলার জন্য ভান্ডারগৃহ দেখেছ,
[IRV | BN | OT | Job | Chapter 38 | Verse 23] এই জিনিস গুলো যা আমি কষ্টের দিনের র জন্য রেখেছি, সংগ্রাম এবং যুদ্ধের দিনের র জন্য রেখেছি?
[IRV | BN | OT | Job | Chapter 38 | Verse 24] কোন পথে কোথায় আলো ভাগ হয় অথবা কোথা থেকে পূর্বীয় বাতাস পৃথিবীর ওপর ছড়িয়ে পড়ে?
[IRV | BN | OT | Job | Chapter 38 | Verse 25] অতিবৃষ্টির জন্য কে খাল কেটেছে, অথবা কে বজ্র-বিদ্যুতের জন্য পথ তৈরী করেছে,
[IRV | BN | OT | Job | Chapter 38 | Verse 26] যেখানে কোন লোক থাকে না সেখানে বৃষ্টির জন্য এবং প্রান্তরে বৃষ্টির জন্য, যেখানে কেউ থাকে না,
[IRV | BN | OT | Job | Chapter 38 | Verse 27] মরুভূমি এবং নির্জন এলাকার প্রয়োজন মেটানোর উদ্দেশ্যে এবং নরম ঘাস অংকুরিত হওয়ার জন্য?
[IRV | BN | OT | Job | Chapter 38 | Verse 28] বৃষ্টির পিতা কি কেউ আছে? শিশিরবিন্দুর জন্মদাতাই বা কে?
[IRV | BN | OT | Job | Chapter 38 | Verse 29] কার গর্ভ থেকে বরফ এসেছে? আকাশের সাদা তুষারের জন্মদাতাই বা কে?
[IRV | BN | OT | Job | Chapter 38 | Verse 30] জল নিজেদেরকে লুকায় এবং পাথরের মতন হয়; গভীর জলতল কঠিন হয়।
[IRV | BN | OT | Job | Chapter 38 | Verse 31] তুমি কি কৃত্তিকা নক্ষত্রের হার গাঁথতে পার, অথবা কালপুরুষের বাঁধন খুলতে পার?
[IRV | BN | OT | Job | Chapter 38 | Verse 32] তুমি কি নক্ষত্রপুঞ্জকে তাদের সঠিক দিনের প্রকাশ পেতে চালনা দিতে পার? তুমি কি ভাল্লুককে তার বাচ্চাদের সঙ্গে পথ দেখাতে পার?
[IRV | BN | OT | Job | Chapter 38 | Verse 33] তুমি কি আকাশের নিয়ম জান? তুমি কি আকাশের নিয়ম পৃথিবীতে স্থাপন করতে পার?
[IRV | BN | OT | Job | Chapter 38 | Verse 34] তুমি কি মেঘেদের ওপর তোমার স্বর তুলতে পার, যাতে প্রচুর বৃষ্টিরজল তোমাকে ঢাকতে পারে?
[IRV | BN | OT | Job | Chapter 38 | Verse 35] তুমি কি বিদ্যুতকে তাদের পথে পাঠাতে পার, তারা তোমায় বলবে, আমরা এখানে?
[IRV | BN | OT | Job | Chapter 38 | Verse 36] মেঘেদের মধ্যে কে জ্ঞান রেখেছে অথবা কুয়াশাকে কে বুদ্ধি দিয়েছে?
[IRV | BN | OT | Job | Chapter 38 | Verse 37] কে তার দক্ষতায় মেঘেদের সংখ্যা গুনতে পারে? কে আকাশের কলসি গুলোকে উল্টাতে পারে,
[IRV | BN | OT | Job | Chapter 38 | Verse 38] যখন ধূলো শক্ত হয় এবং মাটির তাল এক জায়গায় জমাট বাঁধে?
