[IRV | BN | OT | Job | Chapter 27 | Verse 1] ইয়োব আবার কথা বলা শুরু করল এবং বলল,
[IRV | BN | OT | Job | Chapter 27 | Verse 2] “জীবন্ত ঈশ্বরের দিব্যি, যে আমার ন্যায়বিচার নিয়ে গেছে, সর্বশক্তিমান, যিনি আমার প্রাণ অস্থির বা তিক্ত করেছেন,
[IRV | BN | OT | Job | Chapter 27 | Verse 3] যতদিন আমার জীবন আমাতে থাকে এবং ঈশ্বর থেকে প্রাণবায়ু আমার নাকে থাকে,
[IRV | BN | OT | Job | Chapter 27 | Verse 4] নিশ্চই আমার ঠোঁট অধার্মিকতার কথা বলবে না; না আমার জিভ প্রতারণার কথা বলবে।
[IRV | BN | OT | Job | Chapter 27 | Verse 5] এটা আমার থেকে দূরে থাকুক যে আমার স্বীকার করি যে তোমরা ঠিক; আমার মৃত্যু পর্যন্ত, আমি আমার সততা অস্বীকার করব না।
[IRV | BN | OT | Job | Chapter 27 | Verse 6] আমি আমার ধার্ম্মিকতা ধরে থাকব এবং এটা ছাড়ব না; আমার চিন্তা যতদিন আমি জীবিত থাকি আমাকে নিন্দা করবে না।
[IRV | BN | OT | Job | Chapter 27 | Verse 7] আমার শত্রুরা পাপীদের মত হোক; যারা আমার বিরুদ্ধে ওঠে, তারা অধার্মিকদের মত হোক।
[IRV | BN | OT | Job | Chapter 27 | Verse 8] কারণ অধার্ম্মিক যারা অন্যায় উপার্জন করে এবং জীবন ধারন করে তাদের জন্য কি আশা আছে যখন ঈশ্বর তার জীবন ধ্বংস করেন, যখন ঈশ্বর তার প্রাণ নিয়ে নেন?
[IRV | BN | OT | Job | Chapter 27 | Verse 9] ঈশ্বর কি তার কান্না শুনবেন, যখন তার ওপর বিপদ আসবে?
[IRV | BN | OT | Job | Chapter 27 | Verse 10] সে কি সর্বশক্তিমানে আনন্দ করবে এবং সব দিন ঈশ্বরকে ডাকবে?
[IRV | BN | OT | Job | Chapter 27 | Verse 11] আমি ঈশ্বরের হাতের বিষয়ে তোমাদের শিক্ষা দেব; আমি সর্বশক্তিমানের চিন্তা গোপন করব না।
[IRV | BN | OT | Job | Chapter 27 | Verse 12] দেখ, তোমরা সবাই নিজেরা এটা দেখেছ; তাহলে কেন তোমরা এই সব বাজে কথা বলছ?
[IRV | BN | OT | Job | Chapter 27 | Verse 13] এটাই পাপী মানুষদের ভাগ্য ঈশ্বর থেকে পাওয়া, অত্যাচারীদের অধিকার যা সে সর্বশক্তিমানের কাছ থেকে পায়:
[IRV | BN | OT | Job | Chapter 27 | Verse 14] যদি তার সন্তানেরা বৃদ্ধি পায়, তবে তা তলোয়ারের জন্য; তার সন্তানসন্ততি কখনও যথেষ্ট পরিমাণে খাবার পাবে না।
[IRV | BN | OT | Job | Chapter 27 | Verse 15] যারা বাঁচবে তারা মহামারীতে কবরস্থ হবে এবং তাদের বিধবারা তাদের জন্য কোন শোক করবে না।
[IRV | BN | OT | Job | Chapter 27 | Verse 16] যদিও পাপী মানুষ ধূলোর মত রুপো ঢিবি করে এবং বিধবারা কাদার মত কাপড় ঢিবি করে,
[IRV | BN | OT | Job | Chapter 27 | Verse 17] সে ঢিবি করলেও, কিন্তু ধার্মিক তা পরে এবং নির্দোষরা নিজেদের মধ্যে সেই রূপা ভাগ করে নেবে।
[IRV | BN | OT | Job | Chapter 27 | Verse 18] সে মাকড়সার মত নিজের বাড়ি তৈরী করে, পাহাড়াদারের কুঁড়ে ঘরের মত।
[IRV | BN | OT | Job | Chapter 27 | Verse 19] সে ধনী হয়ে বিছানায় শোয়, কিন্তু সে সংগৃহীত হবে না; সে তার চোখ খোলে এবং সবকিছু চলেগেছে।
[IRV | BN | OT | Job | Chapter 27 | Verse 20] জলের মত আতঙ্ক তাকে ধরে; রাতে একটি ঝড় তাকে উড়িয়ে নিয়ে যায়।
[IRV | BN | OT | Job | Chapter 27 | Verse 21] পূর্বীয় বায়ু তাকে উড়িয়ে নিয়ে যায় এবং সে চলে যায়; এটা তাকে তার স্থান থেকে দূর করে।
[IRV | BN | OT | Job | Chapter 27 | Verse 22] ওই বায়ু তার দিকে বান ছুড়বে এবং থামবে না; সে তাঁর হাত থেকে পালিয়ে যাওয়ার চেষ্টা করেবে।
[IRV | BN | OT | Job | Chapter 27 | Verse 23] লোকেরা অবজ্ঞায় তার কাছে হাততালি দেয়; তাকে শিশ দিয়ে তার জায়গা থেকে তাড়িয়ে দেয়।”
