[OEB | EN | NT | Colossians | Chapter 3 | Verse 1] Since, therefore, you were raised to life with the Christ, seek for the things that are above; for it is there that the Christ is seated at the right hand of God.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 2] Fix your thoughts on the things that are above, not on those that are on earth.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 3] For you died, and your life now lies hidden, with the Christ, in God.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 4] When the Christ, who is our life, appears, then you also will appear with him in glory.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 5] Therefore destroy all that is earthly in you – immorality, uncleanness, passions, evil desires, and that greed which is idolatry.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 6] These are the things because of which the wrath of God comes,
[OEB | EN | NT | Colossians | Chapter 3 | Verse 7] and to which you, like others, once devoted your lives, when you lived for them.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 8] You, however, must now lay aside all such things – anger, passion, malice, slander, abuse.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 9] Never lie to one another. Get rid of your old self and its habits,
[OEB | EN | NT | Colossians | Chapter 3 | Verse 10] and clothe yourselves with that new self, which, as it gains in knowledge, is being constantly renewed in resemblance to him who made it.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 11] In that new life there is no distinction between Greek and Jew, circumcised and uncircumcised, barbarian, Scythian, slave, free; but Christ is all! – and in all!
[OEB | EN | NT | Colossians | Chapter 3 | Verse 12] Therefore, as God’s people, consecrated and dear to him, clothe yourselves with tenderness of heart, kindliness, humility, gentleness, forbearance;
[OEB | EN | NT | Colossians | Chapter 3 | Verse 13] bearing with one another, and, when there is any ground for complaint, forgiving one another freely. As the Master freely forgave you, so you must forgive one another.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 14] Over all these virtues put on love; for that is the belt which makes all complete.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 15] Let the peace that the Christ gives decide all doubts within your hearts; for you also were called to the enjoyment of peace as members of one body. And show yourselves thankful.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 16] Let the message of the Christ be alive in your minds in all its wealth, bringing all wisdom with it. Teach and admonish one another with psalms, and hymns, and sacred songs, full of the loving kindness of God, lifting your hearts in song to him.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 17] And, whatever you say or do, do everything in the name of the Lord Jesus; and through him offer thanksgiving to God the father.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 18] Wives, submit to your husbands, as befits those who belong to the Lord.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 19] Husbands, love your wives, and never treat them harshly.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 20] Children, always obey your parents; for that is pleasant to see in those who belong to the Lord.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 21] Fathers, never irritate your children, otherwise they might become disheartened.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 22] Slaves, always obey your earthly masters, not only when their eyes are on you, as if you had but to please people alone, but giving them ungrudging service, in your respect for the Master.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 23] Whatever you do, do it with all your heart, as if working for the Master and not for people,
[OEB | EN | NT | Colossians | Chapter 3 | Verse 24] since you know that it is from the Master that you will receive the inheritance which will be your reward. You are serving Christ, the Master.
[OEB | EN | NT | Colossians | Chapter 3 | Verse 25] Those who do wrong will reap the wrong they have done; and there will be no partiality.
