[OEB | EN | NT | Colossians | Chapter 4 | Verse 1] Masters, do what is right and fair by your slaves, for you know that you also have a Master – in heaven.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 2] Devote yourselves to prayer. Give your whole mind to it, and also offer thanksgiving;
[OEB | EN | NT | Colossians | Chapter 4 | Verse 3] and at the same time pray for us, so that God may give us an opening for our message, so that we may speak of the truths hidden in the Christ – the truths for which I am in chains!
[OEB | EN | NT | Colossians | Chapter 4 | Verse 4] Then I will make them known, as I ought to do.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 5] Show tact in your behaviour to the outside world, making the most of every opportunity.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 6] Let your conversation always be kindly, but not bland, season it, as it were, with salt; be aware in each case of the answer you should be giving.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 7] Our dear friend, Tychicus, will tell you all about me. He is a faithful minister, and a fellow servant in the Master’s cause.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 8] I send him to you expressly that you may learn our circumstances, and that he may give you encouragement.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 9] With him will be Onesimus, our dear faithful friend, who is one of yourselves. They will tell you all that is going on here.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 10] My fellow prisoner, Aristarchus, sends you his greeting, and Barnabas’s cousin, Mark, sends his. (You have received directions about him. If he comes to you, make him welcome.)
[OEB | EN | NT | Colossians | Chapter 4 | Verse 11] Joshua, who is called Justus, also sends his greeting. These are the only converts from Judaism who have worked with me for the kingdom of God; I have found them a great comfort.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 12] Epaphras, who is one of yourselves, sends you his greeting. He is a servant of Christ Jesus, and is always most earnest in your behalf in his prayers, praying that you may stand firm, with a matured faith and with a sure conviction of all that is in accordance with God’s will.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 13] I can bear testimony to the deep interest he takes in you, as well as in the followers at Laodicea and at Hierapolis.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 14] Luke, our dear doctor, sends you his greeting, and Demas sends his.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 15] Give my greeting to the followers at Laodicea, and to Nymphe, and to the church that meets at her house.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 16] And when this letter has been read to you, see that it is also read before the church at Laodicea, and that you yourselves read the letter which will be forwarded from there.
[OEB | EN | NT | Colossians | Chapter 4 | Verse 17] Give this message to Archippus – “Take care to discharge to the best of your ability the office to which you were appointed in the Master’s cause.”
[OEB | EN | NT | Colossians | Chapter 4 | Verse 18] I, Paul, add this greeting in my own handwriting. Remember these chains of mine. God’s blessing be with you.
