[BBE | EN | OT | Joshua | Chapter 21 | Verse 1] Then the heads of the families of the Levites came to Eleazar the priest and Joshua, the son of Nun, and to the heads of families of the tribes of the children of Israel;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 2] And said to them in Shiloh in the land of Canaan, The Lord gave orders by Moses that we were to have towns for living in, with their grass-lands for our cattle.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 3] And the children of Israel out of their heritage gave to the Levites these towns with their grass-lands, by the order of the Lord.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 4] And the heritage came out for the families of the Kohathites: the children of Aaron the priest, who were of the Levites, were given thirteen towns from the tribes of Judah, Simeon, and Benjamin.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 5] The rest of the children of Kohath by their families were given ten towns from the tribes of Ephraim and Dan and the half-tribe of Manasseh.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 6] The children of Gershon by their families were given thirteen towns from the tribes of Issachar and Asher and Naphtali and the half-tribe of Manasseh which was in Bashan.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 7] The children of Merari by their families were given twelve towns from the tribes of Reuben and Gad and Zebulun.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 8] All these towns with their grass-lands the children of Israel gave by the decision of the Lord to the Levites, as the Lord had given orders by Moses.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 9] From the tribes of the children of Judah and the children of Simeon they gave these towns, listed here by name:
[BBE | EN | OT | Joshua | Chapter 21 | Verse 10] These were for the children of Aaron among the families of the Kohathites, of the children of Levi: for they came first in the distribution.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 11] They gave them Kiriath-arba, the town of Arba, the father of Anak, (which is Hebron) in the hill-country of Judah, with its grass-lands.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 12] But the open country round the town, and its unwalled places, they gave to Caleb, the son of Jephunneh, as his property.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 13] And to the children of Aaron the priest they gave Hebron with its grass-lands, the town where the taker of life might be safe, and Libnah with its grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 14] And Jattir with its grass-lands, and Eshtemoa with its grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 15] And Holon with its grass-lands, and Debir with its grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 16] And Ain, and Juttah, and Beth-shemesh, with their grass-lands; nine towns from those two tribes.
