[DARBY | EN | NT | John | Chapter 7 | Verse 1] And after these things Jesus walked in Galilee, for he would not walk in Judaea, because the Jews sought to kill him.
[DARBY | EN | NT | John | Chapter 7 | Verse 2] Now the tabernacles, the feast of the Jews, was near.
[DARBY | EN | NT | John | Chapter 7 | Verse 3] His brethren therefore said to him, Remove hence and go into Judaea, that thy disciples also may see thy works which thou doest;
[DARBY | EN | NT | John | Chapter 7 | Verse 4] for no one does anything in secret and himself seeks to be [known] in public. If thou doest these things, manifest thyself to the world:
[DARBY | EN | NT | John | Chapter 7 | Verse 5] for neither did his brethren believe on him.
[DARBY | EN | NT | John | Chapter 7 | Verse 6] Jesus therefore says to them, My time is not yet come, but your time is always ready.
[DARBY | EN | NT | John | Chapter 7 | Verse 7] The world cannot hate you, but me it hates, because I bear witness concerning it that its works are evil.
[DARBY | EN | NT | John | Chapter 7 | Verse 8] Ye, go ye up to this feast. I go not up to this feast, for my time is not yet fulfilled.
[DARBY | EN | NT | John | Chapter 7 | Verse 9] Having said these things to them he abode in Galilee.
[DARBY | EN | NT | John | Chapter 7 | Verse 10] But when his brethren had gone up, then he himself also went up to the feast, not openly, but as in secret.
[DARBY | EN | NT | John | Chapter 7 | Verse 11] The Jews therefore sought him at the feast, and said, Where is he?
[DARBY | EN | NT | John | Chapter 7 | Verse 12] And there was much murmuring concerning him among the crowds. Some said, He is [a] good [man]; others said, No; but he deceives the crowd.
[DARBY | EN | NT | John | Chapter 7 | Verse 13] However, no one spoke openly concerning him on account of [their] fear of the Jews.
[DARBY | EN | NT | John | Chapter 7 | Verse 14] But when it was now the middle of the feast, Jesus went up into the temple and taught.
[DARBY | EN | NT | John | Chapter 7 | Verse 15] The Jews therefore wondered, saying, How knows this [man] letters, having never learned?
[DARBY | EN | NT | John | Chapter 7 | Verse 16] Jesus therefore answered them and said, My doctrine is not mine, but [that] of him that has sent me.
[DARBY | EN | NT | John | Chapter 7 | Verse 17] If any one desire to practise his will, he shall know concerning the doctrine, whether it is of God, or [that] I speak from myself.
[DARBY | EN | NT | John | Chapter 7 | Verse 18] He that speaks from himself seeks his own glory; but he that seeks the glory of him that has sent him, he is true, and unrighteousness is not in him.
[DARBY | EN | NT | John | Chapter 7 | Verse 19] Has not Moses given you the law, and no one of you practises the law? Why do ye seek to kill me?
[DARBY | EN | NT | John | Chapter 7 | Verse 20] The crowd answered [and said], Thou hast a demon: who seeks to kill thee?
[DARBY | EN | NT | John | Chapter 7 | Verse 21] Jesus answered and said to them, I have done one work, and ye all wonder.
[DARBY | EN | NT | John | Chapter 7 | Verse 22] Therefore Moses gave you circumcision (not that it is of Moses, but of the fathers), and ye circumcise a man on sabbath.
[DARBY | EN | NT | John | Chapter 7 | Verse 23] If a man receives circumcision on sabbath, that the law of Moses may not be violated, are ye angry with me because I have made a man entirely sound on sabbath?
[DARBY | EN | NT | John | Chapter 7 | Verse 24] Judge not according to sight, but judge righteous judgment.
[DARBY | EN | NT | John | Chapter 7 | Verse 25] Some therefore of those of Jerusalem said, Is not this he whom they seek to kill?
[DARBY | EN | NT | John | Chapter 7 | Verse 26] and behold, he speaks openly, and they say nothing to him. Have the rulers then indeed recognised that this is the Christ?
[DARBY | EN | NT | John | Chapter 7 | Verse 27] But [as to] this [man] we know whence he is. Now [as to] the Christ, when he comes, no one knows whence he is.
[DARBY | EN | NT | John | Chapter 7 | Verse 28] Jesus therefore cried out in the temple, teaching and saying, Ye both know me and ye know whence I am; and I am not come of myself, but he that sent me is true, whom ye do not know.
[DARBY | EN | NT | John | Chapter 7 | Verse 29] I know him, because I am from him, and he has sent me.
[DARBY | EN | NT | John | Chapter 7 | Verse 30] They sought therefore to take him; and no one laid his hand upon him, because his hour had not yet come.
[DARBY | EN | NT | John | Chapter 7 | Verse 31] But many of the crowd believed on him, and said, Will the Christ, when he comes, do more signs than those which this [man] has done?
[DARBY | EN | NT | John | Chapter 7 | Verse 32] The Pharisees heard the crowd murmuring these things concerning him, and the Pharisees and the chief priests sent officers that they might take him.
[DARBY | EN | NT | John | Chapter 7 | Verse 33] Jesus therefore said, Yet a little while I am with you, and I go to him that has sent me.
[DARBY | EN | NT | John | Chapter 7 | Verse 34] Ye shall seek me and shall not find [me], and where I am ye cannot come.
[DARBY | EN | NT | John | Chapter 7 | Verse 35] The Jews therefore said to one another, Where is he about to go that we shall not find him? Is he about to go to the dispersion among the Greeks, and teach the Greeks?
[DARBY | EN | NT | John | Chapter 7 | Verse 36] What word is this which he said, Ye shall seek me and shall not find [me]; and where I am ye cannot come?
[DARBY | EN | NT | John | Chapter 7 | Verse 37] In the last, the great day of the feast, Jesus stood and cried saying, If any one thirst, let him come to me and drink.
[DARBY | EN | NT | John | Chapter 7 | Verse 38] He that believes on me, as the scripture has said, out of his belly shall flow rivers of living water.
[DARBY | EN | NT | John | Chapter 7 | Verse 39] But this he said concerning the Spirit, which they that believed on him were about to receive; for [the] Spirit was not yet, because Jesus had not yet been glorified.
[DARBY | EN | NT | John | Chapter 7 | Verse 40] [Some] out of the crowd therefore, having heard this word, said, This is truly the prophet.
[DARBY | EN | NT | John | Chapter 7 | Verse 41] Others said, This is the Christ. Others said, Does then the Christ come out of Galilee?
[DARBY | EN | NT | John | Chapter 7 | Verse 42] Has not the scripture said that the Christ comes of the seed of David, and from the village of Bethlehem, where David was?
[DARBY | EN | NT | John | Chapter 7 | Verse 43] There was a division therefore in the crowd on account of him.
[DARBY | EN | NT | John | Chapter 7 | Verse 44] But some of them desired to take him, but no one laid hands upon him.
[DARBY | EN | NT | John | Chapter 7 | Verse 45] The officers therefore came to the chief priests and Pharisees, and they said to them, Why have ye not brought him?
[DARBY | EN | NT | John | Chapter 7 | Verse 46] The officers answered, Never man spoke thus, as this man [speaks].
[DARBY | EN | NT | John | Chapter 7 | Verse 47] The Pharisees therefore answered them, Are ye also deceived?
[DARBY | EN | NT | John | Chapter 7 | Verse 48] Has any one of the rulers believed on him, or of the Pharisees?
