[JPS | EN | OT | Haggai | Chapter 2 | Verse 1] In the seventh month, in the one and twentieth day of the month, came the word of the LORD by Haggai the prophet, saying:
[JPS | EN | OT | Haggai | Chapter 2 | Verse 2] 'Speak now to Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Jehozadak, the high priest, and to the remnant of the people, saying:
[JPS | EN | OT | Haggai | Chapter 2 | Verse 3] Who is left among you that saw this house in its former glory? and how do ye see it now? is not such a one as nothing in your eyes?
[JPS | EN | OT | Haggai | Chapter 2 | Verse 4] Yet now be strong, O Zerubbabel, saith the LORD; and be strong, O Joshua, son of Jehozadak, the high priest; and be strong, all ye people of the land, saith the LORD, and work; for I am with you, saith the LORD of hosts.
[JPS | EN | OT | Haggai | Chapter 2 | Verse 5] The word that I covenanted with you when ye came out of Egypt have I established, and My spirit abideth among you; fear ye not.
[JPS | EN | OT | Haggai | Chapter 2 | Verse 6] For thus saith the LORD of hosts: Yet once, it is a little while, and I will shake the heavens, and the earth, and the sea, and the dry land;
[JPS | EN | OT | Haggai | Chapter 2 | Verse 7] and I will shake all nations, and the choicest things of all nations shall come, and I will fill this house with glory, saith the LORD of hosts.
[JPS | EN | OT | Haggai | Chapter 2 | Verse 8] Mine is the silver, and Mine the gold, saith the LORD of hosts.
[JPS | EN | OT | Haggai | Chapter 2 | Verse 9] The glory of this latter house shall be greater than that of the former, saith the LORD of hosts; and in this place will I give peace, saith the LORD of hosts.'
[JPS | EN | OT | Haggai | Chapter 2 | Verse 10] In the four and twentieth day of the ninth month, in the second year of Darius, came the word of the LORD by Haggai the prophet, saying:
[JPS | EN | OT | Haggai | Chapter 2 | Verse 11] 'Thus saith the LORD of hosts: Ask now the priests for instruction, saying:
[JPS | EN | OT | Haggai | Chapter 2 | Verse 12] If one bear hallowed flesh in the skirt of his garment, and with his skirt do touch bread, or pottage, or wine, or oil, or any food, shall it be holy?' And the priests answered and said: 'No.'
[JPS | EN | OT | Haggai | Chapter 2 | Verse 13] Then said Haggai: 'If one that is unclean by a dead body touch any of these, shall it be unclean?' And the priests answered and said: 'It shall be unclean.'
[JPS | EN | OT | Haggai | Chapter 2 | Verse 14] Then answered Haggai, and said: 'So is this people, and so is this nation before me, saith the LORD; and so is every work of their hands; and that which they offer there is unclean.
[JPS | EN | OT | Haggai | Chapter 2 | Verse 15] And now, I pray you, consider from this day and forward — before a stone was laid upon a stone in the temple of the LORD,
[JPS | EN | OT | Haggai | Chapter 2 | Verse 16] through all that time, when one came to a heap of twenty measures, there were but ten; when one came to the winevat to draw out fifty press-measures, there were but twenty;
[JPS | EN | OT | Haggai | Chapter 2 | Verse 17] I smote you with blasting and with mildew and with hail in all the work of your hands; yet ye turned not to Me, saith the LORD —
[JPS | EN | OT | Haggai | Chapter 2 | Verse 18] consider, I pray you, from this day and forward, from the four and twentieth day of the ninth month, even from the day that the foundation of the LORD'S temple was laid, consider it;
[JPS | EN | OT | Haggai | Chapter 2 | Verse 19] is the seed yet in the barn? yea, the vine, and the fig-tree, and the pomegranate, and the olive-tree hath not brought forth — from this day will I bless you.'
[JPS | EN | OT | Haggai | Chapter 2 | Verse 20] And the word of the LORD came the second time unto Haggai in the four and twentieth day of the month, saying:
[JPS | EN | OT | Haggai | Chapter 2 | Verse 21] 'Speak to Zerubbabel, governor of Judah, saying: I will shake the heavens and the earth;
[JPS | EN | OT | Haggai | Chapter 2 | Verse 22] and I will overthrow the throne of kingdoms, and I will destroy the strength of the kingdoms of the nations; and I will overthrow the chariots, and those that ride in them; and the horses and their riders shall come down, every one by the sword of his brother.
[JPS | EN | OT | Haggai | Chapter 2 | Verse 23] In that day, saith the LORD of hosts, will I take thee, O Zerubbabel, My servant, the son of Shealtiel, saith the LORD, and will make thee as a signet; for I have chosen thee, saith the LORD of hosts.'
