[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 1] And Benjamin begat Bela his first-born, Ashbel the second, and Aharah the third,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 2] Nohah the fourth, and Rapha the fifth.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 3] And there are sons to Bela: Addar, and Gera,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 4] and Abihud, and Abishua, and Naaman, and Ahoah,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 5] and Gera, and Shephuphan, and Huram.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 6] And these [are] sons of Ehud: they are heads of fathers to the inhabitants of Geba, and they remove them unto Manahath;
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 7] and Naaman, and Ahiah, and Gera, he removed them, and begat Uzza and Ahihud.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 8] And Shaharaim begat in the field of Moab, after his sending them away; Hushim and Baara [are] his wives.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 9] And he begetteth of Hodesh his wife, Jobab, and Zibia, and Mesha, and Malcham,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 10] and Jeuz, and Shachiah, and Mirmah. These [are] his sons, heads of fathers.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 11] And of Hushim he begat Ahitub and Elpaal.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 12] And sons of Elpaal: Eber, and Misheam, and Shamer, (he built Ono and Lod and its small towns),
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 13] and Beriah and Shema, (they [are] the heads of fathers to the inhabitants of Aijalon — they caused to flee the inhabitants of Gath),
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 14] and Ahio, Shashak, and Jeremoth,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 15] and Zebadiah, and Arad, and Ader,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 16] and Michael, and Ispah, and Joha, sons of Beriah,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 17] and Zebadiah, and Meshullam, and Hezeki, and Heber,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 18] and Ishmerai, and Jezliah, and Jobab, sons of Elpaal;
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 19] And Jakim, and Zichri, and Zabdi,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 20] and Elienai, and Zillethai, and Eliel,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 21] and Adaiah, and Beraiah, and Shimrath, sons of Shimei;
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 22] And Ishpan, and Heber, and Eliel,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 23] and Abdon, and Zichri, and Hanan,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 24] and Hananiah, and Elam, and Antothijah,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 25] and Iphedeiah, and Penuel, sons of Shashak;
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 26] And Shamsherai, and Shehariah, and Athaliah,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 27] and Jaareshiah, and Eliah, and Zichri, sons of Jeroham.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 28] These [are] heads of fathers, by their generations, heads; these dwelt in Jerusalem.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 29] And in Gibeon hath the father of Gibeon dwelt, and the name of his wife [is] Maachah;
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 30] and his son, the first-born, [is] Abdon, and Zur, and Kish, and Baal, and Nadab,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 31] and Gedor, and Ahio, and Zacher;
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 32] and Mikloth begat Shimeah. And they also over-against their brethren dwelt in Jerusalem with their brethren.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 33] And Ner begat Kish, and Kish begat Saul, and Saul begat Jonathan, and Malchi-Shua, and Abinadab, and Esh-Baal.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 34] And a son of Jonathan [is] Merib-Baal, and Merib-Baal begat Micah;
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 35] and sons of Micah: Pithon, and Melech, and Tarea, and Ahaz:
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 36] and Ahaz begat Jehoadah, and Jehoadah begat Alemeth, and Azmaveth, and Zimri; and Zimri begat Moza,
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 37] and Moza begat Binea, Raphah [is] his son, Eleasah his son, Azel his son.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 38] And to Azel [are] six sons, and these [are] their names: Azrikam, Bocheru, and Ishmael, and Sheariah, and Obadiah, and Hanan. All these [are] sons of Azel.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 39] And sons of Eshek his brother: Ulam his first-born, Jehush the second, and Eliphelet the third.
[YLT | EN | OT | 1 Chronicles | Chapter 8 | Verse 40] And the sons of Ulam are men mighty in valour, treading bow, and multiplying sons and son's sons, a hundred and fifty. All these [are] of the sons of Benjamin.
