[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] Sons of Levi: Gershon, Kohath, and Merari.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] And the sons of Kohath; Amram, Izhar, and Hebron, and Uzziel.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] And sons of Amram: Aaron, and Moses, and Miriam. And sons of Aaron: Nadab, and Abihu, Eleazar, and Ithamar.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] Eleazar begat Phinehas, Phinehas begat Abishua,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] and Abishua begat Bukki, and Bukki begat Uzzi,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] and Uzzi begat Zerahiah, and Zerahiah begat Meraioth,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] Meraioth begat Amariah, and Amariah begat Ahitub,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] and Ahitub begat Zadok, and Zadok begat Ahimaaz,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] and Ahimaaz begat Azariah, and Azariah begat Johanan,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] and Johanan begat Azariah, him who acted as priest in the house that Solomon built in Jerusalem.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] And Azariah begetteth Amariah, and Amariah begat Ahitub,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] and Ahitub begat Zadok, and Zadok begat Shallum,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] and Shallum begat Hilkiah, and Hilkiah begat Azariah,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] and Azariah begat Seraiah, and Seraiah begat Jehozadak;
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] and Jehozadak hath gone in Jehovah's removing Judah and Jerusalem by the hand of Nebuchadnezzar.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 16] Sons of Levi: Gershom, Kohath, and Merari.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 17] And these [are] names of sons of Gershom: Libni and Shimei.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 18] And sons of Kohath: Amram, and Izhar, and Hebron, and Uzziel.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 19] Sons of Merari; Mahli and Mushi. And these [are] families of the Levite according to their fathers;
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 20] of Gershom: Libni his son, Jahath his son, Zimmah his son,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 21] Joah his son, Iddo his son, Zerah his son, Jeaterai his son.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 22] Sons of Kohath: Amminadab his son, Korah his son, Assir his son,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 23] Elkanah his son, and Ebiasaph his son, and Assir his son,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 24] Tahath his son, Uriel his son, Uzziah his son, and Shaul his son.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 25] And sons of Elkanah; Amasai and Ahimoth.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 26] Elkanah; sons of Elkanah: Zophai his son, and Nahath his son,
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 27] Eliab his son, Jeroham his son, Elkanah his son.
[YLT | EN | OT | 1 Chronicles | Chapter 6 | Verse 28] And sons of Samuel: the first-born Vashni, and the second Abijah.
