[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 1] Adam, Sheth, Enosh,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 2] Kenan, Mahalaleel, Jered,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 3] Henoch, Methuselah, Lamech,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 4] Noah, Shem, Ham, and Japheth.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 5] Sons of Japheth: Gomer and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 6] And sons of Gomer: Ashchenaz, and Riphath, and Togarmah.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 7] And sons of Javan: Elisha, and Tarshishah, Kittim, and Dodanim.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 8] Sons of Ham: Cush, and Mizraim, Put, and Canaan.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 9] And sons of Cush: Seba and Havilah, and Sabta, and Raamah, and Sabtecka. And sons of Raamah: Sheba and Dedan.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 10] And Cush begat Nimrod: he began to be a mighty one in the land.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 11] And Mizraim begat the Ludim, and the Anamim, and the Lehabim, and the Naphtuhim,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 12] and the Pathrusim, and the Casluhim (from whom came out the Philistim), and the Caphtorim.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 13] And Canaan begat Zidon his first born, and Heth,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 14] and the Jebusite, and the Amorite, and the Girgashite,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 15] and the Hivite, and the Arkite, and the Sinite,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 16] and the Arvadite, and the Zemarite, and the Hamathite.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 17] Sons of Shem: Elam and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 18] And Arphaxad begat Shelah, and Shelah begat Eber.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 19] And to Eber have been born two sons, the name of the one [is] Peleg, for in his days hath the land been divided, and the name of his brother is Joktan.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 20] And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 21] and Hadoram, and Uzal, and Diklah,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 22] and Ebal, and Abimael, and Sheba,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 23] and Ophir, and Havilah, and Jobab; all these [are] sons of Joktan.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 24] Shem, Arphaxad, Shelah,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 25] Eber, Peleg, Reu,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 26] Serug, Nahor, Terah,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 27] Abram — he [is] Abraham.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 28] Sons of Abraham: Isaac and Ishmael.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 29] These [are] their generations: first-born of Ishmael, Nebaioth, and Kedar, and Adheel, and Mibsam,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 30] Mishma, and Dumah, Massa, Hadad, and Tema,
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 31] Jetur, Naphish, and Kedema. These are sons of Ishmael.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 32] And sons of Keturah, Abraham's concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And sons of Jokshan: Sheba and Dedan.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 33] And sons of Midian: Ephah and Epher, and Henoch, and Abida, and Eldaah; all these [are] sons of Keturah.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 34] And Abraham begetteth Isaac. Sons of Isaac: Esau and Israel.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 35] Sons of Esau: Eliphaz, Reuel, and Jeush, and Jaalam, and Korah.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 36] Sons of Eliphaz: Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 37] Sons of Reuel: Nahath, Zerah, Shammah, and Mizzah.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 38] And sons of Seir: Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezar, and Dishan.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 39] And sons of Lotan: Hori and Homam, and sister of Lotan [is] Timna.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 40] Sons of Shobal: Alian, and Manahath, and Ebal, Shephi, and Onam. And sons of Zideon: Aiah and Anah.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 41] The sons of Anah: Dishon. and sons of Dishon: Amram, and Eshban, and Ithran, and Cheran.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 42] Sons of Ezer: Bilhan, and Zavan, Jakan. Sons of Dishan: Uz and Aran.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 43] And these [are] the kings who reigned in the land of Edom before the reigning of a king of the sons of Israel: Bela son of Beor, and the name of his city [is] Dinhabah.
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 44] And Bela dieth, and reign in his stead doth Jobab son of Zerah from Bozrali;
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 45] and Jobab dieth, and reign in his stead doth Husham from the land of the Temanite;
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 46] and Husham dieth, and reign in his stead doth Hadad, son of Bedad (who smiteth Midian in the field of Moab) and the name of his city [is] Avith;
[YLT | EN | OT | 1 Chronicles | Chapter 1 | Verse 47] and Hadad dieth, and reign in his stead doth Samlah from Masrekah;
