[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 1] And David and the heads of the host separate for service, of the sons of Asaph, and Heman, and Jeduthun, who are prophesying with harps, with psalteries, and with cymbals, and the number of the workmen is according to their service.
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 2] Of sons of Asaph: Zaccur, and Joseph, and Nethaniah, and Asharelah, sons of Asaph, [are] by the side of Asaph, who is prophesying by the side of the king.
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 3] Of Jeduthun: sons of Jeduthun, Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, Shisshah, [are] by the side of their father Jeduthun; with a harp he is prophesying, for giving of thanks and of praise to Jehovah.
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 4] Of Heman: sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamti-Ezer, Joshbekashah, Mallothi, Hothir, Mahazioth;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 5] all these [are] sons of Heman — seer of the king in the things of God — to lift up a horn; and God giveth to Heman fourteen sons and three daughters.
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 6] All these [are] by the side of their father in the song of the house of Jehovah, with cymbals, psalteries, and harps, for the service of the house of God; by the side of the king [are] Asaph, and Jeduthun, and Heman.
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 7] And their number, with their brethren — taught in the song of Jehovah, all who are intelligent — is two hundred, eighty and eight.
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 8] And they cause to fall lots — charge over-against [charge], as well the small as the great, the intelligent with the learner.
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 9] And the first lot goeth out for Asaph to Joseph; [to] Gedaliah the second; he, and his brethren and his sons, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 10] the third [to] Zaccur, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 11] the fourth to Izri, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 12] the fifth [to] Nethaniah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 13] the sixth [to] Bukkiah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 14] the seventh [to] Jesharelah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 15] the eighth [to] Jeshaiah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 16] the ninth [to] Mattaniah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 17] the tenth [to] Shimei, his sons and his brethren, twelve:
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 18] eleventh [to] Azareel, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 19] the twelfth [to] Hashabiah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 20] at the thirteenth [to] Shubael, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 21] at the fourteenth [to] Mattithiah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 22] at the fifteenth [to] Jeremoth, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 23] at the sixteenth [to] Hananiah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 24] at the seventeenth [to] Joshbekashah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 25] at the eighteenth [to] Hanani, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 26] at the nineteenth [to] Mallothi, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 27] at the twentieth [to] Eliathah, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 28] at the one and twentieth [to] Hothir, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 29] at the two and twentieth [to] Giddalti, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 30] at the three and twentieth [to] Mahazioth, his sons and his brethren, twelve;
[YLT | EN | OT | 1 Chronicles | Chapter 25 | Verse 31] at the four and twentieth [to] Romamti-Ezer, his sons and his brethren, twelve.
