[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 1] And sons of Issachar; Tola, and Puah, Jashub, and Shimron, four.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 2] And sons of Tola: Uzzi, and Rephaiah, and Jeriel, and Jahmai, and Jibsam, and Shemuel, heads of the house of their fathers, [even] of Tola, mighty of valour in their generations: their number in the days of David [is] twenty and two thousand and six hundred.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 3] And sons of Uzzi: Izrahiah; and sons of Izrahiah: Michael, and Obadiah, and Joel, Ishiah, Hamishah — all of them heads.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 4] And beside them, by their generations, of the house of their fathers, [are] troops of the host of battle, thirty and six thousand, for they multiplied wives and sons;
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 5] and their brethren of all the families of Issachar [are] mighty of valour, eighty and seven thousand, all have their genealogy.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 6] Of Benjamin: Bela, and Becher, and Jediael, three.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 7] And sons of Bela: Ezbon, and Uzzi, and Uzziel, and Jerimoth, and Iri, five; heads of a house of fathers, mighty of valour, with their genealogy, twenty and two thousand, and thirty and four.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 8] And sons of Becher: Zemirah, and Joash, and Eliezar, and Elioenai, and Omri, and Jerimoth, and Abijah, and Anathoth, and Alameth. All these [are] sons of Becher,
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 9] with their genealogy, after their generations, heads of a house of their fathers, mighty of valour, twenty thousand and two hundred.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 10] And sons of Jediael: Bilhan; and sons of Bilhan: Jeush, and Benjamin, and Ehud, and Chenaanah, and Zethan, and Tarshish, and Ahishahar.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 11] All these [are] sons of Jediael, even heads of the fathers, mighty in valour, seventeen thousand and two hundred going out to the host for battle.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 12] And Shuppim and Huppim [are] sons of Ir; Hushim son of Aher.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 13] Sons of Naphtali: Jahziel, and Guni, and Jezer, and Shallum, sons of Bilhah.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 14] Sons of Manasseh: Ashriel, whom Jaladah his Aramaean concubine bare, with Machir father of Gilead.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 15] And Machir took wives for Huppim and for Shuppim, and the name of the one [is] Maachah, and the name of the second Zelophehad, and Zelophehad hath daughters.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 16] And Maachah wife of Machir beareth a son and calleth his name Peresh, and the name of his brother [is] Sheresh, and his sons [are] Ulam and Rakem.
[YLT | EN | OT | 1 Chronicles | Chapter 7 | Verse 17] And son of Ulam: Bedan. These [are] sons of Gilead son of Machir, son of Manasseh.
