[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 1] And they bring in the ark of God, and set it up in the midst of the tent that David hath stretched out for it, and they bring near burnt-offerings and peace-offerings before God;
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 2] and David ceaseth from offering the burnt-offering and the peace-offerings, and blesseth the people in the name of Jehovah,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 3] and giveth a portion to every man of Israel, both man and woman: to each a cake of bread, and a measure of wine, and a grape-cake.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 4] And he putteth before the ark of Jehovah, of the Levites, ministers, even to make mention of, and to thank, and to give praise to Jehovah, God of Israel,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 5] Asaph the head, and his second Zechariah; Jeiel, and Shemiramoth, and Jehiel, and Mattithiah, and Eliab, and Benaiah, and Obed-Edom, and Jeiel, with instruments of psalteries, and with harps; and Asaph with cymbals is sounding;
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 6] and Benaiah and Jahaziel the priests [are] with trumpets continually before the ark of the covenant of God.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 7] On that day then hath David given at the beginning to give thanks to Jehovah by the hand of Asaph and his brethren: —
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 8] Give thanks to Jehovah, call in His name, Make known among the peoples His doings.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 9] Sing ye to Him, sing psalms to Him, Meditate on all His wonders.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 10] Boast yourselves in His holy name, Rejoice doth the heart of those seeking Jehovah.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 11] Seek ye Jehovah and His strength, Seek His face continually.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 12] Remember His wonders that He did, His signs, and the judgments of His mouth,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 13] O seed of Israel, His servant, O sons of Jacob, His chosen ones!
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 14] He [is] Jehovah our God, In all the earth [are] His judgments.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 15] Remember ye to the age His covenant, The word He commanded — To a thousand generations,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 16] Which He hath made with Abraham, And His oath — to Isaac,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 17] And He establisheth it to Jacob for a statute, To Israel — a covenant age-during.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 18] Saying: To thee I give the land of Canaan, The portion of your inheritance,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 19] When ye are few of number, As a little thing, and sojourners in it.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 20] And they go up and down, From nation unto nation, And from a kingdom unto another people.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 21] He hath not suffered any to oppress them, And reproveth on their account kings:
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 22] Come not against Mine anointed ones, And against My prophets do not evil.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 23] Sing to Jehovah, all the earth, Proclaim from day unto day His salvation.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 24] Rehearse among nations His glory, Among all the peoples His wonders.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 25] For great [is] Jehovah, and praised greatly, And fearful He [is] above all gods.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 26] For all gods of the peoples [are] nought, And Jehovah the heavens hath made.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 27] Honour and majesty [are] before Him, Strength and joy [are] in His place.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 28] Ascribe to Jehovah, ye families of peoples, Ascribe to Jehovah honour and strength.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 29] Ascribe to Jehovah the honour of His name, Lift up a present, and come before Him. Bow yourselves to Jehovah, In the beauty of holiness.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 30] Be pained before Him, all the earth:
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 31] Also, established is the world, It is not moved! The heavens rejoice, and the earth is glad, And they say among nations: Jehovah hath reigned.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 32] Roar doth the sea, and its fulness, Exult doth the field, and all that [is] in it,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 33] Then sing do trees of the forest, From the presence of Jehovah, For He hath come to judge the earth!
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 34] Give thanks to Jehovah, for good, For to the age, [is] His kindness,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 35] And say, Save us, O God of our salvation, And gather us, and deliver us from the nations, To give thanks to Thy holy name, To triumph in Thy praise.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 36] Blessed [is] Jehovah, God of Israel, From the age and unto the age;' And all the people say, 'Amen,' and have given praise to Jehovah.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 37] And he leaveth there before the ark of the covenant of Jehovah, for Asaph and for his brethren, to minister before the ark continually, according to the matter of a day in its day,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 38] both Obed-Edom and their brethren, sixty and eight, and Obed-Edom son of Jeduthun, and Hosah for gatekeepers,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 39] and Zadok the priest, and his brethren the priests, before the tabernacle of Jehovah, in a high place that [is] in Gibeon,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 40] to cause to ascend burnt-offerings to Jehovah, on the altar of burnt-offering continually, morning and evening, and for all that is written in the law of Jehovah, that He charged on Israel.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 41] And with them [are] Heman and Jeduthun, and the rest of those chosen, who were defined by name, to give thanks to Jehovah, for to the age [is] His kindness,
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 42] and with them — Heman and Jeduthun — [are] trumpets and cymbals for those sounding, and instruments of the song of God, and the sons of Jeduthun [are] at the gate.
[YLT | EN | OT | 1 Chronicles | Chapter 16 | Verse 43] And all the people go, each to his house, and David turneth round to bless his house.
