[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These [are] sons of Israel: Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 2] Dan, Joseph, and Benjamin, Naphtali, Gad, and Asher.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 3] Sons of Judah: Er, and Onan, and Shelah, three have been born to him of a daughter of Shua the Canaanitess. And Er, first-born of Judah, is evil in the eyes of Jehovah, and He putteth him to death.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 4] And Tamar his daughter-in-law hath borne to him Pharez and Zerah. All the sons of Judah [are] five.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 5] Sons of Pharez: Hezron, and Hamul.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 6] And sons of Zerah: Zimri, and Ethan, and Heman, and Calcol, and Dara; all of them five.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 7] And sons of Carmi: Achar, troubler of Israel, who trespassed in the devoted thing.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 8] And sons of Ethan: Azariah.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 9] And sons of Hezron who were born to him; Jerahmeel, and Ram, and Chelubai.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 10] And Ram begat Amminadab, and Amminadab begat Nahshon, prince of the sons of Judah;
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 11] and Nahshon begat Salma, and Salma begat Boaz,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 12] and Boaz begat Obed, and Obed begat Jesse;
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 13] and Jesse begat his first-born Eliab, and Abinadab the second, and Shimea the third,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 14] Nethaneel the fourth, Raddai the fifth,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 15] Ozem the sixth, David the seventh,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 16] and their sisters Zeruiah and Abigail. And sons of Zeruiah: Abishai, and Joab, and Asah-El — three.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 17] And Abigail hath borne Amasa, and the father of Amasa [is] Jether the Ishmeelite.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 18] And Caleb son of Hezron hath begotten Azubah, Isshah, and Jerioth; and these [are] her sons: Jesher, and Shobab, and Ardon.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 19] And Azubah dieth, and Caleb taketh to him Ephrath, and she beareth to him Hur.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 20] And Hur begat Uri, and Uri begat Bezaleel.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 21] And afterwards hath Hezron gone in unto a daughter of Machir father of Gilead, and he hath taken her, and he [is] a son of sixty years, and she beareth to him Segub.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 22] And Segub begat Jair, and he hath twenty and three cities in the land of Gilead,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 23] and he taketh Geshur and Aram, the small villages of Jair, from them, with Kenath and its small towns, sixty cities — all these [belonged to] the sons of Machir father of Gilead.
