[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] And gathered are all Israel unto David to Hebron, saying, 'Lo, thy bone and thy flesh [are] we;
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 2] even in time past, even in Saul's being king, it is thou who art taking out and bringing in Israel, and Jehovah thy God saith to thee: Thou dost feed My people Israel, and thou art leader over My people Israel.'
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 3] And all the elders of Israel come in unto the king to Hebron, and David maketh with them a covenant in Hebron before Jehovah, and they anoint David for king over Israel, according to the word of Jehovah by the hand of Samuel.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 4] And David goeth, and all Israel, to Jerusalem — it [is] Jebus — and there the Jebusite, the inhabitants of the land.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 5] And the inhabitants of Jebus say to David, 'Thou dost not come in hither;' and David captureth the fortress of Zion — it [is] the city of David.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 6] And David saith, 'Whoever smiteth the Jebusite first doth become head and prince;' and go up first doth Joab son of Zeruiah and becometh head.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 7] And David dwelleth in the fortress, therefore they have called it, 'City of David;'
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 8] and he buildeth the city round about, from Millo, and unto the circumference, and Joab restoreth the rest of the city.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 9] And David goeth, going on and becoming great, and Jehovah of Hosts [is] with him.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 10] And these [are] heads of the mighty ones whom David hath, who are strengthening themselves with him in his kingdom, with all Israel, to cause him to reign, according to the word of Jehovah, over Israel.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 11] And this [is] an account of the mighty ones whom David hath: Jashobeam son of a Hachmonite [is] head of the thirty; he is lifting up his spear against three hundred — wounded, at one time.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 12] And after him [is] Eleazar son of Dodo the Ahohite, he [is] among the three mighty;
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 13] he hath been with David in Pas-Dammim, and the Philistines have been gathered there to battle, and a portion of the field is full of barley, and the people have fled from the face of the Philistines,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 14] and they station themselves in the midst of the portion, and deliver it, and smite the Philistines, and Jehovah saveth — a great salvation.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 15] And three of the thirty heads go down on the rock unto David, unto the cave of Adullam, and the host of the Philistines is encamping in the valley of Rephaim,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 16] and David [is] then in the fortress, and the station of the Philistines [is] then in Beth-Lehem,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 17] and David longeth, and saith, 'Who doth give me to drink water from the well of Beth-Lehem, that [is] at the gate!'
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 18] And the three break through the camp of the Philistines, and draw water from the well of Beth-Lehem, that [is] at the gate, and bear and bring in unto David, and David hath not been willing to drink it, and poureth it out to Jehovah,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 19] and saith, 'Far be it from me, by my God, to do this; the blood of these men do I drink with their lives? for with their lives they have brought it;' and he was not willing to drink it; these [things] did the three mighty ones.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 20] And Abishai brother of Joab, he hath been head of the three: and he is lifting up his spear against three hundred — wounded, and hath a name among three.
