[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 1] And to the sons of Aaron [are] their courses: sons of Aaron [are] Nadab, and Abihu, Eleazar, and Ithamar,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 2] and Nadab dieth, and Abihu, in the presence of their father, and they had no sons, and Eleazar and Ithamar act as priests.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 3] And David distributeth them, and Zadok of the sons of Eleazar, and Ahimelech of the sons of Ithamar, according to their office in their service;
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 4] and there are found of the sons of Eleazar more for heads of the mighty men than of the sons of Ithamar; and they distribute them: Of the sons of Eleazar, heads for a house of fathers, sixteen; and of the sons of Ithamar, for a house of their fathers, eight.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 5] And they distribute them, by lots, one with another, for princes of the sanctuary, and princes of God, have been of the sons of Eleazar, and of the sons of Ithamar.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 6] And Shemaiah son of Nethaneel the scribe, of the Levites, writeth them before the king and the princes, and Zadok the priest, and Ahimelech son of Abiathar, and heads of the fathers, for priests and for Levites: one house of a father being taken possession of for Eleazar, and one being taken possession of for Ithamar.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 7] And the first lot goeth out for Jehoiarib, for Jedaiah the second,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 8] for Harim the third, for Seorim the fourth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 9] for Malchijah the fifth, for Mijamin the sixth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 10] for Hakkoz the seventh, for Abijah the eighth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 11] for Jeshuah the ninth, for Shecaniah the tenth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 12] for Eliashib the eleventh, for Jakim the twelfth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 13] for Huppah the thirteenth, for Jeshebeab the fourteenth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 14] for Bilgah the fifteenth, for Immer the sixteenth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 15] for Hezir the seventeenth, for Aphses the eighteenth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 16] for Pethahiah the nineteenth, for Jehezekel the twentieth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 17] for Jachin the one and twentieth, for Gamul the two and twentieth,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 18] for Delaiah the three and twentieth, for Maaziah the four and twentieth.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 19] These [are] their appointments for their service, to come in to the house of Jehovah, according to their ordinance by the hand of Aaron their father, as Jehovah God of Israel, commanded them.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 20] And for the sons of Levi who are left: for sons of Amram, Shubael; for sons of Shubael: Jehdeiah.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 21] For Rehabiah: for sons of Rehabiah, the head Ishshiah.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 22] For the Izharite: Shelomoth; for sons of Shelomoth: Jahath.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 23] And sons of Jeriah: Amariah the second, Jahaziel the third, Jekameam the fourth.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 24] Sons of Uzziel: Michah; for sons of Michah: Shamir.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 25] A brother of Michah [is] Ishshiah; for sons of Ishshiah: Zechariah;
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 26] sons of Merari: Mahli and Mushi; sons of Jaaziah: Beno;
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 27] sons of Merari: of Jaaziah: Beno, and Shoham, and Zaccur, and Ibri.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 28] For Mahli: Eleazar, who had no sons;
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 29] for Kish: sons of Kish: Jerahmeel.
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 30] And sons of Mushi [are] Mahli, and Eder, and Jerimoth; these [are] sons of the Levites, for the house of their fathers,
[YLT | EN | OT | 1 Chronicles | Chapter 24 | Verse 31] and they cast, they also, lots over-against their brethren the sons of Aaron, before David the king, and Zadok, and Ahimelech, and heads of the fathers, for priests and for Levites; the chief father over-against his younger brother.
