[IRV | UR | OT | Isaiah | Chapter 6 | Verse 1] जिस साल में उज़्ज़ियाह बादशाह ने वफ़ात पाई मैंने ख़ुदावन्द को एक बड़ी बुलन्दी पर ऊँचे तख़्त पर बैठे देखा, और उसके लिबास के दामन से हैकल मा'मूर हो गई।
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 2] उसके आस — पास सराफ़ीम खड़े थे, जिनमें से हर एक के छ: बाज़ू थे; और हर एक दो से अपना मुँह ढाँपे था और दो से पाँव और दो से उड़ता था।
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 3] और एक ने दूसरे को पुकारा और कहा, “क़ुद्दूस, क़ुद्दूस, क़ुद्दूस रब्ब — उल — अफ़वाज है; सारी ज़मीन उसके जलाल से मा'मूर है।”
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 4] और पुकारने वाले की आवाज़ के ज़ोर से आस्तानों की बुनियादें हिल गईं, और मकान धुँवें से भर गया।
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 5] तब मैं बोल उठा, कि मुझ पर अफ़सोस! मैं तो बर्बाद हुआ! क्यूँकि मेरे होंट नापाक हैं और नजिस लब लोगों में बसता हूँ, क्यूँकि मेरी आँखों ने बादशाह रब्ब — उल — अफ़वाज को देखा!
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 6] उस वक़्त सराफ़ीम में से एक सुलगा हुआ कोयला जो उसने दस्तपनाह से मज़बह पर से उठा लिया, अपने हाथ में लेकर उड़ता हुआ मेरे पास आया,
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 7] और उससे मेरे मुँह को छुआ और कहा, “देख, इसने तेरे लबों को छुआ; इसलिए तेरी बदकिरदारी दूर हुई, और तेरे गुनाह का कफ़्फ़ारा हो गया।”
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 8] उस वक़्त मैंने ख़ुदावन्द की आवाज़ सुनी जिसने फ़रमाया “मैं किसको भेजूँ और हमारी तरफ़ से कौन जाएगा?” तब मैंने 'अर्ज़ की, “मैं हाज़िर हूँ! मुझे भेज।”
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 9] और उसने फ़रमाया, “जा, और इन लोगों से कह, कि 'तुम सुना करो लेकिन समझो नहीं, तुम देखा करो लेकिन बूझो नहीं।
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 10] तू इन लोगों के दिलों को चर्बा दे, और उनके कानों को भारी कर, और उनकी आँखें बन्द कर दे; ऐसा न हो कि वह अपनी आँखों से देखें और अपने कानों से सुनें और अपने दिलों से समझ लें, और बाज़ आएँ और शिफ़ा पाएँ।”
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 11] तब मैंने कहा, “ऐ ख़ुदावन्द ये कब तक?” उसने जवाब दिया, “जब तक बस्तियाँ वीरान न हों और कोई बसनेवाला न रहे, और घर बे — चराग़ न हों, और ज़मीन सरासर उजाड़ न हो जाए;
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 12] और ख़ुदावन्द आदमियों को दूर कर दे, और इस सरज़मीन में मतरूक मक़ाम बकसरत हों।
[IRV | UR | OT | Isaiah | Chapter 6 | Verse 13] और अगर उसमें दसवाँ हिस्सा बाक़ी भी बच जाए, तो वह फिर भसम किया जाएगा; लेकिन वह बुत्म और बलूत की तरह होगा कि बावजूद यह कि वह काटे जाएँ तोभी उनका टुन्ड बच रहता है, इसलिए उसका टुन्ड एक मुक़द्दस तुख़्म होगा।”
