[IRV | UR | OT | Isaiah | Chapter 45 | Verse 1] ख़ुदावन्द अपने मम्सूह ख़ोरस के हक़ में यूँ फ़रमाता है कि मैंने उसका दहना हाथ पकड़ा कि उम्मतों को उसके सामने ज़ेर करूँ और बादशाहों की कमरें खुलवा डालूँ और दरवाज़ों को उसके लिए खोल दूँ और फाटक बन्द न किए जाएँ,
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 2] मैं तेरे आगे आगे चलूँगा और ना — हमवार जगहों को हमवार बना दूँगा, मैं पीतल के दरवाज़ों को टुकड़े — टुकड़े करूँगा और लोहे के बेन्डों को काट डालूँगा;
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 3] और मैं ज़ुल्मात के ख़ज़ाने और छिपे मकानों के दफ़ीने तुझे दूँगा, ताकि तू जाने कि मैं ख़ुदावन्द इस्राईल का ख़ुदा हूँ जिसने तुझे नाम लेकर बुलाया है।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 4] मैंने अपने ख़ादिम या'क़ूब और अपने बरगुज़ीदा इस्राईल की ख़ातिर तुझे नाम लेकर बुलाया; मैंने तुझे एक लक़ब बख़्शा अगरचे तू मुझ को नहीं जानता।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 5] मैं ही ख़ुदावन्द हूँ और कोई नहीं, मेरे अलावाह कोई ख़ुदा नहीं मैंने तेरी कमर बाँधी अगरचे तूने मुझे न पहचाना;
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 6] ताकि पूरब से पश्चिम तक लोग जान ले कि मेरे अलावह कोई नहीं; मैं ही ख़ुदावन्द हूँ, मेरे अलावाह कोई दूसरा नहीं।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 7] मैं ही रोशनी का मूजिद और तारीकी का ख़ालिक़ हूँ, मैं सलामती का बानी और बला को पैदा करने वाला हूँ, मैं ही ख़ुदावन्द ये सब कुछ करनेवाला हूँ।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 8] ऐ आसमान, ऊपर से टपक पड़; हाँ बादल रास्तबाज़ी बरसाएँ, ज़मीन खुल जाए, और नजात और सदाक़त का फल लाए; वह उनको इकट्ठे उगाए; मैं ख़ुदावन्द उसका पैदा करनेवाला हूँ।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 9] “अफ़सोस उस पर जो अपने ख़ालिक़ से झगड़ता है! ठीकरा तो ज़मीन के ठीकरों में से है! क्या मिट्टी कुम्हार से कहे, 'तू क्या बनाता है?” क्या तेरी दस्तकारी कहे, 'उसके तो हाथ नहीं?
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 10] उस पर अफ़सोस जो बाप से कहे, 'तू किस चीज़ का वालिद है?' और माँ से कहे, 'तू किस चीज़ की वालिदा है?
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 11] ख़ुदावन्द इस्राईल का क़ुददूस और ख़ालिक़ यूँ फ़रमाता है, कि “क्या तुम आनेवाली चीज़ों के ज़रिए' मुझ से पूछोगे? क्या तुम मेरे बेटों या मेरी दस्तकारी के ज़रिए' मुझे हुक्म दोगे?
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 12] मैंने ज़मीन बनाई, और उस पर इंसान को पैदा किया; और मैं ही ने, हाँ, मेरे हाथों ने आसमान को ताना, और उसके सब लश्करों पर मैंने हुक्म किया।”
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 13] रब्ब — उल — अफ़वाज फ़रमाता है मैंने उसको सदाक़त में खड़ा किया है और मैं उसकी तमाम राहों को हमवार करूँगा; वह मेरा शहर बनाएगा, और मेरे ग़ुलामों को बगै़र क़ीमत और इवज़ लिए आज़ाद कर देगा।
