[IRV | UR | OT | Isaiah | Chapter 11 | Verse 1] और यस्सी के तने से एक कोंपल निकलेगी और उसकी जड़ों से एक बारआवर शाख़ पैदा होगी।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 2] और ख़ुदावन्द की रूह उस पर ठहरेगी हिकमत और ख़िरद की रूह, मसलहत और क़ुदरत की रूह, मा'रिफ़त और ख़ुदावन्द के ख़ौफ़ की रूह।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 3] और उसकी शादमानी ख़ुदावन्द के ख़ौफ़ में होगी। और वह न अपनी आँखों के देखने के मुताबिक़ इन्साफ़ करेगा, और न अपने कानों के सुनने के मुवाफ़िक़ फ़ैसला करेगा;
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 4] बल्कि वह रास्ती से ग़रीबों का इन्साफ़ करेगा, और 'अद्ल से ज़मीन के ख़ाकसारों का फ़ैसला करेगा; और वह अपनी ज़बान के 'असा से ज़मीन को मारेगा, और अपने लबों के दम से शरीरों को फ़ना कर डालेगा।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 5] उसकी कमर का पटका रास्तबाज़ी होगी और उसके पहलू पर वफ़ादारी का पटका होगा।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 6] तब भेड़िया बर्रे के साथ रहेगा, और चीता बकरी के बच्चे के साथ बैठेगा, और बछड़ा और शेर बच्चा और पला हुआ बैल पेशरवी करेगा।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 7] गाय और रीछनी मिलकर चरेंगी उनके बच्चे इकट्ठे बैठेंगे और शेर — ए — बबर बैल की तरह भूसा खाएगा।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 8] और दूध पीता बच्चा सॉंप के बिल के पास खेलेगा, और वह लड़का जिसका दूध छुड़ाया गया हो अफ़ई के बिल में हाथ डालेगा।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 9] वह मेरे तमाम पाक पहाड़ पर न नुक़्सान पहुँचाएँगें न हलाक करेंगे क्यूँकि जिस तरह समन्दर पानी से भरा है उसी तरह ज़मीन ख़ुदावन्द के इरफ़ान से मा'मूर होगी।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 10] और उस वक़्त यूँ होगा कि लोग यस्सी की उस जड़ के तालिब होंगे, जो लोगों के लिए एक निशान है; और उसकी आरामगाह जलाली होगी।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 11] उस वक़्त यूँ होगा कि ख़ुदावन्द दूसरी मर्तबा अपना हाथ बढ़ाएगा कि अपने लोगों का बक़िया या जो बच रहा हो, असूर और मिस्र और फ़त्रूस और कूश और इलाम और सिन'आर और हमात और समन्दर की अतराफ़ से वापस लाए।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 12] और वह क़ौमों के लिए एक झंडा खड़ा करेगा और उन इस्राईलियों को जो ख़ारिज किए गए हों जमा' करेगा; और सब बनी यहूदाह को जो तितर बितर होंगे, ज़मीन के चारों तरफ़ से इकठ्ठा करेगा।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 13] तब बनी इफ़्राईम में हसद न रहेगा और बनी यहूदाह के दुश्मन काट डाले जाएँगे, बनी इफ़्राईम बनी यहूदाह पर हसद न करेंगे और बनी यहूदाह बनी इफ़्राईम से कीना न रख्खेंगे।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 14] और वह पश्चिम की तरफ़ फ़िलिस्तियों के कंधों पर झपटेंगे, और वह मिलकर पूरब के बसनेवालों को लूटेंगे, और अदोम और मोआब पर हाथ डालेंगे; और बनी 'अम्मोन उनके फ़रमाबरदार होंगे।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 15] तब ख़ुदावन्द बहर — ए — मिस्र की ख़लीज को बिल्कुल हलाक कर देगा, और अपनी बाद — ए — समूम से दरिया — ए — फ़रात पर हाथ चलाएगा और उसको सात नाले कर देगा, ऐसा करेगा कि लोग जूते पहने हुऐ पार चले जाएँगे।
[IRV | UR | OT | Isaiah | Chapter 11 | Verse 16] और उसके बाक़ी लोगों के लिए जो असूर में से बच रहेंगे, एक ऐसी शाहराह होगी जैसी बनी — इस्राईल के लिए थी, जब वह मुल्क — ए — मिस्र से निकले।
