[JPS | EN | OT | Joshua | Chapter 19 | Verse 1] And the second lot came out for Simeon, even for the tribe of the children of Simeon according to their families; and their inheritance was in the midst of the inheritance of the children of Judah.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 2] And they had for their inheritance Beer-sheba with Sheba, and Moladah;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 3] and Hazarshual, and Balah, and Ezem;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 4] and Eltolad, and Bethul, and Hormah;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 5] and Ziklag, and Beth-marcaboth, and Hazar-susah;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 6] and Beth-lebaoth, and Sharuhen; thirteen cities with their villages:
[JPS | EN | OT | Joshua | Chapter 19 | Verse 7] Ain, Rimmon, and Ether, and Ashan; four cities with their villages;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 8] and all the villages that were round about these cities to Baalath-beer, as far as Ramah of the South. This is the inheritance of the tribe of the children of Simeon according to their families.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 9] Out of the allotment of the children of Judah was the inheritance of the children of Simeon, for the portion of the children of Judah was too much for them; therefore the children of Simeon had inheritance in the midst of their inheritance.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 10] And the third lot came up for the children of Zebulun according to their families; and the border of their inheritance was unto Sarid.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 11] And their border went up westward, even to Maralah, and reached to Dabbesheth; and it reached to the brook that is before Jokneam.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 12] And it turned from Sarid eastward toward the sunrising unto the border of Chisloth-tabor; and it went out to Dobrath, and went up to Japhia.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 13] And from thence it passed along eastward to Gath-hepher, to Ethkazin; and it went out at Rimmon-methoar unto Neah.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 14] And the border turned about it on the north to Hannathon; and the goings out thereof were at the valley of Iphtahel;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 15] and Kattath, and Nahalal, and Shimron, and Idalah, and Beth-lehem; twelve cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 16] This is the inheritance of the children of Zebulun according to their families, these cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 17] The fourth lot came out for Issachar, even for the children of Issachar according to their families.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 18] And their border was Jezreel, and Chesulloth, and Shunem;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 19] and Hapharaim, and Shion, and Anaharath;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 20] and Rabbith, and Kishion, and Ebez;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 21] and Remeth, and En-gannim, and En-haddah, and Beth-pazzez;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 22] and the border reached to Tabor, and Shahazim, and Beth-shemesh; and the goings out of their border were at the Jordan; sixteen cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 23] This is the inheritance of the tribe of the children of Issachar according to their families, the cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 24] And the fifth lot came out for the tribe of the children of Asher according to their families.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 25] And their border was Helkath, and Hali, and Beten, and Achshaph;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 26] and Allam-melech, and Amad, and Mishal; and it reached to Carmel westward, and to Shihor-libnath.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 27] And it turned toward the sunrising to Beth-dagon, and reached to Zebulun and to the valley of Iphtahel northward at Beth-emek and Neiel; and it went out to Cabul on the left hand,
[JPS | EN | OT | Joshua | Chapter 19 | Verse 28] and Ebron, and Rehob, and Hammon, and Kanah, even unto great Zidon.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 29] And the border turned to Ramah, and to the fortified city of Tyre; and the border turned to Hosah; and the goings out thereof were at the sea from Hebel to Achzib;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 30] Ummah also, and Aphek, and Rehob; twenty and two cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 31] This is the inheritance of the tribe of the children of Asher according to their families, these cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 32] The sixth lot came out for the children of Naphtali, even for the children of Naphtali according to their families.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 33] And their border was from Heleph, from Elon-beza-anannim, and Adami-nekeb, and Jabneel, unto Lakkum; and the goings out thereof were at the Jordan.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 34] And the border turned westward to Aznoth-tabor, and went out from thence to Hukok; and it reached to Zebulun on the south, and reached to Asher on the west, and to Judah at the Jordan toward the sunrising.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 35] And the fortified cities were Ziddim-zer, and Hammath, and Rakkath, and Chinnereth;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 36] and Adamah, and Ramah, and Hazor;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 37] and Kedesh, and Edrei, and En-hazor;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 38] and Iron, and Migdal-el, and Horem, and Beth-anath, and Beth-shemesh; nineteen cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 39] This is the inheritance of the tribe of the children of Naphtali according to their families, the cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 40] The seventh lot came out for the tribe of the children of Dan according to their families.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 41] And the border of their inheritance was Zorah, and Eshtaol, and Ir-shemesh;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 42] and Shaalabbin, and Aijalon, and Ithlah;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 43] and Elon, and Timnah, and Ekron;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 44] and Eltekeh, and Gibbethon, and Baalath;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 45] and Jehud, and Bene-berak, and Gath-rimmon;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 46] and Me-jarkon, and Rakkon, with the border over against Joppa.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 47] And the border of the children of Dan was too strait for them; so the children of Dan went up and fought against Leshem, and took it, and smote it with the edge of the sword, and possessed it, and dwelt therein, and called Leshem, Dan, after the name of Dan their father.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 48] This is the inheritance of the tribe of the children of Dan according to their families, these cities with their villages.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 49] When they had made an end of distributing the land for inheritance by the borders thereof, the children of Israel gave an inheritance to Joshua the son of Nun in the midst of them;
[JPS | EN | OT | Joshua | Chapter 19 | Verse 50] according to the commandment of the LORD they gave him the city which he asked, even Timnath-serah in the hill-country of Ephraim; and he built the city, and dwelt therein.
[JPS | EN | OT | Joshua | Chapter 19 | Verse 51] These are the inheritances, which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers' houses of the tribes of the children of Israel, distributed for inheritance by lot in Shiloh before the LORD, at the door of the tent of meeting. So they made an end of dividing the land.
