[IRV | MR | OT | Zechariah | Chapter 6 | Verse 1] मग मी वळून आपले डोळे वर करून बघितले तेव्हा दोन पर्वतांमधून चार रथ जातांना दिसले. ते पर्वत पितळेचे होते.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 2] पहिल्या रथला तांबडे रंगाचे घोडे होते. दुसऱ्या रथाला काळ्या रंगाचे घोडे होते.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 3] तिसऱ्या रथाला पांढऱ्या रंगाचे घोडे होते आणि चौथ्या रथाला ठिपके असलेले राखाडी घोडे होते.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 4] मग माझ्याशी बोलणाऱ्या देवदूताला मी विचारले, “महाराज, हे काय आहे?”
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 5] देवदूत म्हणाला, “ते चार प्रकारचे स्वर्गातले वारे आहेत. ते अखिल पृथ्वीच्या प्रभू समोर उभे होते व आता बाहेर येत आहेत.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 6] काळे घोडे उत्तर देशाला, पांढरे घोडे पश्चिम देशाला व ठिपके असलेले राखाडी घोडे दक्षिण देशाला जात आहेत.”
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 7] तांबडे घोडेही बाहेर पडले, त्यांचा पृथ्वीभर फिरण्याचा कल होता. म्हणून देवदूताने त्यांना पृथ्वीवर फिरण्यास सांगितले मग ते पृथ्वीवर फिरले.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 8] मग त्याने मला हाक मारुन सांगितले, “बघ, उत्तरेकडे गेलेल्या घोड्यांनी आपले काम पूर्ण केले आहे. उत्तर देशात त्यांनी माझा आत्मा शांत केला आहे.”
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 9] मग मला परमेश्वराचे वचन मिळाले. तो म्हणाला,
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 10] बंदिवासात असलेल्या हेल्दय, तोबीया व यदया ह्यास सोबत घे. त्याच्याकडून सोने आणि चांदी घेऊन, सफन्याचा मुलगा, योशीयाच्या घरी आजच जा, ते बाबेलाहून आले आहेत.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 11] त्या सोन्या-चांदीपासून मुकुट घडव. तो यहोसादाकाचा मुलगा यहोशवा मुख्ययाजक याच्या डोक्यावर ठेव.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 12] मग त्यास पुढील गोष्टी सांग: “सर्वशक्तिमान परमेश्वर म्हणतो: ‘फांदी’ नावाचा एक मनुष्य आहे. तो आपल्या स्थानावर उगवेल व तो परमेश्वराचे मंदिर बांधील.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 13] तो परमेश्वराचे मंदिर बांधेल व तो वैभवशाली होईल. स्वत:च्या सिंहासनावर बसून तो राज्य करील. तो सिंहासनावर याजकही होईल. या दोन्हीमध्ये शांतीची सहमती असेल.”
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 14] “तो मुकुट परमेश्वराच्या मंदिरात ठेवतील. हेलेम, तोबीया, यदया व सफन्याचा मुलगा हेन ह्यांचे परमेश्वराच्या मंदिरात त्यांच्या दानशूरपणाची आठवण म्हणून ठेवण्यात येईल.
[IRV | MR | OT | Zechariah | Chapter 6 | Verse 15] दूरवर राहणारे लोक येतील आणि परमेश्वराचे मंदिर बांधतील मग तुमची खात्री पटेल की सेनाधीश परमेश्वरानेच मला तुमच्याकडे पाठवले आहे. जर तुम्ही लक्षपूर्वक परमेश्वराची वाणी ऐकाल तर असे होईल.”
