[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 1] Then was Jesus led by the Spirit into the wilderness, to be tempted by the devil.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 2] And when he had fasted forty days and forty nights, he was afterward hungry.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 3] And when the tempter came to him, he said, If thou art the son of God, command that these stones be made bread.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 4] But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 5] Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple,
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 6] And saith to him, If thou art the Son of God, cast thyself down, for it is written, He shall give his angels charge concerning thee: and in their hands they shall uphold thee, lest at any time thou dash thy foot against a stone.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 7] Jesus said to him, It is written again, Thou shalt not tempt the Lord thy God.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 8] Again, the devil taketh him up upon an exceeding high mountain, and showeth him all the kingdoms of the world, and the glory of them,
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 9] And saith to him, All these things will I give thee, if thou wilt fall down and worship me.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 10] Then saith Jesus to him, Be gone, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 11] Then the devil leaveth him, and behold, angels came and ministered to him.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 12] Now when Jesus had heard that John was cast into prison, he departed into Galilee.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 13] And leaving Nazareth, he came and dwelt in Capernaum, which is upon the sea coast, in the borders of Zabulon and Nephthalim;
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 14] That it might be fulfilled which was spoken by Isaiah the prophet, saying,
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 15] The land of Zabulon, and the land of Nephthalim, by the way of the sea, beyond Jordan, Galilee of the Gentiles:
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 16] The people who sat in darkness, saw great light; and to them who sat in the region and shades of death, light hath arisen.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 17] From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 18] And Jesus, walking by the sea of Galilee, saw two brethren, Simon called Peter, and Andrew his brother, casting a net into the sea: for they were fishers.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 19] And he saith to them, Follow me, and I will make you fishers of men.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 20] And they immediately left their nets, and followed him.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 21] And going on from thence, he saw other two brethren, James the son of Zebedee, and John his brother, in a boat with Zebedee their father, mending their nets: and he called them.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 22] And they immediately left the boat, and their father, and followed him.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 23] And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and healing all manner of sickness, and all manner of disease among the people.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 24] And his fame spread throughout all Syria: and they brought to him all sick people that were taken with diverse diseases and torments, and those who were possessed with demons, and those who were lunatic, and those that had the palsy; and he healed them.
[WEBSTER | EN | NT | Matthew | Chapter 4 | Verse 25] And there followed him great multitudes of people from Galilee, and from Decapolis, and from Jerusalem, and from Judea, and from beyond Jordan.
