[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 1] And Jesus went out, and departed from the temple: and his disciples came to him to show him the buildings of the temple.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 2] And Jesus said to them, See ye not all these things? verily I say to you, There shall not be left here one stone upon another, that shall not be thrown down.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 3] And as he sat upon the mount of Olives, the disciples came to him privately, saying, Tell us, when will these things be? and what will be the sign of thy coming, and of the end of the world?
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 4] And Jesus answered and said to them, Take heed that no man deceive you.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 5] For many will come in my name, saying, I am Christ; and will deceive many.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 6] And ye will hear of wars, and rumors of wars: see that ye be not troubled: for all these things must come to pass, but the end is not yet.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 7] For nation will rise against nation, and kingdom against kingdom: and there will be famines, and pestilences, and earthquakes in divers places.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 8] All these are the beginning of sorrows.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 9] Then will they deliver you up to be afflicted, and will kill you: and ye will be hated by all nations for my name's sake.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 10] And then will many be offended, and will betray one another, and will hate one another.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 11] And many false prophets will rise, and will deceive many.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 12] And because iniquity will abound, the love of many will become cold.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 13] But he that shall endure to the end, the same shall be saved.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 14] And this gospel of the kingdom shall be preached in all the world, for a testimony to all nations; and then shall the end come.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 15] When therefore ye shall see the abomination of desolation spoken of by Daniel the prophet, stand in the holy place, (whoever readeth, let him understand,)
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 16] Then let them who are in Judea flee to the mountains:
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 17] Let him who is on the house-top not come down to take any thing out of his house:
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 18] Neither let him who is in the field return back to take his clothes.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 19] And woe to them that are with child, and to them that nurse infants in those days!
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 20] But pray ye that your flight may not be in the winter, neither on the sabbath:
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 21] For then shall be great tribulation, such as hath not been since the beginning of the world to this time, no, nor ever shall be.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 22] And except those days should be shortened, there would no flesh be saved: but for the elect's sake those days shall be shortened.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 23] Then if any man shall say to you, Lo, here is Christ, or there; believe it not.
