[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 1] Then came to Jesus scribes and Pharisees, who were of Jerusalem, saying,
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 2] Why do thy disciples transgress the tradition of the elders? for they wash not their hands when they eat bread.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 3] But he answered and said to them, Why do ye also transgress the commandment of God by your tradition?
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 4] For God commanded, saying, Honor thy father and mother: and, He that curseth father or mother, let him die the death.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 5] But ye say, Whoever shall say to his father or his mother, It is a gift, by whatever thou mightest be profited by me;
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 6] And honor not his father or his mother, he shall be free . Thus have ye made the commandment of God of no effect by your tradition.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 7] Ye hypocrites, well did Isaiah prophesy of you, saying,
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 8] This people draw nigh to me with their mouth, and honor me with their lips; but their heart is far from me.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 9] But in vain they do worship me, teaching for doctrines the commandments of men.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 10] And he called the multitude, and said to them, Hear, and understand:
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 11] Not that which goeth into the mouth defileth a man; but that which cometh out of the mouth, this defileth a man.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 12] Then came his disciples, and said to him, Knowest thou that the Pharisees were offended after they heard this saying?
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 13] But he answered and said, Every plant, which my heavenly Father hath not planted, shall be extirpated.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 14] Let them alone: they are blind leaders of the blind. And if the blind leadeth the blind, both will fall into the ditch.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 15] Then answered Peter and said to him, Declare to us this parable.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 16] And Jesus said, Are ye also yet without understanding?
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 17] Do ye not yet understand, that whatever entereth in at the mouth goeth into the belly, and is cast out into the draught?
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 18] But those things which proceed out of the mouth come forth from the heart; and they defile the man.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 19] For out of the heart proceed evil thoughts, murders, adulteries, fornications, thefts, false witness, blasphemies:
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 20] These are the things which defile a man: but to eat with unwashen hands defileth not a man.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 21] Then Jesus went thence, and departed into the territories of Tyre and Sidon.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 22] And behold, a woman of Canaan came out of the same territories, and cried to him, saying, Have mercy on me, O Lord, thou son of David; my daughter is grievously afflicted with a demon.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 23] But he answered her not a word. And his disciples came and besought him, saying, Send her away; for she crieth after us.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 24] But he answered and said, I am not sent but to the lost sheep of the house of Israel.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 25] Then came she and worshiped him, saying, Lord, help me.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 26] But he answered and said, It is not meet to take the children's bread, and to cast it to dogs.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 27] And she said, Truth, Lord: yet the dogs eat of the crums which fall from their master's table.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 28] Then Jesus answered and said to her, O woman, great is thy faith: be it to thee even as thou wilt. And her daughter was healed from that very hour.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 29] And Jesus departed from thence, and came nigh to the sea of Galilee; and ascended a mountain, and sat down there.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 30] And great multitudes came to him, having with them those that were lame, blind, dumb, maimed, and many others, and cast them down at Jesus' feet; and he healed them:
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 31] So that the multitude wondered, when they saw the dumb to speak, the maimed to be whole, the lame to walk, and the blind to see: and they glorified the God of Israel.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 32] Then Jesus called his disciples to him , and said, I have compassion on the multitude, because they continue with me now three days, and have nothing to eat: and I will not send them away fasting, lest they faint in the way.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 33] And his disciples say to him, Whence should we have so much bread in the wilderness, as to satisfy so great a multitude?
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 34] And Jesus saith to them, How many loaves have ye? And they said, Seven, and a few little fishes.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 35] And he commanded the multitude to sit on the ground.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 36] And he took the seven loaves and the fishes, and gave thanks, and broke them , and gave to his disciples, and the disciples to the multitude.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 37] And they all ate and were filled: and they took up of the fragments that were left seven baskets full.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 38] And they that had eaten were four thousand men, besides women and children.
[WEBSTER | EN | NT | Matthew | Chapter 15 | Verse 39] And he sent away the multitude, and took a boat, and came into the borders of Magdala.
