[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 1] And take thou to thee Aaron thy brother, and his sons with him, from among the children of Israel, that he may minister to me in the priest's office, even Aaron, Nadab and Abihu, Eleazar and Ithamar, Aaron's sons.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 2] And thou shalt make holy garments for Aaron thy brother, for glory and for beauty.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 3] And thou shalt speak to all that are wise in heart, whom I have filled with the spirit of wisdom, that they may make Aaron's garments to consecrate him, that he may minister to me in the priest's office.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 4] And these are the garments which they shall make; a breast-plate, and an ephod, and a robe, and a broidered coat, a miter, and a girdle; and they shall make holy garments for Aaron thy brother, and his sons, that he may minister to me in the priest's office.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 5] And they shall take gold, and blue, and purple, and scarlet, and fine linen.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 6] And they shall make the ephod of gold, of blue, and of purple, of scarlet, and fine twined linen, with curious work.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 7] It shall have the two shoulder-pieces thereof joined at the two edges thereof; and so it shall be joined together.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 8] And the curious girdle of the ephod, which is upon it, shall be of the same, according to its work; even of gold, of blue, and purple, and scarlet, and fine twined linen.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 9] And thou shalt take two onyx stones, and engrave on them the names of the children of Israel:
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 10] Six of their names on one stone, and the six names of the rest on the other stone, according to their birth.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 11] With the work of an engraver in stone, like the engravings of a signet, shalt thou engrave the two stones with the names of the children of Israel: thou shalt make them to be set in ouches of gold.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 12] And thou shalt put the two stones upon the shoulders of the ephod for stones of memorial to the children of Israel: and Aaron shall bear their names before the LORD upon his two shoulders for a memorial.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 13] And thou shalt make ouches of gold;
