[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 1] And thou shalt make an altar of shittim wood, five cubits long, and five cubits broad; the altar shall be foursquare: and its hight shall be three cubits.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 2] And thou shalt make the horns of it upon the four corners thereof: its horns shall be of the same: and thou shalt overlay it with brass.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 3] And thou shalt make its pans to receive its ashes, and its shovels, and its basins, and its flesh-hooks, and its fire-pans: all its vessels thou shalt make of brass.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 4] And thou shalt make for it a grate of net-work of brass; and upon the net shalt thou make four brazen rings in its four corners.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 5] And thou shalt put it under the compass of the altar beneath, that the net may be even to the midst of the altar.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 6] And thou shalt make staffs for the altar, staffs of shittim wood, and overlay them with brass.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 7] And the staffs shall be put into the rings, and the staffs shall be upon the two sides of the altar, to bear it.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 8] Hollow with boards shalt thou make it: as it was shown thee on the mount, so shall they make it.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 9] And thou shalt make the court of the tabernacle: for the south side southward there shall be hangings for the court of fine twined linen of a hundred cubits long for one side:
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 10] And its twenty pillars and their twenty sockets shall be of brass: the hooks of the pillars and their fillets shall be of silver.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 11] And likewise for the north side in length there shall be hangings of a hundred cubits long, and its twenty pillars and their twenty sockets of brass: the hooks of the pillars and their fillets of silver.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 12] And for the breadth of the court on the west side shall be hangings of fifty cubits: their pillars ten, and their sockets ten.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 13] And the breadth of the court on the east side eastward shall be fifty cubits.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 14] The hangings of one side of the gate shall be fifteen cubits: their pillars three, and their sockets three.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 15] And on the other side shall be hangings, fifteen cubits: their pillars three, and their sockets three.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 16] And for the gate of the court shall be a hanging of twenty cubits, of blue, and purple, and scarlet, and fine twined linen, wrought with needle-work: and their pillars shall be four, and their sockets four.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 17] All the pillars around the court shall be filleted with silver: their hooks shall be of silver, and their sockets of brass.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 18] The length of the court shall be a hundred cubits, and the breadth fifty every where, and the hight five cubits of fine twined linen, and their sockets of brass.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 19] All the vessels of the tabernacle in all the service thereof, and all the pins thereof, and all the pins of the court, shall be of brass.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 20] And thou shalt command the children of Israel, that they bring the pure olive-oil beaten for the light, to cause the lamp to burn always.
[WEBSTER | EN | OT | Exodus | Chapter 27 | Verse 21] In the tabernacle of the congregation without the vail, which is before the testimony, Aaron and his sons shall order it from evening to morning before the LORD: It shall be a statute for ever to their generations on the behalf of the children of Israel.
