[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 1] And the LORD said to Moses, Hew thee two tables of stone like the first; and I will write upon these tables the words that were in the first tables which thou didst break.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 2] And be ready in the morning, and come up in the morning to mount Sinai, and present thyself there to me on the top of the mount.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 3] And no man shall come up with thee, neither let any man be seen throughout all the mount: neither let the flocks nor herds feed before that mount.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 4] And he hewed two tables of stone, like the first; and Moses rose up early in the morning, and went up to mount Sinai, as the LORD had commanded him, and took in his hand the two tables of stone.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 5] And the LORD descended in the cloud, and stood with him there, and proclaimed the name of the LORD.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 6] And the LORD passed by before him, and proclaimed, The LORD, The LORD God, merciful and gracious, long-suffering, and abundant in goodness and truth.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 7] Keeping mercy for thousands, forgiving iniquity and transgression and sin, and that will by no means clear the guilty ; visiting the iniquity of the fathers upon the children, and upon the children's children, to the third and to the fourth generation .
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 8] And Moses made haste, and bowed his head towards the earth, and worshiped.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 9] And he said, If now I have found grace in thy sight, O LORD, let my Lord, I pray thee, go among us (for it is a stiff-necked people) and pardon our iniquity and our sin, and take us for thy inheritance.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 10] And he said, Behold, I make a covenant: before all thy people I will do wonders, such as have not been done in all the earth, nor in any nation: and all the people among which thou art , shall see the work of the LORD: for it is a terrible thing that I will do with thee.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 11] Observe thou that which I command thee this day: Behold, I drive out before thee the Amorite, and the Canaanite, and the Hittite, and the Perizzite, and the Hivite, and the Jebusite.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 12] Take heed to thyself, lest thou make a covenant with the inhabitants of the land whither thou goest, lest it be for a snare in the midst of thee:
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 13] But ye shall destroy their altars, break their images, and cut down their groves.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 14] For thou shalt worship no other god: for the LORD, whose name is Jealous, is a jealous God:
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 15] Lest thou make a covenant with the inhabitants of the land, and they go astray after their gods, and do sacrifice to their gods, and one call thee, and thou eat of his sacrifice;
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 16] And thou take of their daughters to thy sons, and their daughters go astray after their gods, and make thy sons go astray after their gods.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 17] Thou shalt make thee no molten gods.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 18] The feast of unleavened bread shalt thou keep. Seven days shalt thou eat unleavened bread, as I commanded thee, in the time of the month Abib: for in the month Abib thou camest out of from Egypt.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 19] Every first-born is mine: and every firstling among thy cattle, whether ox or sheep, that is male .
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 20] But the firstling of an ass thou shalt redeem with a lamb: and if thou shalt not redeem him, then shalt thou break his neck. All the first-born of thy sons thou shalt redeem. And none shall appear before me empty.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 21] Six days thou shalt work, but on the seventh day thou shalt rest: in time of plowing and in harvest thou shalt rest.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 22] And thou shalt observe the feast of weeks, of the first-fruits of wheat-harvest, and the feast of in-gathering at the year's end.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 23] Thrice in the year shall all your male children appear before the LORD GOD, the God of Israel.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 24] For I will drive out the nations before thee, and enlarge thy borders: neither shall any man desire thy land, when thou shalt go up to appear before the LORD thy God, thrice in the year.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 25] Thou shalt not offer the blood of my sacrifice with leaven, neither shall the sacrifice of the feast of the passover be left until the morning.
[WEBSTER | EN | OT | Exodus | Chapter 34 | Verse 26] The first of the first-fruits of thy land thou shalt bring to the house of the LORD thy God. Thou shalt not seethe a kid in his mother's milk.
