[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 1] And the LORD spoke to Moses, saying,
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 2] Speak to the children of Israel, that they bring me an offering: of every man that giveth it willingly with his heart ye shall take my offering.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 3] And this is the offering which ye shall take of them; gold, and silver and brass,
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 4] And blue, and purple, and scarlet, and fine linen, and goats' hair.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 5] And rams' skins dyed red, and badgers' skins, and shittim wood.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 6] Oil for the light, spices for anointing oil, and for sweet incense,
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 7] Onyx stones, and stones to be set in the ephod, and in the breast-plate.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 8] And let them make me a sanctuary; that I may dwell among them.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 9] According to all that I show thee after the pattern of the tabernacle, and the pattern of all its instruments, even so shall ye make it.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 10] And they shall make an ark of shittim wood: two cubits and a half shall be its length, and a cubit and a half its breadth, and a cubit and a half its hight.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 11] And thou shalt overlay it with pure gold, within and without shalt thou overlay it, and shalt make upon it a crown of gold around it.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 12] And thou shalt cast four rings of gold for it, and put them in its four corners; and two rings shall be in the one side of it, and two rings in the other side of it.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 13] And thou shalt make staffs of shittim wood, and overlay them with gold.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 14] And thou shalt put the staffs into the rings by the sides of the ark, that the ark may be borne with them.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 15] The staffs shall be in the rings of the ark: they shall not be taken from it.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 16] And thou shalt put into the ark the testimony which I shall give thee.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 17] And thou shalt make a mercy-seat of pure gold: two cubits and a half shall be its length, and a cubit and a half its breadth.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 18] And thou shalt make two cherubim of gold, of beaten work shalt thou make them, in the two ends of the mercy-seat.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 19] And make one cherub on the one end, and the other cherub on the other end: even of the mercy-seat shall ye make the cherubim on its two ends.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 20] And the cherubim shall stretch forth their wings on high, covering the mercy-seat with their wings, and their faces shall look one to another; towards the mercy-seat shall the faces of the cherubim be.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 21] And thou shalt put the mercy-seat above upon the ark; and in the ark thou shalt put the testimony that I shall give thee.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 22] And there I will meet with thee, and I will commune with thee from above the mercy-seat, from between the two cherubim which are upon the ark of the testimony, of all things which I will give thee in commandment to the children of Israel.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 23] Thou shalt also make a table of shittim wood: its length shall be two cubits, and its breadth a cubit, and its hight a cubit and a half.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 24] And thou shalt overlay it with pure gold, and make to it a crown of gold around it.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 25] And thou shalt make to it a border of an hand-breadth around it, and thou shalt make a golden crown to its border around it.
