[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 1] और बिनयमीन से उसका पहलौठा बाला' पैदा हुआ, दूसरा और अशबेल, तीसरा अख़िरख़,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 2] चौथा नूहा और पाँचवाँ रफ़ा।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 3] औरे बाला' के बेटे अदार और जीरा और अबिहूद,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 4] और अबिसू' और ना'मान और अख़ूह,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 5] और जीरा और सफ़ूफ़ान और हूराम थे।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 6] और अहूद के बेटे यह हैं यह जिबा' के बाशिंदों के बीच आबाई ख़ानदानों के सरदार थे, और इन्हीं को ग़ुलाम करके मुनाहत को ले गए थे।:
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 7] या'नी नामान और अखि़याह और और जीरा, यह इनको ग़ुलाम करके ले गया था, और उससे 'उज़्ज़ा और अख़ीहूद पैदा हुए।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 8] और सहरीम से, मोआब के मुल्क में अपनी दोनों बीवियों हुसीम और बा'राह को छोड़ देने के बाद लड़के पैदा हुए,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 9] और उसकी बीवी हूदस के बत्न से यूबाब और ज़िबिया और मैसा और मलकाम,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 10] और य'ऊज़ और सिक्याह और मिरमा पैदा हुए। यह उसके बेटे थे जो आबाई ख़ानदानों के सरदार थे।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 11] और हुसीम से अबीतूब और इलफ़ा'ल पैदा हुए।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 12] और बनी इलफ़ा'ल:इब्र और मिश'आम और सामिर थे। इसी ने ओनू और लुद और उसके देहात को आबाद किया।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 13] और बरि'आ और समा' भी जो अय्यालोन के बाशिंदों के दरमियान आबाई ख़ानदानों के सरदार थे और जिन्होंने जात के बाशिंदों को भगा दिया।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 14] और अख़ियो, शाशक़ और यरीमोत,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 15] और ज़बदियाह और 'अराद और 'अदर,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 16] और मीकाएल और इस्फ़ाह और यूख़ा, जो बनी बरि'आ हैं।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 17] और ज़बदयाह और मुसल्लाम और हिज़क़ी और हिबर,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 18] और यसमरी और यज़लियाह और यूबाब जो बनी इलफ़ा'ल हैं।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 19] और यक़ीम और ज़िकरी और ज़ब्दी,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 20] और इलिऐनी और ज़लती और इलीएल,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 21] और 'अदायाह और बरायाह और सिमरात, जो बनी सम'ई हैं।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 22] और इसफ़ान और इब्र और इलीएल,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 23] और 'अबदोन और ज़िकरी और हनान,
