[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 1] फिर दाऊद और लश्कर के सरदारों ने आसफ़ और हैमान और यदूतून के बेटों में से कुछ को ख़िदमत के लिए अलग किया, ताकि वह बरबत और सितार और झाँझ से नबुव्वत करें; और जो उस काम को करते थे उनका शुमार उनकी ख़िदमत के मुताबिक़ यह था:
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 2] आसफ़ के बेटों में से ज़क्कूर, यूसुफ़, नतनियाह और असरीलाह; आसफ़ के यह बेटे आसफ़ के मातहत थे, जो बादशाह के हुक्म के मुताबिक़ नबुव्वत करता था।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 3] यदूतून से बनी यदूतून, सो जिदलियाह, ज़री और यसा'याह, हसबियाह और मतितियाह, यह छ: अपने बाप यदूतून के मातहत थे जो बरबत लिए रहता और ख़ुदावन्द की शुक्रगुज़ारी और हम्द करता हुआ नबुव्वत करता था।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 4] रहा हैमान, वह हैमान के बेटे: बुक़्क़याह, मत्तनियाह, 'उज़्ज़ीएल, सबूएल यरीमोत, हनानियाह, हनानी, इलियाता, जिद्दाल्ती, रूमम्ती'अज़र, यसबिक़ाशा, मल्लूती, हौतीर, और महाज़ियोत;
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 5] यह सब हैमान के बेटे थे, जो ख़ुदा की बातों में सींग बुलन्द करने के लिए बादशाह का गै़बबीन था; और ख़ुदा ने हैमान को चौदह बेटे और तीन बेटियाँ दी थीं।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 6] यह सब ख़ुदावन्द के घर में हम्द करने के लिए अपने बाप के मातहत थे, और झाँझ और सितार और बरबत से ख़ुदा के घर की ख़िदमत करते थे। आसफ़ और यदूतून और हैमान बादशाह के हुक्म के ताबे' थे
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 7] उनके भाइयों समेत जो ख़ुदावन्द की ता'रीफ़ और बड़ाई की ता'लीम पा चुके थे, या'नी वह सब जो माहिर थे, उनका शुमार दो सौ अठासी था।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 8] और उन्होंने क्या छोटे क्या बड़े क्या उस्ताद क्या शागिर्द, एक ही तरीक़े से अपनी अपनी ख़िदमत के लिए पर्ची डाला।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 9] पहली चिट्ठी आसफ़ की यूसुफ़ को मिली, दूसरी जिदलियाह को, और उसके भाई और बेटे उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 10] तीसरी ज़क्कूर को, और उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 11] चौथी यिज़री को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 12] पाँचवीं नतनियाह को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 13] छटी बुक्कयाह को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 14] सातवीं यसरीलाह को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 15] आठवीं यसा'याह को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 16] नवीं मत्तनियाह को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 17] दसवीं सिमई को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 18] ग्यारहवीं 'अज़रएल को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 19] बारहवीं हसबियाह को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 20] तेरहवीं सबूएल को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 21] चौदहवीं मतितियाह को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 22] पंद्रहवीं यरीमोत को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 23] सोलहवीं हनानियाह को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 24] सत्रहवीं यसबिक़ाशा को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 25] अठारहवीं हनानी को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 26] उन्नीसवीं मल्लूती को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 27] बीसवीं इलियाता को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 28] इक्कीसवीं हौतीर को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 29] बाइसवीं जिद्दाल्ती को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 30] तेइसवीं महाज़ियोत को, उसके बेटे और भाई उस समेत बारह थे।
[IRV | UR | OT | 1 Chronicles | Chapter 25 | Verse 31] चौबीसवीं रूमम्ती 'एलियाज़र को, उसके बेटे और भाई उस समेत बारह थे।
