[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 1] Saul reigned one year; and when he had reigned two years over Israel,
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 2] Saul chose him three thousand men of Israel; of which two thousand were with Saul in Michmash and in mount Beth-el, and a thousand were with Jonathan in Gibeah of Benjamin: and the rest of the people he sent every man to his tent.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 3] And Jonathan smote the garrison of the Philistines that was in Geba; and the Philistines heard of it . And Saul blew the trumpet throughout all the land, saying, Let the Hebrews hear.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 4] And all Israel heard it said that Saul had smitten a garrison of the Philistines, and that Israel also was had in abomination with the Philistines: and the people were called together after Saul to Gilgal.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 5] And the Philistines assembled to fight with Israel, thirty thousand chariots, and six thousand horsemen, and people as the sand which is on the sea shore in multitude: and they came up, and encamped in Michmash, eastward from Beth-aven.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 6] When the men of Israel saw that they were in a strait (for the people were distressed) then the people hid themselves in caves, and in thickets, and in rocks, and in high places, and in pits.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 7] And some of the Hebrews went over Jordan to the land of Gad and Gilead. As for Saul, he was yet in Gilgal, and all the people followed him trembling.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 8] And he tarried seven days, according to the set time that Samuel had appointed : but Samuel came not to Gilgal; and the people were scattered from him.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 9] And Saul said, Bring hither a burnt-offering to me, and peace-offerings. And he offered the burnt-offering.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 10] And it came to pass, that as soon as he had made an end of offering the burnt-offering, behold, Samuel came; and Saul went out to meet him, that he might salute him.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 11] And Samuel said, What hast thou done? And Saul said, Because I saw that the people were scattered from me, and that thou camest not within the days appointed, and that the Philistines assembled at Michmash;
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 12] Therefore said I, the Philistines will now come down upon me to Gilgal, and I have not made supplication to the LORD; I forced myself therefore, and offered a burnt-offering.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 13] And Samuel said to Saul, Thou hast done foolishly: thou hast not kept the commandment of the LORD thy God, which he commanded thee: for now would the LORD have established thy kingdom upon Israel for ever.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 14] But now thy kingdom shall not continue: the LORD hath sought him a man after his own heart, and the LORD hath commanded him to be captain over his people, because thou hast not kept that which the LORD commanded thee.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 15] And Samuel arose, and went up from Gilgal to Gibeah of Benjamin. And Saul numbered the people that were present with him, about six hundred men.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 16] And Saul, and Jonathan his son, and the people that were present with them, abode in Gibeah of Benjamin: but the Philistines encamped in Michmash.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 17] And the spoilers came out of the camp of the Philistines in three companies: one company turned to the way that leadeth to Ophrah, to the land of Shual:
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 18] And another company turned the way to Beth-horon: and another company turned to the way of the border that looketh to the valley of Zeboim towards the wilderness.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 19] Now there was no smith found throughout all the land of Israel: (for the Philistines said, Lest the Hebrews make them swords or spears:)
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 20] But all the Israelites went down to the Philistines, to sharpen every man his share, and his colter, and his ax, and his mattock.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 21] Yet they had a file for the mattocks, and for the colters, and for the forks, and for the axes, and to sharpen the goads.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 22] So it came to pass in the day of battle, that there was neither sword nor spear found in the hand of any of the people that were with Saul and Jonathan: but with Saul and with Jonathan his son was there found.
[WEBSTER | EN | OT | 1 Samuel | Chapter 13 | Verse 23] And the garrison of the Philistines went out to the passage of Michmash.
