[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 1] Now these are the priests and the Levites that went up with Zerubbabel the son of Shealtiel, and Jeshua: Seraiah, Jeremiah, Ezra,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 2] Amariah, Malluch, Hattush,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 3] Shechaniah, Rehum, Meremoth,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 4] Iddo, Ginnetho, Abijah,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 5] Miamin, Maadiah, Bilgah,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 6] Shemaiah, and Joiarib, Jedaiah,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 7] Sallu, Amok, Hilkiah, Jedaiah. These were the chief of the priests and of their brethren in the days of Jeshua.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 8] Moreover the Levites: Jeshua, Binnui, Kadmiel, Sherebiah, Judah, and Mattaniah, who was over the thanksgiving, he and his brethren.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 9] Also Bakbukiah and Unni, their brethren, were over against them in the watches.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 10] And Jeshua begat Joiakim, Joiakim also begat Eliashib, and Eliashib begat Joiada,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 11] And Joiada begat Jonathan, and Jonathan begat Jaddua.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 12] And in the days of Joiakim were priests, the chief of the fathers: of Seraiah, Meraiah; of Jeremiah, Hananiah;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 13] Of Ezra, Meshullam; of Amariah, Jehohanan;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 14] Of Melicu, Jonathan; of Shebaniah, Joseph;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 15] Of Harim, Adna; of Meraioth, Helkai;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 16] Of Iddo, Zechariah; of Ginnethon, Meshullam;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 17] Of Abijah, Zichri; of Miniamin, of Moadiah, Piltai;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 18] Of Bilgah, Shammua; of Shemaiah, Jehonathan;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 19] And of Joiarib, Mattenai; of Jedaiah, Uzzi;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 20] Of Sallai, Kallai; of Amok, Eber;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 21] Of Hilkiah, Hashabiah; of Jedaiah, Nethaneel.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 22] The Levites in the days of Eliashib, Joiada, and Johanan, and Jaddua, were recorded chief of the fathers: also the priests, to the reign of Darius the Persian.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 23] The sons of Levi, the chief of the fathers, were written in the book of the chronicles, even till the days of Johanan the son of Eliashib.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 24] And the chief of the Levites: Hashabiah, Sherebiah, and Jeshua the son of Kadmiel, with their brethren over against them, to praise and to give thanks according to the commandment of David the man of God, ward over against ward.
