[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 1] But it came to pass that when Sanballat heard that we were building the wall, he was wroth, and took great indignation, and mocked the Jews.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 2] And he spoke before his brethren, and the army of Samaria, and said, What do these feeble Jews? will they fortify themselves? will they sacrifice? will they make an end in a day? will they revive the stones out of the heaps of the rubbish which are burned?
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 3] Now Tobiah the Ammonite was by him, and he said, Even that which they build, if a fox should go up, he would even break down their stone wall.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 4] Hear, O our God; for we are despised: and turn their reproach upon their own head, and give them for a prey in the land of captivity:
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 5] And cover not their iniquity, and let not their sin be blotted out from before thee: for they have provoked thee to anger before the builders.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 6] So we built the wall; and all the wall was joined together to the half of it, for the people had a mind to work.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 7] But it came to pass, when Sanballat, and Tobiah, and the Arabians, and the Ammonites, and the Ashdodites, heard that the walls of Jerusalem were set up, and that the breaches began to be stopped, then they were very wroth,
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 8] And conspired all of them together to come and to fight against Jerusalem, and to hinder it.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 9] Nevertheless we made our prayer to our God, and set a watch against them day and night, because of them.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 10] And Judah said, The strength of the bearers of burdens is decayed, and there is much rubbish; so that we are not able to build the wall.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 11] And our adversaries said, They shall not know, neither see, till we come in the midst among them, and slay them, and cause the work to cease.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 12] And it came to pass, that when the Jews who dwelt by them came, they said to us ten times, From all places whence ye shall return to us they will be upon you .
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 13] Therefore I set in the lower places behind the wall, and on the higher places, I even set the people after their families with their swords, their spears, and their bows.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 14] And I looked, and arose, and said to the nobles, and to the rulers, and to the rest of the people, Be ye not afraid of them: remember the LORD who is great and terrible, and fight for your brethren, your sons, and your daughters, your wives, and your houses.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 15] And it came to pass, when our enemies heard that it was known to us, and God had brought their counsel to naught, that we returned all of us to the wall, every one to his work.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 16] And it came to pass, from that time forth, that the half of my servants wrought in the work, and the other half of them held both the spears, the shields, and the bows, and the habergeons; and the rulers were behind all the house of Judah.
[WEBSTER | EN | OT | Nehemiah | Chapter 4 | Verse 17] They who built on the wall, and they that bore burdens, with those that laded, every one with one of his hands wrought in the work, and with the other hand held a weapon.
